program_id	author_id	type	post_id	comment_id	publish_date	feature	count	word
kbs2_gagcon	joanna220	POST	pym02wk-_y2de		2011-08-20	CRYMARK	1.0	tagcry
kbs2_gagcon	joanna220	POST	pym02wk-_y2de		2011-08-20	POSITIVE	1.0	좋아하다
kbs2_gagcon	joanna220	POST	pym02wk-_y2de		2011-08-20	NEGATIVE	1.0	싫다
kbs2_gagcon	joanna220	POST	pym02wk-_y2de		2011-08-20	SADNESS	2.0	아프 슬프다
kbs2_gagcon	singergoni	POST	pym05q6-y5v32		2011-08-18	PRESENT	1.0	오늘
kbs2_gagcon	singergoni	POST	pym05q6-y5v32		2011-08-18	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	singergoni	POST	pym05q6-y5v32		2011-08-18	SMILEMARK	1.0	tagsmile
kbs2_gagcon	singergoni	POST	pym05q6-y5v32		2011-08-18	SADNESS	1.0	아프
kbs2_gagcon	jounj12345	POST	pym088s-ygy8l		2011-08-18	SMILEMARK	1.0	tagsmile
kbs2_gagcon	daita	POST	pym0a68-r738		2011-08-19	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	maclaude	POST	pym0arl-56_		2011-08-19	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	maclaude	POST	pym0arl-56_		2011-08-19	SEE	1.0	보다
kbs2_gagcon	all_my_bb	POST	pym0bc6-5c012		2011-08-19	SMILEMARK	1.0	tagsmile
kbs2_gagcon	flyingneko	POST	pym0c3o-a4u		2011-08-19	QUANTIFIER	2.0	아주 조금
kbs2_gagcon	flyingneko	POST	pym0c3o-a4u		2011-08-19	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	flyingneko	POST	pym0c3o-a4u		2011-08-19	SMILEMARK	1.0	크
kbs2_gagcon	luciperz	POST	pym0f32-ovnz		2011-08-19	SMILEMARK	1.0	tagsmile
kbs2_gagcon	luciperz	POST	pym0f32-ovnz		2011-08-19	SEE	1.0	보다
kbs2_gagcon	love-1	POST	pym0iob-5kuih		2011-08-19	SMILEMARK	1.0	크
kbs2_gagcon	ejh2770	POST	pym0juy-ypurd		2011-08-19	PRESENT	1.0	오늘
kbs2_gagcon	ejh2770	POST	pym0juy-ypurd		2011-08-19	QUANTIFIER	1.0	매우
kbs2_gagcon	palzzo	POST	pym0lb8-l1h4		2011-08-19	PRESENT	1.0	오늘
kbs2_gagcon	palzzo	POST	pym0lb8-l1h4		2011-08-19	QUANTIFIER	1.0	너무
kbs2_gagcon	palzzo	POST	pym0lb8-l1h4		2011-08-19	SMILEMARK	1.0	tagsmile
kbs2_gagcon	palzzo	POST	pym0lb8-l1h4		2011-08-19	CRYMARK	1.0	tagcry
kbs2_gagcon	dariag	POST	pym0m9z-y3lf3		2011-08-20	POSITIVE	1.0	좋다
kbs2_gagcon	lovecat703	POST	pym0n5l-5t91w		2011-08-20	SMILEMARK	1.0	크
kbs2_gagcon	crevs	POST	pym0onc-5os2b		2011-08-19	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	crevs	POST	pym0onc-5os2b		2011-08-19	SMILEMARK	1.0	tagsmile
kbs2_gagcon	kayo448	POST	pym0oq9-5ho4o		2011-08-18	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	kayo448	POST	pym0otc-5ho4o		2011-08-18	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	kayo448	POST	pym0otc-5ho4o		2011-08-18	SMILEMARK	1.0	크
kbs2_gagcon	ace_ruphy	POST	pym0p9f-y6hz1		2011-08-18	SMILEMARK	1.0	tagsmile
