program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_fallinlove	wlsgk2413	POST	pym000w-_igc6		2011-08-20	ㅇ 넌 널다 내다 반 ost 넌 널다 내다 반 ost special
mbc_fallinlove	wlsgk2413	POST	pym003v-_igc6		2011-08-20	ㅇ 넌 널다 내다 반 ost part
mbc_fallinlove	wlsgk2413	POST	pym00e_-_igc6		2011-08-20	ㅇ 넌 널다 내다 반 ost part
mbc_fallinlove	bhyuns2	POST	pym00si-ybpgj		2011-08-19	아끼다 드라마 넌 널다 내다 반했어가 회 마지막 오늘 종방 tagcry 아쉽다 tagcry 아 갤러 말 디비딥좀 뱉뱉 tagcry 아쉽다능 tagcry 이제 쪼다 볼 tagcry 아근데정용화는왜이렇게키스신이허접한거임 tagcry 찐하게좀
mbc_fallinlove	jm2390	POST	pym01_z-xr3f		2011-08-20	넌내게 반
mbc_fallinlove	tldus9641	POST	pym02ky-5l13_		2011-08-18	이신 이신이 이규원 넘어지는거 받치다 tagsmile 손목 다치다 그것 모르다 걍 기타 치다 tagsmile 이규원한테 피해 피하다 주기 주다 싫다 tagsmile
mbc_fallinlove	nahae9814	POST	pym03nd-5ghs0		2011-08-19	친구별로 미투데 미투데이 사용자지 얘기 싶은게 많다 tagsmile 오늘 넌 널다 내게반 끝낫어 끝낫어요 tagcry 방숙하느라구 못봣지 못봣지만 tagcry 수고하셧습니 tagexclamation 오늘부턴 즐겁다 학기 시작 tagsmile
mbc_fallinlove	yelin7578	POST	pym043v-1smz		2011-08-18	분정도후 tagexclamation 넌내게반 마지막방소유 tagcry
mbc_fallinlove	yelin7578	POST	pym046j-1smz		2011-08-18	넌내게반했어마지막방송도본 방 사 사다 합시다넌내반마지막도화이팅 tagexclamation
mbc_fallinlove	dbfls77721	POST	pym046r-y48g		2011-08-19	씨엔블루 정용화넌 내다 반 결말 정용화 박신혜 재결합 진심 확인 해피엔딩
mbc_fallinlove	jkjk3703	POST	pym04b5-_g02y		2011-08-18	격배 난 나다 날다 나가다 넌내게반 나봐야깃다 tagsmile
mbc_fallinlove	goffhthgus	POST	pym04gw-yppqn		2011-08-18	오늘 넌내게반 마지막회 마지막회입니 안보셨던분 꼭보세 꼭보세요 안보면후회해요배우들스탭분 모두 수고 taglove 해피엔딩이겟죠 씨엔블루 씨엔블루도 홧팅용 tagexclamation taglove
mbc_fallinlove	loveyou9742	POST	pym04l7-shaw		2011-08-19	넌내게반했어넌 반 회 다시보기 고화질
mbc_fallinlove	jkjk3703	POST	pym04p2-_g02y		2011-08-18	격배 넌내게반 보고내일봐 tagsmile
mbc_fallinlove	oguswjd12o	POST	pym04w1-yvqnh		2011-08-19	어제 넌 널다 내다 반 끝나다 엄청 재미있었는데 tagcry
mbc_fallinlove	yelin7578	POST	pym04yg-1smz		2011-08-18	넌내게반했어막방 tagcry
mbc_fallinlove	dornr19	POST	pym0577-5azn8		2011-08-19	오늘넌내게반했어끝 tagcry 사람들이유치하다고그런걸누가보냐고하지만난그래도뻔한그이야기가재미있었다 tagsmile 정용화의눈물이잊혀지지가않는군 tagexclamation 이제보스를지켜라tagquestion tagexclamation tagsmile
mbc_fallinlove	dmsdldm2day	POST	pym06dt-jeph		2011-08-19	넌내게반했어가 끝나다 아직 아직도 믿기다 않다 정용화고생 진짜수고 근데 tagsmile ㅅ신 ㅅ신은 못해도됭 tagsmile 잘하면안돼거 잘하면안돼거든 tagexclamation 어디서배워왓냐몈 tagsmile 이제
mbc_fallinlove	grace2465	POST	pym06zd-yxd6y		2011-08-19	tagcry tagcry 내사 넌내게 반했어가 끝나다 tagcry 나이제 뭐 사다 tagquestion
mbc_fallinlove	tjsals526	POST	pym075i-_dhgs		2011-08-18	오늘 넌내게 반 마지막회임tagquestion
mbc_fallinlove	kja1332	POST	pym079h-yv377		2011-08-18	넌내게반 마지막회 결말 예고 예 넌내게반 회 혹시넌내게반했어보시는분 쿡오늘이마지막회인데볼수가
mbc_fallinlove	kanghee62400	POST	pym07fl-ysu7m		2011-08-18	안방 넌 널다 내다 반했어보고 거실 보스 지키다 보고 보다 보 난 나다 날다 공부방 숙제
mbc_fallinlove	3120kjh	POST	pym07hg-9i03		2011-08-19	넌내반 정용화 박신혜 love mv
mbc_fallinlove	cfg452	POST	pym07u8-32l8		2011-08-18	넌내게반 막방 tagcry 스페셜 회 하다 좋다 tagsmile 그동안 시청 감사합니다 문구 뜨다 않다 tagcry
mbc_fallinlove	wizard_0	POST	pym07wf-_tqgh		2011-08-19	넌 널다 내다 반 부 굿바 굿바이 얘들 얘들아
mbc_fallinlove	bona222	POST	pym08bf-_kob2		2011-08-19	여러분 아까탑게 어제 넌내게반했어가 끝이 tagcry 신이 신이가 손수술 손수술을 하는걸 하는걸을 감치다 하다 손 소다 솔다 아픈것 아픈것만 안 알다 규원이 규원이가 외국릉 안간다구 해서 하다 어제 신다 신 정용화 규원 박신혜 가 가다 헤어지다 규원 외국 가다 규원이 규원이가 공연 같이하자고 같이하자 하다 거절 하다 울다 댓글
mbc_fallinlove	comet4870	POST	pym08op-_55p4		2011-08-19	아 넌내게반 끝낫다 tagcry
mbc_fallinlove	kyuri0322	POST	pym08wo-yxxkt		2011-08-18	오늘 넌내게반 마지막회 tagcry
mbc_fallinlove	hyejin980	POST	pym0ae0-e8b9		2011-08-19	넌 널다 내다 반 공식md 상품 둘리커플 곰인형 핸드폰줄
mbc_fallinlove	cho208610	POST	pym0b3a-_gdhg		2011-08-18	오늘 tagexclamation 넌내게반 tagexclamation 본방사수 tagexclamation 있지마세 있지마세요 tagexclamation 두둥 tagexclamation
mbc_fallinlove	grace3914	POST	pym0b3r-5ru7r		2011-08-18	넌내게반 taglove 오늘 마지막이닷 tagcry
mbc_fallinlove	cw5544	POST	pym0cjx-97z3		2011-08-19	넌내게 반했어반 끝나다 슬프다 않네용
mbc_fallinlove	insos02	POST	pym0coe-_8lnw		2011-08-19	넌내게반 회 다시보기 년 월 일 넌내게반 회 다시보기 년 월 일
mbc_fallinlove	dnflwla13	POST	pym0cxg-ymej_		2011-08-18	오늘 넌 널다 내다 반 마지막회 마지막회다 tagcry tagcry 제발 세드엔딩 말다 해피엔딩 해피엔딩으 끝나다 좋다 제발
mbc_fallinlove	ohinjeang	POST	pym0d8g-y5p4s		2011-08-18	넌내반 정용화 박신혜 예측 없다 둘리커플 마지막 이야기 예고 예 재경일보 뉴스스크랩
mbc_fallinlove	0203gogo	POST	pym0d9k-yrj65		2011-08-18	tagcry 넌내게반 최종회끝 tagcry
mbc_fallinlove	jena1218	POST	pym0drz-yq4z1		2011-08-18	넌내반 막장기가다분히보이는군 대본하고스토리를좀더늘여서다양한에피소드 자세한상황설명 더불다 스토리를좀다듬었다면완성도높고인기가더많은 드라마가됬을텐데 그래도넌내반잘봤어요 taglove 이세상의모든이신과이규원 tagexclamation 화이팅 taglove 그래도넌내반잘봤어욧 taglove
