program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_gyebaek	minist10	POST	pym01as-_ptp0		2011-08-18	이현우계백 이현우스타 패션알아보기 마이니스트
mbc_gyebaek	feei2nd	POST	pym03tg-5xcmx		2011-08-18	8회 은고 은고를 떠올리다 계백 계백
mbc_gyebaek	tkdzma2005	POST	pym05jc-onrl		2011-08-18	의자왕이뭐에 tagquestion
mbc_gyebaek	jihongchoi	POST	pym0bnb-_8_1y		2011-08-20	나경원 나경원이 그랬어 오세훈 오세훈을 계백 죽게 죽게하면 백제 한 가 가다 망 틀리다 오세훈 오세훈이 죽다 한나라 한나라가 망하는게 아니다 아니 친이계 친이계가 망하는거지 역설적 친이계 친이계가 망 한나라 한나라와 보수 살 사다 있는거 있는거야 이게 민심 나의원 나의원의 총선불출마 기대 tagexclamation
mbc_gyebaek	leeger92	POST	pym0hzc-pvzg		2011-08-18	계백 무사백동수 공주 남자 남다 보스 지키다 넌 널다 내다 반 애정만만세 순위 순이랍니당 드라마 월화 월화나 수목드라마 인기 많다 그것 10시쯤 나오다 제일루 tagexclamation
mbc_gyebaek	didrb1028	POST	pym0inu-yuutd		2011-08-20	광개토대왕 목소리 크다 계백 똥폼 다잡다 백동수 백동수는 시끄럽다 공주 남다 남자 지지다 궁상 다떨고 근데 재밋네잉 tagsmile
mbc_gyebaek	namunju0709	POST	pym0ke8-_8jf1		2011-08-19	탁예은 의자왕 짝 한번 특집 재등장 눈길 벌써 기대
mbc_gyebaek	hello_oasha	POST	pym0wwx-54qm0		2011-08-20	계백 완전 재밌음 그동안 내 왜 외다 백동수 백동수를 보다 tagquestion 어우 계백 비교 안되다 tagexclamation 역시 마봉춘 tagexclamation 사극 마봉춘 마봉춘이 대박 tagexclamation
mbc_gyebaek	cns2860	POST	pym18ly-5atbd		2011-08-20	드라마 보다 보 재밌는 계백 촬영 뒷 이야기 tagexclamation
mbc_gyebaek	cns2860	POST	pym18r7-5atbd		2011-08-20	계백 8회 다시보기 동영
mbc_gyebaek	mjmj416	POST	pym19qf-rgkz		2011-08-20	난 나다 날다 민호란 민호 민호는 거의 거 다 좋아하나바 tagcry 준표도련느님 샤이니민호 군데 굴다 붐 실타 tagsmile 글구 계백 tagquestion 거기 아역 tagquestion 이민호 인가 사람두 실은것가틈 tagsmile 이민호쵝오 잘생겼엉 윤성느님 tagsmile 시티헌터 tagexclamation
mbc_gyebaek	snowbrathers	POST	pym1k38-qdse		2011-08-19	내일 내 아침 시골부여가는데 약치고벌초 근데 일끝 일끝나 일끝나고 계백 세트장 백제문화단지가서 볼려구 하다 촬영 2주 2주에 한번 있다 하다 쉬불썅 쉬불썅간나 경상 창원시 마산합포구 구산면 석곡리 해양드라마세트장 대부분촬영 쥐라리 쥐라리여 백제문화 가야신라배경 왜 외다 그지 같다 부여군 규암면 합정리 575번지 백제문화단지서 촬영 세트장 더짓고 부여 뭐 매년 대백제전 해놓고 볼것 볼것도 그닥 그닥이 이번 드라마 찍다 기회면 이용 알아야지 경상 돈벌다 냅두 냅두고 있다 지밥줄 지밥줄도 못지켜서 못지켜서야
mbc_gyebaek	msy707	POST	pym1k8a-wgcp		2011-08-19	생생현장 무진 어리다 의자 이 물러나다 계백
mbc_gyebaek	dntektmxkdlf	POST	pym32ec-ymhhf		2011-08-18	짝 의자왕 재등장
mbc_gyebaek	webhosting	POST	pym32pr-4_ac		2011-08-18	원문 탁예은 탁예은 의자왕 재출연 짝 애정촌 술렁 탁예은 의자왕 화려 스펙 스펙에 관심집중 탁예은 의자왕 sbs 짝 방송 캡처 탁예은 의자왕 재출연 재출연으 짝 애정 촌 술렁이다 있다 탁예은 재출연 재출연을 예고 기대감 고조됐 웹
mbc_gyebaek	dntektmxkdlf	POST	pym33fl-ymhhf		2011-08-18	짝 의자왕 애정촌 컴백
