program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_starking	soyeung2003	POST	pym01c_-5bnau		2011-08-20	지금sbs 야구하는건 나뿐임tagquestion tagcry 아오 스타킹 샤 샤이 나온다길래 기대 뭐 tagcry sbs스타킹샤이니특집
sbs_starking	qmffhsek	POST	pym029v-yq_w6		2011-08-19	아싸이제자유 그보다스타킹 다나갔네ㄱㅡ
sbs_starking	wlsgk2413	POST	pym0eqn-_igc6		2011-08-20	스타킹한다
sbs_starking	fic123	POST	pym0jr4-i_63		2011-08-20	토렌트다운 스타킹
sbs_starking	fic123	POST	pym0rsg-i_63		2011-08-20	토렌트다운 스타킹
sbs_starking	iyousens	POST	pym0v_j-yq85k		2011-08-20	다시보기 스타킹 놀라운대회 스타킹 월 일자 방송분 다시보기
sbs_starking	alswjd92sm	POST	pym10l7-182c		2011-08-20	오늘 스타킹 샤이니안나 샤이니안나와 본다tagsmile혹시 예고편 예고편에 나오다 모르다 tagsmile taglove
sbs_starking	wjsekqls9	POST	pym1c9h-rmut		2011-08-20	스타킹본사람ㅡ 주니오빠 매운자장면괜찮았어요tagquestion tagcry
sbs_starking	alswjd92sm	POST	pym1dsk-182c		2011-08-20	결국학교 못갔고 샤 샤이 스타킹 언제나오지tagquestion샤기지가 스케줄 엄서 오늘하려나tagquestion
sbs_starking	rndfld	POST	pym1fof-_dq8z		2011-08-20	아 시ㅅㅂ 스타킹 수지 랑 절했어ㅅㅂ 결혼이라기도할려나짱 ㅅㅂ
sbs_starking	wiseguessman	POST	pym1fqy-_o1qk		2011-08-20	스타킹 저분 원맨쇼 신선한충격 tagsmile
sbs_starking	mi782536	POST	pym1mtn-_s7k0		2011-08-20	스타킹 taglove 보고왔어
sbs_starking	rlatnfus1234	POST	pym1ohq-ykn0b		2011-08-20	샤 샤이 스타킹 방송날짜 언제임tagquestion
sbs_starking	01083772049	POST	pym1oqo-_812k		2011-08-20	스타킹 동호오빠 나오다 tagexclamation taglove
sbs_starking	tokyoharoo	POST	pym1puh-ylxps		2011-08-20	제 의 심장 종아리 근육강화 압박스타킹 좋다 이유
sbs_starking	vny2005	POST	pym1way-ye_vq		2011-08-20	방금 스타킹 이준 복근깠어 tagsmile 완전 조다 tagsmile
