program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_strongheart	0_78654_	POST	pym04yf-y4u98		2011-08-18	엠블랙 승호 지다 윤도현의must 강심장
sbs_strongheart	hatbit29	POST	pym08ib-e9b_		2011-08-18	타이슨백포드 강심장 송경 송경아 타이슨백포드 고백
sbs_strongheart	guswlsl98	POST	pym0feb-_3gxu		2011-08-18	강심장 현아댄스
sbs_strongheart	the100yesi	POST	pym0tys-yvat1		2011-08-19	강심장 임상 상아백 광고 빛나다 현모양처 선우용여 선우용여의 파란만장 러브스토리 헐리웃 패션 종결자 백여시
sbs_strongheart	131106_	POST	pym1388-_tuki		2011-08-20	강심장 슈퍼주니어 촬영 현장 사진 사다 공개
sbs_strongheart	tnwlswhddjr	POST	pym1eg8-y5698		2011-08-19	울 울다 엄마 tagsmile 공포영화 고양이 고양 보다 하품중 tagsmile 난무서운데말 tagcry tagcry 울엄마완전강심장
sbs_strongheart	chw6413	POST	pym1q2x-3rkc		2011-08-20	강심장쿠션봣당 tagsmile 이런것두팔드
sbs_strongheart	tomjw	POST	pym3103-5552n		2011-08-18	야후 대 강심장 김현중 귀신 자주 보다
sbs_strongheart	0ollllllo0	POST	pym32x3-_t2uu		2011-08-20	강심장 슈퍼주니어 사진 사다 개인컷 업데이트
sbs_strongheart	qowlgus0808	POST	pym387t-5mxky		2011-08-20	강심장 무릎팍도사 또머잇지 암튼암튼 그것도하차하나요tagquestion 박 일폐지 일폐지하면 머보고살지
sbs_strongheart	hotvideo	POST	pym3h3a-uy8		2011-08-18	sbs 강심장 회 동영 sbs 강심장 회 동영
sbs_strongheart	nunurigo121	POST	pym3hqz-_9tci		2011-08-20	강심장 이승기 사과 꼬집다 허당박력 작렬
sbs_strongheart	lovely_idol	POST	pym3na1-y3x_p		2011-08-20	규현 강심장 공홈 제공 사진 사다
sbs_strongheart	_suju	POST	pym3wy6-z5l0		2011-08-18	슈퍼주니어 강심장 예고편
sbs_strongheart	whynot653	POST	pym52pc-y9t1w		2011-08-17	역시 역시나 잠이오지 않다 밤 일 맥 오늘 끊다 아쉽다 강심장 별루지 별루지만 멋지다 임상아나와서 보고 보다 보 이젠 자다
sbs_strongheart	vny2005	POST	pym530c-ye_vq		2011-08-16	오늘강심장 닥본사 아시죠tagquestion tagsmile 아실꺼에요tagsmile tagsmile 지오빠출연
sbs_strongheart	jisiklog	POST	pym53cr-_rcxy		2011-08-16	오늘강심장에슈퍼주니어나와용tagquestion 강심장
sbs_strongheart	jisiklog	POST	pym53gf-_rcxy		2011-08-16	강심장정석원몇편에서나왓 강심장
