"","tf"
"의자왕",79
"효민",77
"탁예은",46
"백청강",28
"다시보기",27
"등장",26
"ost",24
"이현우",24
"백동수",22
"티아라",21
"티아",18
"사극",17
"애정촌",16
"좋다",16
"대박",15
"새롭다",15
"아역",14
"이서진",13
"김유신",12
"남자",12
"닿을수",12
"무료다시보기",12
"송지효",12
"진짜",12
"차인표",12
"닿다",11
"여자",11
"의자",11
"첫등장",11
"가장",10
"방송",10
"써클렌즈",10
"연기",10
"조재현",10
"죽다",10
"특집",10
"스파이명월",9
"싸다",9
"아니다",9
"은고",9
"출연",9
"공주",8
"급상승",8
"나경원",8
"많다",8
"무사",8
"무사백동수",8
"사는방법",8
"시청자",8
"인기",8
"재출연",8
"촬영",8
"무진",7
"재등장",7
"초영",7
"한번",7
"한번더",7
"기대감",6
"눈길",6
"눈물",6
"만나다",6
"백제",6
"술렁",6
"아버지",6
"완전",6
"원문",6
"월화드라마",6
"죽음",6
"크다",6
"하루",6
"해명",6
"효민이",6
