"","tf"
"사랑",28
"김원준",19
"좋다",19
"다시보기",18
"빅토리아",17
"박소현",16
"많다",14
"아니다",14
"진짜",14
"싶다",13
"언니",13
"여자",13
"은정",12
"친구",11
"20110813",10
"닉쿤",10
"무료",10
"오빠",10
"쿤토리아",10
"데이비드오",9
"안되다",9
"그리다",8
"부인",8
"아직",8
"엄마",8
"우결에",8
"우린",8
"지연",8
"티아",8
"티아라",8
"박소현과",7
"축하",7
"97회",6
"권리세",6
"기다리다",6
"낳다",6
"살다",6
"스캔들",6
"시즌3",6
"재미",6
"정말",6
"행복",6
"그럼",5
"마음",5
"만나다",5
"몰디브",5
"무한도전",5
"미투",5
"싶어",5
"우리나라",5
"재촉때문",5
"주위",5
"하지",5
"환희",5
"800",4
"결혼식",4
"고백",4
"데이비드",4
"때문",4
"모두",4
"무도",4
"무엇",4
"방금",4
"방학숙제",4
"생일",4
"솔직",4
"아빠",4
"여행",4
"용서커플",4
"장우",4
"좋아하다",4
"주다",4
"토렌트",4
"하나",4
"나라",3
"대하다",3
"방송",3
"부모님",3
"사이",3
"선물",3
"섭섭",3
"슬프다",3
"신혼집",3
"여자랑",3
"열애설",3
"영원",3
"우결도",3
"이쁘다",3
"죽다",3
"토요일",3
"하필",3
