"","tf"
"사랑",78
"사람",33
"그대",24
"30회",19
"다시보기",18
"20110814",14
"고맙다",14
"널다",12
"정말",12
"싶다",11
"언제",10
"우리",9
"만나다",8
"생각",8
"아니다",8
"언제나",8
"웃다",8
"좋다",8
"행복",8
"그렇다",7
"그사람",7
"노래",7
"늘다",7
"마음",7
"맞다",7
"은제",7
"이렇게",7
"나르다",6
"너르다",6
"예쁘다",6
"주다",6
"그녀",5
"나도",5
"노랗다",5
"떠나다",5
"많다",5
"모두",5
"못하다",5
"미안",5
"아직",5
"아프다",5
"영원",5
"위하다",5
"위해",5
"자신",5
"조금",5
"지키다",5
"5주년",4
"눈물",4
"당신",4
"미투",4
"바라보다",4
"보고싶다",4
"빅뱅",4
"살다",4
"세상",4
"시간",4
"쓰다",4
"아름답다",4
"이젠",4
"자꾸",4
"잠들다",4
"차다",4
"110820",3
"31회",3
"ost",3
"감사",3
"그녀를",3
"남자",3
"내겐",3
"눈물이",3
"말로",3
"물들다",3
"반가운",3
"버킷리스트",3
"사람곁",3
"소중",3
"싶어",3
"어떤",3
"역시",3
"입맞추다",3
"주말",3
"진심",3
"진짜",3
"천사",3
"축하",3
"친구",3
"크다",3
"하지",3
"해서",3
"10만원상품권",2
"1시",2
"90",2
"lotte",2
"love",2
"vip",2
"vip가",2
"가사",2
"가슴",2
"가장",2
"가질수",2
"거짓말",2
"공주",2
"그녀가",2
"그사람이",2
"기쁘다",2
"나누다",2
"다시다",2
"달콤",2
"대박",2
"돌아오다",2
"두고가네",2
"두고가네요",2
"두다",2
"듣다",2
"따다",2
"떠나가다",2
"마지막",2
"말씀",2
"맑다",2
"모든걸",2
"모르다",2
"무사",2
"무엇",2
"미투도",2
"미프",2
"바보",2
"받다",2
"백동수",2
"백화점",2
"보내다",2
"부르다",2
"부족",2
"사랑하는거",2
"사이",2
"새하얗다",2
"소리",2
"소중함이죠",2
"숨쉬다",2
"아끼다",2
"아직도",2
"안되다",2
"여인",2
"여인의향기",2
"영원할것",2
"오작교형제",2
"오직",2
"오호",2
"울다",2
"응원",2
"의미",2
"이런말",2
"이야기",2
"잡다",2
"천번",2
"천번의",2
"초라하다",2
"토렌트다운",2
"하나",2
"한번",2
"할인",2
"향기",2
