program_id	author_id	type	post_id	comment_id	publish_date	feature	count	word
mbc_fallinlove	qhqls713	POST	pym0nif-t2hn		2011-08-22	LOVEMARK	1.0	taglove
mbc_fallinlove	id4sh	POST	pym13zn-yj8fi		2011-08-22	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	audgml296	POST	pym163x-y2lc_		2011-08-23	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	noliphone	POST	pym1835-_q1bx		2011-08-22	CRYMARK	1.0	tagcry
mbc_fallinlove	somin0210	POST	pym19vq-yrnog		2011-08-22	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	beastjihyean	POST	pym1hw3-_0_kd		2011-08-22	PRESENT	1.0	오늘
mbc_fallinlove	beastjihyean	POST	pym1hw3-_0_kd		2011-08-22	CRYMARK	1.0	tagcry
mbc_fallinlove	iog1307	POST	pym1i6b-88na		2011-08-23	CRYMARK	1.0	tagcry
mbc_fallinlove	salli3525	POST	pym1o4h-5o6oc		2011-08-22	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	sohkim0303	POST	pym1v7k-_pyuh		2011-08-22	LOVEMARK	1.0	taglove
mbc_fallinlove	no6430	POST	pym1wfu-_k68p		2011-08-22	SMILEMARK	1.0	tagsmile
mbc_fallinlove	631sscd	POST	pym8286-_arci		2011-08-24	HEAR	1.0	듣다
mbc_fallinlove	gurthd1234	POST	pym82pw-_s7rt		2011-08-26	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	83208320	POST	pym892v-_9eb1		2011-08-24	PRESENT	1.0	지금
mbc_fallinlove	apparition	POST	pym8a78-cblw		2011-08-23	CRYMARK	1.0	tagcry
mbc_fallinlove	mona0802	POST	pym8dbt-yp5o1		2011-08-27	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	mona0802	POST	pym8dbt-yp5o1		2011-08-27	SMILEMARK	1.0	tagsmile
mbc_fallinlove	mona0802	POST	pym8dbt-yp5o1		2011-08-27	POSITIVE	1.0	좋다
mbc_fallinlove	thdekdms0209	POST	pym8dki-5t7cn		2011-08-27	SMILEMARK	2.0	tagsmile 크
mbc_fallinlove	thdekdms0209	POST	pym8dki-5t7cn		2011-08-27	SEE	1.0	보다
mbc_fallinlove	oskk10	POST	pym8dmp-y_vqe		2011-08-24	SMILEMARK	1.0	크
mbc_fallinlove	oskk10	POST	pym8dmp-y_vqe		2011-08-24	POSITIVE	1.0	웃음
mbc_fallinlove	alsrm123456	POST	pym8fmp-igls		2011-08-23	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	qkrtjdus0818	POST	pym8gcz-m3pu		2011-08-23	LOVEMARK	1.0	taglove
mbc_fallinlove	qkrtjdus0818	POST	pym8gcz-m3pu		2011-08-23	SADNESS	1.0	슬프
mbc_fallinlove	hyl4592	POST	pym8gsp-5tnkr		2011-08-23	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	nunurigo121	POST	pym8hrr-_9tci		2011-08-26	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	tlsddbswl12	POST	pym8huf-yg0pv		2011-08-23	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	milk-khs	POST	pym8jc6-5is13		2011-08-24	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	milk-khs	POST	pym8jh0-5is13		2011-08-24	CRYMARK	1.0	tagcry
mbc_fallinlove	judy1570	POST	pym8ju9-yjujg		2011-08-27	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	qkrtjdus0818	POST	pym8mfi-m3pu		2011-08-23	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	qkrtjdus0818	POST	pym8mfi-m3pu		2011-08-23	POSITIVE	1.0	좋다
mbc_fallinlove	mi782536	POST	pym8p0x-_s7k0		2011-08-24	LOVEMARK	1.0	taglove
mbc_fallinlove	qkrgywjd0227	POST	pym8pn4-5ebcq		2011-08-27	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	qkrgywjd0227	POST	pym8pn4-5ebcq		2011-08-27	NEGATIVE	1.0	아쉬
mbc_fallinlove	yj8537	POST	pym8s74-_asf1		2011-08-24	SMILEMARK	1.0	tagsmile
mbc_fallinlove	abf4	POST	pym8si9-yxc7p		2011-08-24	SMILEMARK	1.0	tagsmile
mbc_fallinlove	pooh1748	POST	pym8ued-vf_u		2011-08-23	SMILEMARK	1.0	tagsmile
mbc_fallinlove	in9525	POST	pym8w81-_fkzt		2011-08-26	PRESENT	1.0	요즘
mbc_fallinlove	in9525	POST	pym8w81-_fkzt		2011-08-26	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	in9525	POST	pym8w81-_fkzt		2011-08-26	SMILEMARK	2.0	크 tagsmile
mbc_fallinlove	in9525	POST	pym8w81-_fkzt		2011-08-26	CRYMARK	1.0	tagcry
mbc_fallinlove	in9525	POST	pym8w81-_fkzt		2011-08-26	LOVEMARK	1.0	taglove
mbc_fallinlove	in9525	POST	pym8w81-_fkzt		2011-08-26	SEE	1.0	보다
mbc_fallinlove	anjfejqkfo20	POST	pym8wii-_gq46		2011-08-23	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	ok8029730	POST	pym8xz2-_wzhz		2011-08-23	QUANTIFIER	1.0	너무
mbc_fallinlove	ok8029730	POST	pym8xz2-_wzhz		2011-08-23	SMILEMARK	1.0	크
mbc_fallinlove	dbgks2983	POST	pym8_6n-5rx4o		2011-08-26	EXCLAMMARK	1.0	tagexclamation
mbc_fallinlove	dbgks2983	POST	pym8_6n-5rx4o		2011-08-26	SMILEMARK	1.0	tagsmile
mbc_fallinlove	dbgks2983	POST	pym8_6n-5rx4o		2011-08-26	HEAR	1.0	듣다
