program_id	author_id	type	post_id	comment_id	publish_date	feature	count	word
sbs_newsunday	je_yen	POST	pym105e-5q5j0		2011-08-23	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	lccsujin	POST	pym10zf-5k4ax		2011-08-22	PAST	1.0	어제
sbs_newsunday	lccsujin	POST	pym10zf-5k4ax		2011-08-22	FUTURE	1.0	다음주
sbs_newsunday	lccsujin	POST	pym10zf-5k4ax		2011-08-22	SMILEMARK	1.0	tagsmile
sbs_newsunday	lccsujin	POST	pym10zf-5k4ax		2011-08-22	POSITIVE	1.0	재미있
sbs_newsunday	jincham0915	POST	pym13dz-yhwvq		2011-08-22	PAST	1.0	어제
sbs_newsunday	jincham0915	POST	pym13dz-yhwvq		2011-08-22	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	sayoki	POST	pym14jt-_2m1		2011-08-22	PAST	1.0	어제
sbs_newsunday	sayoki	POST	pym14jt-_2m1		2011-08-22	SEE	1.0	보다
sbs_newsunday	frompic	POST	pym1623-_d1bz		2011-08-22	SMILEMARK	1.0	tagsmile
sbs_newsunday	frompic	POST	pym1623-_d1bz		2011-08-22	POSITIVE	1.0	사랑하
sbs_newsunday	parkpdkor	POST	pym16z5-5h63r		2011-08-22	PAST	1.0	어제
sbs_newsunday	parkpdkor	POST	pym16z5-5h63r		2011-08-22	SEE	1.0	보다
sbs_newsunday	rkdektha4067	POST	pym16zc-ya3zv		2011-08-22	SMILEMARK	1.0	tagsmile
sbs_newsunday	missa0514	POST	pym1b9q-ysssi		2011-08-23	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	missa0514	POST	pym1b9q-ysssi		2011-08-23	LOVEMARK	1.0	taglove
sbs_newsunday	choijiho3252	POST	pym1e47-y02j5		2011-08-23	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	greenp72	POST	pym1e9i-_wulw		2011-08-22	POSITIVE	1.0	좋다
sbs_newsunday	dlcodbs5473	POST	pym1gfb-_flny		2011-08-23	SMILEMARK	1.0	tagsmile
sbs_newsunday	2000halin	POST	pym1k1m-m5ln		2011-08-22	QUESTIONMARK	1.0	tagquestion
sbs_newsunday	2000halin	POST	pym1k1m-m5ln		2011-08-22	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	pretty4343	POST	pym1kag-_k38f		2011-08-22	PAST	1.0	어제
sbs_newsunday	kjh990420	POST	pym1w43-ycvz9		2011-08-23	PRESENT	1.0	이제
sbs_newsunday	kjh990420	POST	pym1w43-ycvz9		2011-08-23	SMILEMARK	1.0	tagsmile
sbs_newsunday	kjh990420	POST	pym1w43-ycvz9		2011-08-23	POSITIVE	1.0	좋아
sbs_newsunday	pipi0327	POST	pym1wcp-5y3pg		2011-08-23	QUANTIFIER	1.0	조금
sbs_newsunday	pipi0327	POST	pym1wcp-5y3pg		2011-08-23	POSITIVE	1.0	좋아하다
sbs_newsunday	jihyun0735	POST	pym1y03-paau		2011-08-23	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	jihyun0735	POST	pym1y03-paau		2011-08-23	SMILEMARK	1.0	tagsmile
sbs_newsunday	jihyun0735	POST	pym1y03-paau		2011-08-23	CRYMARK	1.0	tagcry
sbs_newsunday	jihyun0735	POST	pym1y03-paau		2011-08-23	SEE	1.0	보다
sbs_newsunday	01039491120	POST	pym1y9w-_my1n		2011-08-23	SMILEMARK	1.0	tagsmile
sbs_newsunday	01039491120	POST	pym1yji-_my1n		2011-08-23	FUTURE	1.0	미래
sbs_newsunday	01039491120	POST	pym1yji-_my1n		2011-08-23	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	vipnumber1	POST	pym80m_-y60d		2011-08-27	CRYMARK	1.0	tagcry
sbs_newsunday	jene2298	POST	pym80pb-aidw		2011-08-27	SMILEMARK	1.0	tagsmile
sbs_newsunday	jene2298	POST	pym80pb-aidw		2011-08-27	POSITIVE	1.0	사랑하
sbs_newsunday	maryjane123	POST	pym80po-yk5v		2011-08-27	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	maryjane123	POST	pym80po-yk5v		2011-08-27	CRYMARK	1.0	tagcry
sbs_newsunday	tmdfl4907	POST	pym81b1-plx5		2011-08-27	QUESTIONMARK	1.0	tagquestion
sbs_newsunday	tmdfl4907	POST	pym81b1-plx5		2011-08-27	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	tmdfl4907	POST	pym81b1-plx5		2011-08-27	CRYMARK	1.0	tagcry
sbs_newsunday	alxnapashf1	POST	pym81tp-59rh5		2011-08-24	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	tmdfl4907	POST	pym81u5-plx5		2011-08-27	PRESENT	1.0	이제
sbs_newsunday	tmdfl4907	POST	pym81u5-plx5		2011-08-27	CRYMARK	1.0	tagcry
sbs_newsunday	bangha9	POST	pym82kt-5zpz0		2011-08-26	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	ic305	POST	pym83ws-_ag_g		2011-08-24	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	ic305	POST	pym83ws-_ag_g		2011-08-24	POSITIVE	1.0	재미있
sbs_newsunday	lynlen02	POST	pym86t9-_aqbu		2011-08-24	SMILEMARK	1.0	tagsmile
sbs_newsunday	tmdfl4907	POST	pym891n-plx5		2011-08-27	PRESENT	1.0	이번주
sbs_newsunday	tmdfl4907	POST	pym891n-plx5		2011-08-27	FUTURE	1.0	다음주
sbs_newsunday	tmdfl4907	POST	pym891n-plx5		2011-08-27	QUESTIONMARK	1.0	tagquestion
sbs_newsunday	tmdfl4907	POST	pym891n-plx5		2011-08-27	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	khj386911	POST	pym89o4-yuvxh		2011-08-24	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	khj386911	POST	pym89o4-yuvxh		2011-08-24	CRYMARK	1.0	tagcry
sbs_newsunday	khj386911	POST	pym89o4-yuvxh		2011-08-24	POSITIVE	1.0	좋아하다
sbs_newsunday	khj386911	POST	pym89o4-yuvxh		2011-08-24	SEE	1.0	보다
sbs_newsunday	rina7339	POST	pym8c52-_dv_h		2011-08-26	PRESENT	1.0	이번주
sbs_newsunday	rina7339	POST	pym8c52-_dv_h		2011-08-26	SMILEMARK	1.0	tagsmile
sbs_newsunday	hawon1996	POST	pym8daj-yotn6		2011-08-24	PAST	1.0	어제
sbs_newsunday	hawon1996	POST	pym8daj-yotn6		2011-08-24	SMILEMARK	1.0	tagsmile
sbs_newsunday	hawon1996	POST	pym8daj-yotn6		2011-08-24	POSITIVE	2.0	즐겁다 좋다
sbs_newsunday	hawon1996	POST	pym8daj-yotn6		2011-08-24	SEE	1.0	보다
sbs_newsunday	jsdian	POST	pym8djw-_qty4		2011-08-24	SMILEMARK	2.0	크 tagsmile
sbs_newsunday	tmdfl4907	POST	pym8i5v-plx5		2011-08-27	PRESENT	1.0	오늘
sbs_newsunday	jihyome2	POST	pym8ia9-_alwc		2011-08-27	QUANTIFIER	1.0	조금
sbs_newsunday	jihyome2	POST	pym8ia9-_alwc		2011-08-27	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	jihyome2	POST	pym8ia9-_alwc		2011-08-27	SMILEMARK	1.0	tagsmile
sbs_newsunday	beautnina	POST	pym8lmn-_lk		2011-08-26	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	beautnina	POST	pym8lmn-_lk		2011-08-26	POSITIVE	1.0	좋다
sbs_newsunday	991215jen	POST	pym8oc9-5b4ut		2011-08-27	PRESENT	1.0	오늘
sbs_newsunday	991215jen	POST	pym8oc9-5b4ut		2011-08-27	QUANTIFIER	2.0	아주 너무
sbs_newsunday	991215jen	POST	pym8oc9-5b4ut		2011-08-27	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	991215jen	POST	pym8oc9-5b4ut		2011-08-27	SMILEMARK	1.0	tagsmile
sbs_newsunday	991215jen	POST	pym8oc9-5b4ut		2011-08-27	CRYMARK	1.0	tagcry
sbs_newsunday	too-day	POST	pym8pll-u0ak		2011-08-27	CRYMARK	1.0	tagcry
sbs_newsunday	djsejzl	POST	pym8qix-_an59		2011-08-26	SMILEMARK	1.0	tagsmile
sbs_newsunday	djsejzl	POST	pym8qix-_an59		2011-08-26	POSITIVE	1.0	웃기다
sbs_newsunday	lauren329	POST	pym8rlu-ajz1		2011-08-24	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	ak9901	POST	pym8vrp-52tsq		2011-08-26	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	tmdfl4907	POST	pym8wz6-plx5		2011-08-27	PRESENT	1.0	오늘
sbs_newsunday	tmdfl4907	POST	pym8wz6-plx5		2011-08-27	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	rusy6347	POST	pym8xxb-yrxep		2011-08-23	POSITIVE	1.0	웃기다
sbs_newsunday	candy99035	POST	pym8yhv-509sp		2011-08-23	SMILEMARK	1.0	tagsmile
sbs_newsunday	candy99035	POST	pym8yhv-509sp		2011-08-23	POSITIVE	1.0	웃기다
sbs_newsunday	candy99035	POST	pym8yhv-509sp		2011-08-23	SEE	1.0	보다
sbs_newsunday	bestmurder	POST	pym90fm-_cima		2011-08-22	POSITIVE	1.0	좋다
sbs_newsunday	rino14	POST	pym99kb-_cjcy		2011-08-23	SMILEMARK	1.0	tagsmile
sbs_newsunday	ericatoto	POST	pym9f9h-5ft6j		2011-08-24	SMILEMARK	1.0	tagsmile
sbs_newsunday	ericatoto	POST	pym9pf2-5ft6j		2011-08-24	SMILEMARK	1.0	tagsmile
sbs_newsunday	ericatoto	POST	pym9pf2-5ft6j		2011-08-24	SEE	1.0	보다
sbs_newsunday	_154cm	POST	pym9tcv-_bg9p		2011-08-23	QUANTIFIER	1.0	아주
sbs_newsunday	_154cm	POST	pym9tcv-_bg9p		2011-08-23	LOVEMARK	1.0	taglove
sbs_newsunday	_154cm	POST	pym9tcv-_bg9p		2011-08-23	POSITIVE	1.0	행복
sbs_newsunday	_154cm	POST	pym9tcv-_bg9p		2011-08-23	ANXIETY	1.0	무서
sbs_newsunday	nuly3821	POST	pymb4zl-wu7y		2011-08-22	PRESENT	1.0	오늘
sbs_newsunday	nuly3821	POST	pymb4zl-wu7y		2011-08-22	FUTURE	1.0	다음주
sbs_newsunday	nuly3821	POST	pymb4zl-wu7y		2011-08-22	SMILEMARK	1.0	tagsmile
sbs_newsunday	nuly3821	POST	pymb4zl-wu7y		2011-08-22	CRYMARK	1.0	tagcry
sbs_newsunday	nuly3821	POST	pymb4zl-wu7y		2011-08-22	POSITIVE	2.0	좋다 웃기다
sbs_newsunday	soomini1028	POST	pymbgal-54eno		2011-08-23	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	slowtogether	POST	pymbvs2-_qh2w		2011-08-22	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	happydoll	POST	pymbx88-5q3bo		2011-08-23	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	happydoll	POST	pymbx88-5q3bo		2011-08-23	CRYMARK	1.0	tagcry
sbs_newsunday	london2008	POST	pymb_78-_tz48		2011-08-22	PAST	1.0	어제
sbs_newsunday	london2008	POST	pymb_78-_tz48		2011-08-22	SMILEMARK	1.0	tagsmile
sbs_newsunday	garim27	POST	pymcasj-_pnj7		2011-08-25	LOVEMARK	1.0	taglove
sbs_newsunday	jessica7358	POST	pymcbnt-_cez2		2011-08-25	CRYMARK	1.0	tagcry
sbs_newsunday	jessica7358	POST	pymcbnt-_cez2		2011-08-25	POSITIVE	1.0	보고싶다
sbs_newsunday	jsdian	POST	pymcndo-_qty4		2011-08-26	SMILEMARK	2.0	크 tagsmile
sbs_newsunday	mho1840	POST	pymcrcp-_gk3n		2011-08-25	SMILEMARK	1.0	크
sbs_newsunday	mho1840	POST	pymcrcp-_gk3n		2011-08-25	LOVEMARK	1.0	taglove
sbs_newsunday	yasi1999	POST	pymct63-_rq05		2011-08-25	QUANTIFIER	1.0	너무
sbs_newsunday	yasi1999	POST	pymct63-_rq05		2011-08-25	SMILEMARK	2.0	크 tagsmile
sbs_newsunday	yasi1999	POST	pymct63-_rq05		2011-08-25	LOVEMARK	1.0	taglove
sbs_newsunday	da2289	POST	pymcvn1-50t3a		2011-08-26	PRESENT	1.0	오늘
sbs_newsunday	da2289	POST	pymcvn1-50t3a		2011-08-26	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	tjdlstlsgml	POST	pymcxfy-y8dkw		2011-08-25	PRESENT	1.0	오늘
sbs_newsunday	rnldudnsoel	POST	pyme6r0-_ssp7		2011-08-22	PRESENT	1.0	오늘
sbs_newsunday	rnldudnsoel	POST	pyme6r0-_ssp7		2011-08-22	SMILEMARK	1.0	tagsmile
sbs_newsunday	rnldudnsoel	POST	pyme6r0-_ssp7		2011-08-22	SEE	1.0	보다
sbs_newsunday	tkanrlrn	POST	pymejzm-_t46i		2011-08-22	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	leejuyoung	POST	pymeyac-swo		2011-08-22	PRESENT	1.0	요즘
sbs_newsunday	leejuyoung	POST	pymeyac-swo		2011-08-22	SMILEMARK	1.0	tagsmile
sbs_newsunday	leejuyoung	POST	pymeyac-swo		2011-08-22	SEE	1.0	보다
sbs_newsunday	minbong159	POST	pymeyxk-_g_kx		2011-08-22	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	babo_boram	POST	pyme_ek-_rc2u		2011-08-22	QUANTIFIER	1.0	아주
sbs_newsunday	qkreho1	POST	pymf2rk-_adm5		2011-08-22	PRESENT	1.0	지금
sbs_newsunday	qkreho1	POST	pymf2rk-_adm5		2011-08-22	EXCLAMMARK	1.0	tagexclamation
sbs_newsunday	990313ny	POST	pymfbhb-5acw8		2011-08-25	SMILEMARK	1.0	tagsmile
