program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_gagcon	calicalis	POST	pym0260-1rzj		2011-08-22	헬스 다이어트 헬스걸 헬스걸의 지도자 개그맨 이승윤 이승윤의 닭가슴살 쇼핑몰 헬스닭 오픈
kbs2_gagcon	hhw008	POST	pym04kj-5l0kc		2011-08-22	최효종개콘 복귀작 애정 화제 신선 tagexclamation
kbs2_gagcon	vbdf12345678	POST	pym04za-5qqaq		2011-08-22	개콘 감사 웃찾사 그걸몰랐네 비슷한거 비슷한거같은데
kbs2_gagcon	crf2008	POST	pym070q-ybdl6		2011-08-22	본방 사수 오늘 제가 제 나와용 찬조 출연 배달 달인 달이다 달 편 펴다 입니 입니다 mm컴퍼 mm컴퍼니 생활의달
kbs2_gagcon	hugex	POST	pym071l-v4f		2011-08-22	애정 개그콘서트 애정 애정 인기비결
kbs2_gagcon	dama390	POST	pym07ov-51gmt		2011-08-22	든든히 최고가매입 챙겨 챙겨드립니 챙겨드립니다 업소용중고주방전문 수입중고주방기구 중고주방용품 업소가전 업소가구 업소그릇 식당집기 부페집기 가게설비 업소폐업 철거 중고주방 토탈매입
kbs2_gagcon	jhkjhk3561	POST	pym0cc1-5q50e		2011-08-22	튀다 산다tagquestion 뜻 모르다 모 노랫말 도통 무슨 소리 애들 노 유치 유치하기 극 달 mbc tv
kbs2_gagcon	jane3226	POST	pym0iue-yc0go		2011-08-22	키스앤크라 김연아 김연아의 아이스쇼 공연 달인 달이다 달 김병 김병만 김병 김병만 차오르다 크리스탈 이동훈
kbs2_gagcon	vbdf12345678	POST	pym0l2_-5qqaq		2011-08-22	달인 달이다 달
kbs2_gagcon	vbdf12345678	POST	pym0le0-5qqaq		2011-08-22	개콘 코너 종영 되다 하다 언제 종료되게tagquestion 이태션 밴드 연주하는순 종영
kbs2_gagcon	custay	POST	pym0lzv-5g_3m		2011-08-22	쿠스테 쿠스테이 광주 유스퀘어 인기개그맨 안상태 출연 tagexclamation 인극 싸이코코미디 상태좋 상태좋아 인 관람권 소셜커머스 광주소셜커머스 할인쿠폰 반값할 반값할인 쿠폰 할인 할 쿠스테 쿠스테이 사랑방신문
kbs2_gagcon	5650328	POST	pym0nr7-ye35n		2011-08-22	드디어 기아 무등산 메시 tagexclamation 내야수비 달인 달이다 달 작은거 작은거인 김선빈 김선빈이 돌아오다 tagexclamation
kbs2_gagcon	suzuki_kuro	POST	pym0qxp-y0tf5		2011-08-22	내 내다 미친중 나츠p님 나츠p님이 가장 가깝다 불편 진실
kbs2_gagcon	bluewindow	POST	pym0tqj-qv5y		2011-08-22	음tagquestion tagexclamation 뭔 달인이죠
kbs2_gagcon	wjvkfah	POST	pym0vja-52sgz		2011-08-22	개그 콘서트 개콘 애정
kbs2_gagcon	xlzjrhdwn	POST	pym0vyt-sqsn		2011-08-22	박 일 시청자투어 다시보기 박 일 시청자투어 대비캠프 객원 mc 백지영 전현무 성시경 달인 달이다 달 김병 김병만
kbs2_gagcon	skma6061	POST	pym0xa7-_rjv_		2011-08-22	깔창 김병 김병만 달인 만나다 cm 달인 달이다 달 김병 김병만 내 진짜 키다리 아저씨라구 tagexclamation
kbs2_gagcon	vbdf12345678	POST	pym0xde-5qqaq		2011-08-22	달인  년동안 살아남았당께
kbs2_gagcon	fbtmddk4643	POST	pym10yu-_snv3		2011-08-22	나다 나 명언가개그맨 이미지 잘몰겟어탈드립 일정드립잡아줄거 기대하지 싸우다 끼어들수도잇겟다 이남지
kbs2_gagcon	larcyui	POST	pym10yz-n2e8		2011-08-22	휘둘리다 안되다 휘둘리다 버리다 상대방 잘 자다 모르다 불편 진실 난 나다 날다 왜 외다 강하다 강 강하 세보 세보이기 하다 하 맘 이리 약해빠졌는지 췌에 췌에에 ㅅ tagexclamation
kbs2_gagcon	juno808	POST	pym111y-_c4__		2011-08-22	개콘 헬스걸 강도 강 높아지다 스킨십 얇다 못 민망
kbs2_gagcon	silverkoichi	POST	pym11c7-580xy		2011-08-22	개콘 개콘에 애정 애매 것 정하다 남자 남다 가 가다 있다 미투 미투엔 애정e 애정e가 있닼 tagsmile 올 오다 tagsmile
kbs2_gagcon	kkom	POST	pym11e_-5z		2011-08-22	어 정말 개콘 애정 좀 조다 재밌었어 tagsmile 사랑 사 애 앗다 가 가다 아니다 아니 애매한것 정하다 남자
kbs2_gagcon	frompic	POST	pym1237-_d1bz		2011-08-22	이승윤 헬스닭 론칭 amp 헬스걸 다이어트 폭풍감량개그콘서트 헬스걸요즘 개그콘서트 새롭다 인기 코너 자리매김 하다 하 있다 눈길 사로잡습니다헬스걸 다이어트 폭풍감량
kbs2_gagcon	beauty8974	POST	pym124m-_i_bg		2011-08-22	개콘보셨어욤tagquestion tagsmile 나이 어떻다 되세요tagquestion
kbs2_gagcon	maidasha	POST	pym12qg-80oh		2011-08-22	무작정 헬스걸
kbs2_gagcon	sjh0911	POST	pym134x-4ji		2011-08-22	개콘 애정 폭발 인기 요거 애매합니다잉 말투 대박
kbs2_gagcon	korean2070	POST	pym135h-5hmwi		2011-08-22	개콘 새코너 애정 참신 아이디어 통하다
kbs2_gagcon	korean2070	POST	pym136k-5hmwi		2011-08-22	개콘 최효종 새코너 애정  으 으로 복귀 대박예감
