program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_happysunday_men	jichosuk	POST	pym0qbl-yxx4d		2011-08-22	꼬꼬면 이경규라면 남자 자격 선보이다 요즘 유명세 타고 이경규라면 꼬꼬면 도전기 tagexclamation
kbs2_happysunday_men	pinkbaby0906	POST	pym0xv3-yuo5g		2011-08-22	tagsmile 우왓 tagexclamation 우리합창단ucc낸거 통과 일나다 부산예선 보러갔는데 차통 차통과 차통과 남자의자격 나가다 대회 나갈수 있다 tagsmile 근데 문제 남자 자격 서울예선 통과했나tagquestion tagsmile 근데 우리 예선볼때 심사위원 박현빈 tagexclamation tagsmile 진짜 잘생기다 실물 tagsmile
kbs2_happysunday_men	sbs8news	POST	pym832k-y49mw		2011-08-27	sbs 뉴스 대구 세계 육상선수권대회 남자 남다 m 자격예선 김국영 선수 출발 직전 다리 약간 움직이다 움직 것 판명 부정 출발 로 실격 여자 m 정혜림 정혜림은 본선 진출 성공 sbs news
kbs2_happysunday_men	ldwlovepyl	POST	pym8lb7-wq2s		2011-08-24	남자 자격 아이돌메들리 한다는것인가tagquestion 청춘합창단 아이돈케어 소원을말해봐 잔소리 하트비트 링딩동 샤이보 샤이보이 하트브레이커 이걸
kbs2_happysunday_men	suhyeon1196	POST	pym996i-_ak9d		2011-08-22	나 나다 요즘 남격 청춘합창단 반했당 taglove
kbs2_happysunday_men	903hhs	POST	pym9gpc-r3q8		2011-08-22	헐 남자의자격 재방보는데 청춘합창단 투애니원 아돈케어 랑 지용오빠 하트브레이커 부르다 tagsmile 소원을말해봐 잔소리 하트비트 링딩동 링딩동이 루시퍼 루시퍼랑 샤이보 샤이보이 죽어도못보 죽어도못보내 죽어도못보내도 tagsmile
kbs2_happysunday_men	iyousens	POST	pymb7uk-yq85k		2011-08-22	다시보기 남자의자격 남자의자격 장기미션 점검 다시보기 월 일 방송분 다시보기
kbs2_happysunday_men	wnddnek	POST	pymbbau-5eznt		2011-08-22	급 심심돋네 피엠피 피엠피에 내일 내 학교 볼 보다 남격 청춘합창단 일상 r 화 호다 넣어놨음
kbs2_happysunday_men	wnddnek	POST	pymboey-5eznt		2011-08-23	앗다 좀 조다 자다 남격 보다 벌쓰다 시다 허허
kbs2_happysunday_men	joculator	POST	pymbvap-yzbz		2011-08-22	lt 남자 자격gt 의 청춘합창단 기획 두 마리 토끼 토끼를 잡다 하다 노년층 노래 통하다 청춘 을 되찾다 것 동시 지금 청춘 노래 통하다 이해 지금 매우 성공적 생각
kbs2_happysunday_men	pja174	POST	pymc2xq-_9ffy		2011-08-26	남자의자격 꼬꼬면출시 꼬꼬면시식 꼬꼬면 꼬꼬면매출 이경규 꼬꼬면 남자의자격 꼬꼬면출시 꼬꼬면시식 꼬꼬면 꼬꼬면매출 이경규 꼬꼬면
kbs2_happysunday_men	pgb0911	POST	pymc8i3-y05bj		2011-08-25	박칼린에세 박칼린에세이 남자의자격 히어로 히어로인 그녀 그녀의 에세이 무엇 무엇보다 자신 일에대 일에대한 열정과ㅡ사람 인연 소중하다는것ㅡ 한번되새겨준다 나 나다 오늘지금ㅡ독서미투 tagsmile
kbs2_happysunday_men	sigstyle	POST	pymcy34-etjo		2011-08-25	남자의자격 같다 합창 이슬 tagexclamation 지금 스텔라 스텔라로 돌아오다 tagexclamation 끝에눈감 또르르 tagsmile
kbs2_happysunday_men	pdh9760	POST	pymedj2-yeplw		2011-08-22	남격 아이돌 메들리 하잖아tagquestion 그거 따라부르 따라부르는 사람 사다 우리집 나 없다 엄마 요즘가 요즘가요 안듣고 오빠 취향 그런쪽 그런쪽이 아니다 아니 뭔가 따가 따가된 기분이랄까
kbs2_happysunday_men	sianfreehyun	POST	pymfcvd-5uh8n		2011-08-22	남자 자격 이경규 이경규가 만들다 라면 시중 판매 되다 것 알다 오늘 퇴근 호기심 한 하다 번 벌다 사다 tagsmile 오늘 저녁 고민 안하다 되다 tagsmile
kbs2_happysunday_men	dowk3927	POST	pymgl4s-_85l8		2011-08-27	대구세계육상선수권대회 김국영 남자 남다 m 자격예선서 부정 출발 실격
kbs2_happysunday_men	pchris1217	POST	pymgyqc-ye1gh		2011-08-27	나다 나 왜 외다 시간 남자 자격 암 편 보고 보다 보 있다
kbs2_happysunday_men	okskjs	POST	pymhcs4-yde26		2011-08-27	우리나라 한국 남자 남다 m 김국영선수 실격 하다 하 말다 하다 m 자격예선 부정 출발 실격 당 말다 괜찮다 tagexclamation 힘내다 김국영 선수 tagexclamation
kbs2_happysunday_men	sub06179	POST	pymhfdx-56_w2		2011-08-27	남자의자격에나왔던 나가사끼우동 tagexclamation 인증 taglove 먹었음 tagsmile ㄷ
kbs2_happysunday_men	above4392	POST	pymhvkj-gauy		2011-08-27	전 절다 이 가다 토 일요일 학원가 학원가는 시간 하필 전부 버라이어티 할때 할때야 tagcry ㅡ 무도 못 남격 박 일 다 못본다능 tagsmile 에휴
kbs2_happysunday_men	carbun065	POST	pymia01-_f0dj		2011-08-26	토마스성우 김기흥님이 tagsmile 어쩐지 친숙 목소리더 한때 던파많 던파많이 해서 하다 tagsmile 으아닛 남격성우 있넹 tagsmile 역시 같다 네오플 네오플인가 tagsmile
kbs2_happysunday_men	cj_tving	POST	pymj5ye-_fpc0		2011-08-23	남자 자격 회 보셨나요tagquestion 청춘 합창단 주제 tagexclamation 열정 남녀노소 나이 나다 나 구분 없다 tagexclamation 남자 자격 회 다시보기 해피선데이다시보기 실시 티빙 티비보기
