program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_challenge	figrett92	POST	pym1n_c-_avkp		2011-08-23	무도 무 하하업을때 화보 taglove
mbc_challenge	mamas_	POST	pym1ule-yix7t		2011-08-23	아 무섭다 혼자집가는데 어두운길에아무도 아저씨만보 tagsmile
mbc_challenge	gemmm	POST	pym1zw6-enid		2011-08-23	정형돈 홈쇼핑 엄청 떠는구 떠는구나 tagsmile 아 웃기다 무도 또 유재석 안따라 안따라하려 안따라하려나 tagsmile
mbc_challenge	tngus1401	POST	pym800f-9cjb		2011-08-27	의정부시 금오동에 금오동에있는 홈플러스 천보중학교 그리다 의정부여자고등학교 tagexclamation tagcry 와주세용 taglove 힘든분 힘든분이 많다 사람 힘 되주세 되주세요 tagcry 재석님 명수님 하하님 노긍정님 정형돈님 무한도전공연신청
mbc_challenge	hello_loveme	POST	pym80mz-_hqc7		2011-08-27	안녕하세요tagsmile 저 서울송정초등학교 학년 입니 입니다 저희 저희가 학년 조금 졸업이자 tagexclamation 친구 추억 남다 남기다 싶어서 tagcry 저희 학교 학년 무한도전 멤버 재미 남자애 여자애 많다 제발 제발 오다 tagcry 무한도전공연신청
mbc_challenge	wine990323	POST	pym814b-p7ug		2011-08-27	서울반포초등학교 졸업을압두고 학생 좋은추억만들어주셨으면 좋다 현장학습 수련회 체험활동 저희학년 제외 제외되거 안좋은곳 안좋은곳으 다녀오다 많이 속상해하고 초등학교 졸업하기전 좋은추억하 좋은추억 무한도전 만들어주thㅔ 만들어주thㅔ요 tagexclamation 무한도전공연신청 싸이 싸다 싸 아들 보유중 tagexclamation 빨다 데려가다 tagexclamation tagsmile
mbc_challenge	wine990323	POST	pym81b0-p7ug		2011-08-27	서울반포초등학교 졸업을압두고 학생 좋은추억만들어주셨으면 좋다 현장학습 수련회 체험활동 저희학년 제외 제외되거 안좋은곳 안좋은곳으 다녀오다 많이 속상해하고 초등학교 졸업하기전 좋은추억하 좋은추억 무한도전 만들어주thㅔ 만들어주thㅔ요 tagexclamation 무한도전공연신청 싸이 싸다 싸 아들 보유중 tagexclamation 빨다 찾아가라그래 tagexclamation tagsmile
mbc_challenge	nrj1540	POST	pym81rg-yrp11		2011-08-27	으아 정말꼭오셨으면좋겠네요 tagcry 서울시 동작구 동작구에 위치 장승중학교 입니 입니다 tagexclamation 꼭와주세 꼭와주세요 tagexclamation 무한도전화이팅 tagexclamation 무한도전공연신청
mbc_challenge	khi_9866	POST	pym81s0-_h8qf		2011-08-27	무모 도전 황소끌때 닥본사 재방송 하다 팬 tagexclamation 요즘 저희 반 아이들 방학 끝나다 수행평가 숙제 학원갈라 예전 않은거 같다 tagexclamation 예전 뛰어놀다 산 tagquestion 분위기 됬으면 해서 하다 이렇게 부탁 tagexclamation 무한도전공연신청 동작구 서울문창중학교 반 tagexclamation tagsmile
mbc_challenge	ye___jin_	POST	pym81vn-_smb_		2011-08-27	오예 tagexclamation 서울시 양천구 목동 경인초등학교 tagexclamation 무도무 무도무도 공연 진짜 보고싶어옄 무한도전 우리학교 얼마 사랑하는데욧 tagexclamation 초등학생 스트레스도풀어줄겸 이런거 이런거는 거의 거 초딩들한테 안오는데 새롭다 프로 개척해보는건 어떨까 어떨까요 tagexclamation 운동장 넓고좋아 넓고좋아요 무한도전공연신청 우리 학교 학생 그리다 저 tagexclamation 무도 무 멤버 얼마 사랑하는데 tagcry
mbc_challenge	0_3_0_3	POST	pym81_b-5yb3l		2011-08-27	인천양촌중학교 오다 tagsmile 무한도전 완전 팬이에 팬이에요 무한도전공연신청
mbc_challenge	oujung4941	POST	pym831p-5kvzk		2011-08-27	좀 조다 많다 특이 저희학교 오다 tagsmile 공군교육사령부 있다 공군항공과학고등학교 tagsmile 미래 우리나라 하늘 지키다 우리 활력소 되다 tagsmile 무한도전공연신청
mbc_challenge	wangguri00	POST	pym835g-qdji		2011-08-26	제친구중 제친구중에 싸 싸이 똑같다 생기다 사람 이써 이써요 tagsmile 걔 싸이 대뷔 대뷔하 대뷔하는 순간 지금 싸이 불리다 tagsmile 그리다 이거 무한도전 하는건가요tagquestion 이번 이번에 무한도전 디자인 디자 공모전 시작 그것 재밌을꺼 같다 click 하시면 볼수이써 볼수이써요 무한도전닮은꼴
mbc_challenge	dbwls5075	POST	pym8380-85v8		2011-08-27	아까 무한도전 보다 완전 웃기다 tagsmile
mbc_challenge	tngus1401	POST	pym83io-9cjb		2011-08-27	경기 의정부시 금오동 홈플러스 로 공연와주세 tagexclamation tagcry 의정부 연예인 안와서 볼수 볼수가 없거든요 무한도전 여러분 오다 tagexclamation tagsmile 제발료 taglove 싸 까다 하다 영광 무한도전공연신청
mbc_challenge	cysh3426	POST	pym83j5-5mh9		2011-08-27	안녕 tagexclamation 저 연예인 자주 볼수 없다 지방 중 여자랍니 제가 제 이번 이번에 중학교 졸업인데 졸업 전 친구 즐겁다 화끈하게 놀고싶습니 놀고싶습니다 tagexclamation 경 진주 오다 tagexclamation 수도권한다 설마 설다 저희 지방 버리시는건 아니겠죠tagquestion tagexclamation 부탁 tagexclamation 무한도전공연신청
mbc_challenge	gksskatls	POST	pym83nv-_a_82		2011-08-27	대구태전초등학교 오다 tagexclamation 대구 북구 태전동 태전동으 오다 저희 학교 국악부 체조부 유명 그리다 이번 이번에 열리다 대구세계육상선수권대회 저희 학교 오다 응원 tagexclamation 이사갈수 있다 마지막 추억 학교 남다 남기다 싶어요tagsmile 무한도전공연신청
mbc_challenge	hae3089	POST	pym83ok-_05j		2011-08-27	전라북 전라북도 전주시 완산구 성심여자중학교 로 오다 전통적 카톨릭학교 제 제대 놀 있다 tagexclamation 무한도전 함 놀 준비 되어 되어있습니 되어있습니다 tagexclamation 년 전통 세라복 세라복인 전주성심여자중학교 꼬옥 오다 tagexclamation tagsmile 무한도전공연신청
mbc_challenge	tngus1401	POST	pym83pw-9cjb		2011-08-27	의정부시 금오동 천보중학교 오다 공연을해주세요tagsmile 학교 더워서 기분 다들 하락 tagcry 후배들기분 선생님 선배님 기분좀 업 시키다 tagexclamation 무한도전공연신청
mbc_challenge	tjswk110	POST	pym83tx-c284		2011-08-27	무한도전 공연신청 안녕 tagexclamation 금산동중학교 중 입니 입니다 올해 중학교 생활 마지막 특별 추억 친구 만들다 십슴니다 십슴니다요 tagexclamation tagsmile tagsmile 와주세 와주세여 tagexclamation 그리다 금산 인삼축제 해용 tagexclamation 무한도전공연신청
mbc_challenge	tngus1401	POST	pym83uh-9cjb		2011-08-27	의정부여자고등학교 알지오tagquestion tagsmile 저희 언니 여기 다니고 다니고있는데 공부땜 공부땜에 스트레스많 스트레스많이 받다 언니 다 풀수 풀수있게 놀다 가다 가세 tagexclamation 무한도전공연신청
mbc_challenge	bigbang525	POST	pym8579-1j1c		2011-08-27	앜 tagsmile 무한도전 소지섭 리턴즈 완전 욱곀 tagsmile
mbc_challenge	jjoonchoi	POST	pym85fq-y_6y9		2011-08-27	집가수 집가수의 게임본능인가요tagquestion tagsmile 넘잘 넘잘해 tagexclamation 무한도전 tagexclamation
mbc_challenge	alcutepdl	POST	pym85ir-_hlsb		2011-08-27	무한도전 보다 보 생각난건데 무한도전 멤버 못생긴건가tagquestion안못생긴거 같은데tagquestion
