program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_sundaynight_nagasoo	klee72kr	POST	pym02hn-eak7		2011-08-22	인순이님 인순이님의 나가수 노래 나오다 전 절다 속삭 임 서두서 이미 사람 그녀 그녀의 음악 감동 가슴 남다 노랫말 부모님 잘 할 하다 듯
mbc_sundaynight_nagasoo	rockwear	POST	pym043j-y8gak		2011-08-22	뮤직샤워 어제 나가수 보다 보셨 tagquestion 인순이씨 인순이씨의 아버지 임재범 임재범의 여러분 비견 폭풍감동 와우
mbc_sundaynight_nagasoo	edutcom	POST	pym0453-y1y40		2011-08-22	나가수인순이아버지 인순이아버지 나가수
mbc_sundaynight_nagasoo	hhw008	POST	pym04c4-5l0kc		2011-08-22	나가수 순위 인순 인순이 아버지 눈물바 눈물바다
mbc_sundaynight_nagasoo	blusea012	POST	pym07r_-jyk2		2011-08-22	어제 나가수 나가수에 바비킴 나오다 거 거다 보고 보다 보 양진이 양진이가 생각 tagsmile 고래 꿈 꾸다 노래방 같다 부르다 기억 tagsmile 이미지 좀 조다 닮다 닮았 그러고보 보고픈 친구
mbc_sundaynight_nagasoo	8lulala99	POST	pym0a9g-_sttq		2011-08-22	역시 인순 인순이 mbc 나가수 첫 출연 1위 오셔서 즐기다 tagexclamation 여우 야 처소 처소로 놀러오다 tagexclamation 왼편 주소 주다 보이죠 tagquestion joinsmsn
mbc_sundaynight_nagasoo	18ragnarok	POST	pym0abk-iq2		2011-08-22	각 포털사 나가수 순위 로 검색 페이지 페 누 누가 시작 모르다 궁금 정보 바 보여주다 보 비교 약간씩 다르다 가치관 디테일 보 재밌네 2fb 다음 네이트 네이버 나가수 순위 검색
mbc_sundaynight_nagasoo	toktok456	POST	pym0caf-5cghw		2011-08-22	잇몸형 tagexclamation 언재 언재나 응원할꺼에 사랑하니까 진심 존경 만나고싶으니까 마지막 말다 말 하지마 하지마요 형 훌륭하다 가수가 가수가되어 만날꺼니까 만날꺼니까요 tagcry 아 진짜 눈물 잇몸형 파팅 tagexclamation 열삼 열삼히 하다 tagexclamation 저 잇몸형 붙을거 붙을거라 확신 왜냐 왜냐하면 형은멋쟁 형은멋쟁이니까 가수 이별 슬픔 슬프다
mbc_sundaynight_nagasoo	shinji0	POST	pym0cx5-3q78		2011-08-22	아 짱 짱나 나가수 자우림 7위한건 마지막 인순이 인순이가 분위기 다 가라앉혀서잖아 tagexclamation 지난 지나다 지 번꺼 번꺼도 좋다 tagcry 우씌
mbc_sundaynight_nagasoo	andy323232	POST	pym0czi-_rusj		2011-08-22	인순 인순이 아버지 듣다 나도 나다 나 모르다 울컥해버렸다 그립다 슬프다 슬픔 가로막다 것들 것들을 한순 무너뜨려버린인순 무너뜨려버린인순이 무너뜨려버린인순이라 이르다 이름 가수 나도모르겠다 감정 토하다 만들다
mbc_sundaynight_nagasoo	tls3344	POST	pym0hd8-55uef		2011-08-22	인순이님 당신 당신은 최고 단어가아까울정도 인순 인순이 나는가수 나가수
mbc_sundaynight_nagasoo	dd1559	POST	pym0hkz-ykark		2011-08-22	우 개학 기쁘다 왜냐면 방금 아이콘 키다 포맨 오빠야들 사랑해열창해주시고 사랑해열창해주시 나가수 윤대표님 2등 드셔주시 조한님 관우님 뒤 3,4위 그리다 슬리퍼 사러가 사러가다 정주나요 웃음 웃다 고마워 고마워를 연달다 들다 때문 때문에 tagsmile
mbc_sundaynight_nagasoo	syuos	POST	pym0li9-yulut		2011-08-22	나가수 인순 인순이 어제 아버지 불러서 1등했긔 순팽이닷컴
mbc_sundaynight_nagasoo	kkarilyg	POST	pym0n95-i__i		2011-08-22	어제 나가수 볼 하다 tagquestion tagsmile 김바비 김바비랑 인순 인순이 바이브 괜찮다 tagsmile
mbc_sundaynight_nagasoo	80gusdud	POST	pym0q9b-y35gi		2011-08-22	행복이가득한집빌라 발도장 tagexclamation 나다 나 가수 못 엄마 놀다 컴터 컴터로 보고있는중 아 조관우님 조관우님은 역시 자기노래 하셔 하셔야 지다 진가 발휘 자우림 자우림도 짱 tagexclamation via 아임in
mbc_sundaynight_nagasoo	no1crystal	POST	pym0s5b-yiu7q		2011-08-22	나가수 인순 인순이 아버지 드디어 세상 빛 불량주부
