program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_besideme	zenath	POST	pym0ane-5jk8h		2011-08-22	내겐 친구지 친구지만 다르다 여자들에겐 남자 넌 널다 마치 꿈 깨어난듯 말 이제 사랑 알다 되다 그녈 사랑 행복 니 앞 축하 하다 하지 자꾸 왜 외다 내맘 내맘이 슬프다 허전한건지 왜 외다 난 나다 날다 자꾸 울다 싶다 친구 말 나도 나다 나 몰다 너르다 사랑했나봐 하다 하지 난 나다 날다 언제까지 언제 곁 함 하고싶어 사랑 또 헤어지다 영원 우린 이별할테 지금 친구 곁 내 함께할거 나도 나다 나 가끔씩 가끔씩은 어깨 아니다 품 안기다 알다 알 그녈 내다 보여주고픈 너에겐 나도 나다 나 소중하단걸
sbs_besideme	fic123	POST	pym157y-i_63		2011-08-22	110821 토렌트다운 내 내다 사랑 사 내 내다 곁 32회
sbs_besideme	junes26	POST	pym1a1l-yxvov		2011-08-22	내사 내곁 내곁에 32회 8월21 일 방송 보기 보다
sbs_besideme	freeherb	POST	pym1a4e-559k5		2011-08-22	늘다 내곁 내곁에 그렇다 있다 처음 않다 괜찮다 그대 아낄게 아낄게요 눈물 없을만큼 상처 지울 셀수 셀수도 없을만큼 사랑할게 brown eyed soul love ballad
sbs_besideme	greenp72	POST	pym1eb2-_wulw		2011-08-22	동영 내사랑내곁 32회 다시보기
sbs_besideme	ccya	POST	pym1kxq-hmgu		2011-08-22	내 내다 사랑 사 내 내다 곁 32회 8월21 일 다시보기
sbs_besideme	tnqls4982	POST	pym1nrv-aqw5		2011-08-22	내 내다 곁 머무르다 사랑 고맙다 110822 정말 사랑 이가은 taglove
sbs_besideme	kaciopeia	POST	pym1or7-gi74		2011-08-23	취향 이상형 연인 모습 돌이켜보다 전부 다르다 사랑 빠지다 건 거다 걸다 불가사의 나중 누 누가 내곁 내곁에 있다 예측 없다 설레다 tagsmile 뭐 가끔가 가끔가다 이상형 만나다 사람 보다 그건 순전 운 달린듯 tagsmile
sbs_besideme	wingsadd	POST	pym1p_y-_5e9s		2011-08-22	내사랑내곁 32회 다시보기 2011-08-21 내사랑내곁 32회 다시보기 2011-08-21
sbs_besideme	zzz431	POST	pym80pt-5spvw		2011-08-24	visions beauties 당신 당신이 나르다 나 선택한것 불행 행운 모르다 당신 당신이 내곁 내곁에 있다 주는것만 주는것만으로 난 나다 날다 행복 내 행복하다는것 당신 당신을 사랑할수 있다는것 있다는것입니 있다는것입니다 visions beauties visions beauties
sbs_besideme	dlwldms20	POST	pym88gk-n1v0		2011-08-27	하늘 반짝이다 별 본적 본적있는가 아름답다 별빛 별빛에 눈물흘린적 있다 이제 잊혀지다 사랑이기에나 이것 버리려 버리려한다 이제 그대 내곁 내곁에 없다 별 보다 보지 시 읊다 않다 하다 하지 그대아직 여기에내마음있으매 아름답다 인터넷에서찾은시 tagsmile
sbs_besideme	jinyo_2	POST	pym897o-_39j6		2011-08-27	내 희생 당 누군가 누군가가 나 희생 덮어주다 이해 내 내다 곁 있다 바라는건 무슨 욕심 물론 나또 나또한 생각 하다 때 있다 나 희생 있다 다른누군가 나르다 나 위해 위하다 물심양면 희생 한다는건 이기적 무섭다 말인것 같다 특 그게 사랑 더더욱 2030 미투광장
sbs_besideme	intaedot	POST	pym8cuq-u76d		2011-08-24	잠시 쉬어가다 사람 사다 내다 없다 안되다 소중 사람 틀림 하다 하지 내 못할짓 못할짓들을 하다 지금 나다 나 사람곁 사람곁에 갈수 나중 시간 많다 흐른뒤 흐른뒤에 내 정말 다르다 사람 되다 때 사람 행복 줄수 줄수있 줄수있을 때 그때 참 차다 찌질 찌질하지 찌질하지만 놓을수 놓을수가 없다 언젠가 사람 사다 옆 서고 서다 서 말다 사람 결혼 싶다 내 내다 평생 같다 사람 지나가다 보지 보다 못하다 사랑 영원 나 결혼
