"","tf"
"무한도전공연신청",200
"저희",83
"좋다",73
"학교",57
"싸이",48
"공연",39
"친구",35
"진짜",34
"공연신청",32
"싶다",32
"닮은꼴",29
"무한도전닮은꼴",29
"많다",28
"제발",28
"축제",27
"학생",27
"안녕",26
"추억",26
"우리",25
"서울반포초등학교",24
"초등학교",24
"정말",21
"좋은추억",21
"그리다",18
"만들다",18
"박명수",18
"완전",18
"이번",18
"사람",17
"싶어",17
"좋아하다",17
"마지막",16
"졸업하기전",16
"주다",16
"한번",16
"6학년",15
"경기",15
"우리학교",15
"유재석",15
"많이",14
"부탁",14
"수련회",14
"연예인",14
"입니",14
"입니다",14
"체험활동",14
"다녀오다",13
"만들어주th",13
"반포초",13
"서울",13
"속상해하고",13
"안좋은곳",13
"안좋은곳으",13
"재미",13
"저희학년",13
"제가",13
"제외",13
"제외되거",13
"좋은추억만들어주셨으면",13
"좋은추억하",13
"현장학습",13
"멤버",12
"사랑",12
"저희학교",12
"졸업을압두고",12
"중학교",12
"즐겁다",12
"서울시",11
"아니다",11
"이렇게",11
"하나마",11
"하나마나",11
"이번에",10
"졸업",10
