program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_happysunday_1bak2il	naver_news	POST	pyc0835-bj_k		2011-09-09	연예 1박2 일 멤버 강호동 은퇴 소식 패닉 네이버 뉴스 이데일리 강호동 잠정 은퇴 선언 동료 반응
kbs2_happysunday_1bak2il	tbn2813	POST	pyc083l-5m8i5		2011-09-09	tagsmile 강호동 은퇴 tagsmile 강호동 강호동이 빠지다 1박2 일 mc mc는 누 누가 tagquestion 신입 mc 멤버 오다 오 tagquestion 잠정은퇴 하다 은퇴 은퇴하 tagquestion 점점 궁금 강호동 때문 때문에 제 3회 시청자 투어 투어도 강호동 탈소 탈소로 인해 취소 되다 1박2 일 이 괜찮다 tagquestion
kbs2_happysunday_1bak2il	frj11	POST	pyc0a4s-zh7_		2011-09-08	강호동 강호동이 1박2 일 하차 기정사실화 하자 하다 그걸 그걸로 밥벌어먹던 kbs측 크다 한방 터트리다 하차설 안 강호동 탈세사건 절 절대 안 지금 예능 큰돈버 큰돈버는 예능 털다 안 사람 있다 정치적인쇼 참 차다 웃기다 천하 강호동 강호동도 방송사에겐 넘어지다 넘어지는구 따다 mc mc들이 이사건 이사건을 계기 더욱 방송사 충성 맹세
kbs2_happysunday_1bak2il	dudeh112	POST	pyc0asc-tkfg		2011-09-09	1박2 일 나영석pd 강호동 은퇴 영구결번 충원 강호동 강호동이 불쌍 이데일리
kbs2_happysunday_1bak2il	sms061160	POST	pyc0m90-y0jp6		2011-09-09	강호동 은퇴 tagcry 망 tagcry 그럼 엠시게 엠시게는 엠씨유꺼네 tagquestion tagcry 1박2 일 tagcry 스타킹 tagcry
kbs2_happysunday_1bak2il	emy1102	POST	pyc0pyg-y72j2		2011-09-09	아 어떻 어떻해 강호동 연예계 은퇴 tagquestion 아 해피선데 해피선데이 일박이 일박이일 많다 봤었는데 tagcry 왜그랬어요 국민 전세계 국민분 어떻다 해라구 tagcry 1박2 일 보다 못 보잖아 보잖아요 tagcry 이건 mc유 mc유도 못한다구 tagcry 오직mc 강 할 하다 있다 프로라구 tagexclamation 왼손잡이 아니다 tagcry
kbs2_happysunday_1bak2il	kudolove	POST	pyc0wnf-5ynbl		2011-09-09	원문 1박 2 2일 나pd 의 입장표명 강호동 빠지다 후 새 새다 멤버 충원 없다 나영석 kbs 2tv 해피선데 웹
kbs2_happysunday_1bak2il	bntnews	POST	pyc12ap-5rtw7		2011-09-10	bnt 뉴스 강호동 은퇴선언 강심장 무릎팍도사 스타킹 1박2 일 날벼락 연예 어제 기자회견 한 하다 강호동 잠정은퇴 하다 하 하루 지나다 네티즌 사이 계속 다양 반응 보 보이 있다 당분 예능 그르다 볼 보다 없다 아쉽다 하다 tagcry
kbs2_happysunday_1bak2il	spastar7	POST	pyc1n2e-5x8tg		2011-09-10	강호동 은퇴 강호동 은퇴 충격 tagexclamation 1박2 일 멤버 연락 끊다
kbs2_happysunday_1bak2il	bondbee97	POST	pyc1ymo-yt2tr		2011-09-09	안되다 강호동아저씨 한번 생각 tagcry tagcry 1박2 일 황금어장 강심장 스타킹 무슨 재미 보냐구 보냐구요 tagcry ㅅ tagcry 한번 제 제대 시간 걸리다 다시한번 생각 해보다 tagcry
