program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_ojakkyo	jjyyzang	POST	pyc339m-yhu_e		2011-09-08	오작교 형제 주인공 누구인것 같다 tagquestion 오작교형제들vs 유 tagsmile
kbs2_ojakkyo	lovelycong00	POST	pyc3bnk-5uo57		2011-09-07	최정윤 패션 오작교형제 최정윤 차수영 의 커리우먼룩 트렌치 자켓 스타일 스타 tagexclamation
kbs2_ojakkyo	55apple	POST	pyc3jf_-_5403		2011-09-07	오작교 형제 잼 tagsmile 주원오빠 완전 잘생기다 ㄷㄷ
kbs2_ojakkyo	pink_rocket	POST	pyc3_82-_z7mp		2011-09-07	유 피어싱 오작교 형제 유 피어싱 분석 애프터스쿨 유 피어싱 트라거스 피어싱 백자은 유 패션
kbs2_ojakkyo	l95782121	POST	pyc53ln-ym37w		2011-09-09	오작교형제 11회 다시보기 유이노숙녀
kbs2_ojakkyo	wkehfm12	POST	pyc58w6-yaxr6		2011-09-06	초록뱀초록뱀 kbs 오작교형제 계약 90억 매출예상 상보
kbs2_ojakkyo	insos02	POST	pyc5id4-_8lnw		2011-09-06	오작교형제 10회 무료다시보기 오작교형제 10회 무료다시보기
kbs2_ojakkyo	jiyunmeto	POST	pyc5k94-_qtt2		2011-09-10	저나가 저나가요 오작교형제들보고놀다가자려구 안녕히계세용
kbs2_ojakkyo	nutrilite_sw	POST	pyc5xhn-5g09y		2011-09-05	오작교 형제들오작교 형제 9회 다시보기 오작교 형제 10회 다시보기
kbs2_ojakkyo	insos02	POST	pyc69n0-_8lnw		2011-09-07	오작교형제 10회 무료다시보기 오작교형제 10회 무료다시보기
kbs2_ojakkyo	anna3290	POST	pyc6a3r-5_l0n		2011-09-07	로트리샵 스크랩 간단 댓글 남기다 mission 완수 tagexclamation 무한리필이 않다 9월 한달 한달간의 무한애정 담뿍 담기다 디자이닝 글램 루즈 5컬러 중 오작교 형제 협찬기념 백자은 유이역 에다 딱 tagexclamation 일 립컬러 립컬러를 찾다 이벤트 백자은 추천 립컬러 내다 어
kbs2_ojakkyo	fxlunaiu	POST	pyc6a_8-_ual4		2011-09-10	안뇽하세요무한도전보는중 전무한도전별로에 오작교형제들이더재밌다 tagexclamation tagsmile 무한도전사진보내 추석특집 선물배달사건
kbs2_ojakkyo	offgame3	POST	pyc6e7a-ap9c		2011-09-05	드라마 서바이벌포세이돈 지다 지고 못살다 오작교 형제
kbs2_ojakkyo	fxlunaiu	POST	pyc6lg7-_ual4		2011-09-10	me2 오작교형제 tagsmile 김은숙작전 즐거운한가위
kbs2_ojakkyo	fxlunaiu	POST	pyc6lmh-_ual4		2011-09-10	me2오작교형제 tagsmile 김은숙작전즐거운한가위
kbs2_ojakkyo	xhahcld	POST	pyc6n9h-_sxc5		2011-09-10	백자은 유이짱 유이유 taglove 오작교형제 tagsmile
kbs2_ojakkyo	insos02	POST	pyc6scg-_8lnw		2011-09-07	오작교형제 10회 무료다시보기 오작교형제 10회 무료다시보기
kbs2_ojakkyo	fic123	POST	pyc6ugz-i_63		2011-09-10	110910 토렌트 광개토태왕 오작교형제 천번의입맞춤
kbs2_ojakkyo	an2105	POST	pyc9na0-ttnr		2011-09-10	오작교형제들황태희친엄마가아니라는거대충알았지만큰엄마였구
kbs2_ojakkyo	wjsgksmf66	POST	pyc9v40-_c88o		2011-09-10	오작교 형제 보고 주원 잘생기다
kbs2_ojakkyo	blognawa1	POST	pyc9vru-l5f		2011-09-10	블로그 뉴스 오작교형제 블로그 오작교형제
kbs2_ojakkyo	pink_rocket	POST	pycbc3y-_z7mp		2011-09-09	핑크로켓 연예인 연예 피어싱 오작교 형제 백자은 애프터스쿨 유 피어싱
kbs2_ojakkyo	jisiklog	POST	pycbjgt-_rcxy		2011-09-10	오작교형제들몇시에 tagquestion 오작교형제
kbs2_ojakkyo	ms951127	POST	pycbp9h-5neim		2011-09-10	오작교 형제 유 1박 2 2일 얘기하는거 웃기다 tagsmile 1박 2 2일 없어지다 슬프다 tagsmile
