program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_baekdongsoo	algid2132	POST	pyc098p-thki		2011-09-09	무사 백동수 출연진 제작사 소프트라인 한가위 선물 함박웃음
sbs_baekdongsoo	hch0323	POST	pyc0c1p-xprp		2011-09-08	백동수한테 아스크림 사줘야 돈 안가져가쎀 tagsmile
sbs_baekdongsoo	sportskhan	POST	pyc0i_0-ymvvx		2011-09-08	유승호 추석인사 환하다 미소 미다 tagexclamation 무사 백동수 주인공 시청자 추석 인사 전하다 스포츠경향
sbs_baekdongsoo	jyk9107	POST	pyc0k7k-_82p3		2011-09-09	오늘 백동수촬영자에가서 유승호 유승호랑 여러 배우 보다 유승호 좋아하다 분들 분들은 미투 미투요 tagexclamation
sbs_baekdongsoo	thdtnqls0305	POST	pyc16ke-505ty		2011-09-09	좋아하다 연예인 연예 배우중 은누규 tagquestion 난 나다 날다 유승호 완전 귀요미랄까 글구 현재 방송중 무사 백동수 여운역 여운역을 맞고 맞고있는데 여운 카리스마 카리스마가 짱 tagexclamation
sbs_baekdongsoo	everangel77	POST	pyc1y0d-nt19		2011-09-09	백동수 유승호 완전 깍 tagexclamation 너무너무잘생겼다 tagsmile 유승호짱 tagexclamation tagsmile
sbs_baekdongsoo	codms9706	POST	pyc3cc5-y7j1		2011-09-07	한국 모델 4 연기자겸 모델 홍종현 이젠 모델 보다 연기자 말 가깝다 홍종현 정글피쉬 부터 화크 요즘 무사백동수 정조역 정조역으 활약중 tagexclamation 한국 모델 홍종현 키가작아서 연기자 하다 했 tagquestion
sbs_baekdongsoo	hch0323	POST	pyc3fxz-xprp		2011-09-07	백동수 나타낫다 tagsmile 무서버네 tagsmile
sbs_baekdongsoo	swear302	POST	pyc3vmr-5w13_		2011-09-09	울집 아가 개껌씹는 모냥새 tagsmile 사람 앞발 앞발을 쓰다 자태 쿠하 쿠하하 bgm bgm은 무사백동수여 tagsmile me2video
sbs_baekdongsoo	spastar7	POST	pyc3y6c-5x8tg		2011-09-07	무사백동수 윤소 윤소이 무사백동수 윤소 윤소이 미모 포텐 터지다 tagexclamation
sbs_baekdongsoo	spastar7	POST	pyc3yr8-5x8tg		2011-09-07	무사백동수 최민수 무사백동수 최민수 드디어 유승호 칼솜씨 인정 tagexclamation
sbs_baekdongsoo	cjstk3059	POST	pyc5dal-cmh1		2011-09-05	너무졸려 헿 무사백동수 끝나다 여운 동수랑다좋 tagsmile
sbs_baekdongsoo	mjgo0303	POST	pyc5l6e-5udwt		2011-09-09	한국민속촌 백동수 촬영하는거 보고 보다 보 오다
sbs_baekdongsoo	frompic	POST	pyc5uar-_d1bz		2011-09-09	무사백동수ost 무사백동수ost 전곡듣기 무사백동수ost 미니시리즈 무사백동수 무사백동수ost 전곡듣기 무사백동수ost tagexclamation part.6 전곡듣기 무사백동수 감동 끌다
sbs_baekdongsoo	nomer5129	POST	pyc6k25-_skqc		2011-09-05	나 나다 무사 백동수봤어요 싸우는건 재미 말하는건 재미없져 ㅣ 애휴
sbs_baekdongsoo	spastar7	POST	pyc6myz-5x8tg		2011-09-06	무사백동수 윤소 윤소이 무사백동수 윤소 윤소이 친부 누군지 드디어 알게 알게돼
sbs_baekdongsoo	lce0204	POST	pyc6_01-ym658		2011-09-05	나 나다 지금 무사백동수 보다 보 중 tagsmile 넘 잼 tagsmile
sbs_baekdongsoo	yoojy9251	POST	pyc6_mu-794_		2011-09-05	무사백동수 taglove 동수 멋있다 유승호 유승호도 멋있다 tagsmile 아 아이 멋지다
sbs_baekdongsoo	elpai8238	POST	pyc95di-y707_		2011-09-10	불굴 며느리 몽땅내사랑 몽땅내사 보스 지키다 무사백동수 천번의입맞춤 애정만만세 지다 지고 못 살다 살 보는사람 미투
sbs_baekdongsoo	moonsh1999	POST	pyc9rpi-5usle		2011-09-10	백동수 재방 보는중
sbs_baekdongsoo	onlyboms	POST	pyc9rqi-5vn5h		2011-09-10	나르다 나 깨워 깨워라 깨워 깨워라 내 잠들다 않다 모지다 운명 절대 쓰러지다 않다 나르다 나 지키다 못하다 날 나다 데다 데리다 가다 무사백동수
sbs_baekdongsoo	freemanc78	POST	pyc9rrh-zluz		2011-09-10	우리집 발도장 tagexclamation 집 도착 tagsmile 백동수 재방보는중 tagsmile 윳님 트친님페친님 트친님페친님들도 모두 즐겁다 추석 보내다 tagsmile via 아임in
sbs_baekdongsoo	ljy9644	POST	pycd5m2-msv4		2011-09-07	110905 무사백동수 토렌트 110906 무사백동수 토렌트 입니 입니다 tagsmile
