program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_scent	sunnys_scent	POST	pyc34h9-_o0uw		2011-09-09	지금 행복 tagexclamation 행복 가득 여인의향기 촬영장 tagexclamation 난 나다 날다 내일 맞이 힘들다 휴 마지막 향하다 최선 다하다 달려가고 달려가고있는 우리여향팀모두 tagexclamation 그리다 연재 tagexclamation 힘내야겠지 tagquestion 가슴 왜 시리다 아린건지 tagexclamation 시간 멈추다 않다 tagexclamation 똑딱똑딱 tagexclamation
sbs_scent	dmstjd0812	POST	pyc5ctv-_2gkv		2011-09-10	종방연 종방연을 향하다 달려가다 여인의향기 tagcry 오늘 울다 울 웃다 웃 두근두근하기도하 두근두근하기도 설레기도 15회 15회가 끝이 끝이나 끝이나고 나서 나다 나서다 내일 내 마지막회 마지막회입니 자막 보다 왜이렇게 아쉽다 아쉬움 섭섭 밀려오는건지 tagexclamation 마지막회 본방사수다 본방사수다낼 연재 tagquestion tagcry
sbs_scent	anna011	POST	pyc5fr_-y5ud7		2011-09-10	여인 향기 보다 드 드는 생각 내 김선아 김선아와 같다 죽다 죽 병 걸다 걸리다 살 사다 있다 날다 날 얼마 얼다 안남았다면 이동욱 끝 옆 있다 사람 있다 tagquestion 얼마 얼다 사다 못하다 다 걸 알다 날 나다 떠나다 않다 계속 사랑 줄 주다 사람 있다 역시 밤 사람 센치해져
sbs_scent	thdus0108	POST	pyc5oc1-bvex		2011-09-10	난 나다 날다 이동욱 이동욱이 이렇게 멋있다 남잔지 왜 외다 이제 알다 여인 향기 보다 내다 울다 역시 이성 사랑 모녀 사 사랑 슬퍼잉 지욱씨 사랑 내 내다 이상형 리스트 추가 추
sbs_scent	kind0320	POST	pyc5ojy-xrah		2011-09-10	여인 향기 마지막회 마지막회인 내일 내 예고 찌 하다 하 헝
sbs_scent	momo9654	POST	pyc5omf-yni5u		2011-09-10	여인의향기 낼끝 낼끝난다 tagcry 보스를지켜 엑스파일 엑스파 잇다가 잇다가한다 tagexclamation
sbs_scent	sy7398	POST	pyc5on3-lfcn		2011-09-10	내일여인의향기마지막회 tagcry 왠지새드일듯 tagcry 오늘진짜예뻤음
sbs_scent	jy6786	POST	pyc612k-ykaf2		2011-09-10	여인의향기 재방보는데 흐억 눈물나온다눈물나 tagcry tagcry
sbs_scent	jisu95942002	POST	pyc6dsa-cn_j		2011-09-10	여인 향기 김선 김선아 이동욱 빛나다 로맨스 공개 결말 대한 대하다 궁금증 증폭 tagexclamation
sbs_scent	kimyonghyoun	POST	pyc6fr7-us5y		2011-09-10	여인의향기 마지막회 촬영 김선 김선아 이동욱 탱고키스 시한부 러브 불태우다 살사개인레슨 탱고개인레슨 스윙개인레슨 라틴댄스 개인레슨 댄스스포츠개인레슨
