"","tf"
"문채원",20
"ost",8
"박시후",8
"보스",8
"사랑",6
"진짜",6
"추석",6
"수양대군",5
"연기",5
"이중생활",5
"재방송",5
"지키다",5
"한가위",5
"123",4
"사극퀸",4
"행복",4
"174",3
"186",3
"336",3
"543",3
"84",3
"87",3
"검색어",3
"고다",3
"급상승",3
"김그림",3
"네이버",3
"멋있다",3
"배우",3
"사극",3
"세령",3
"손예림",3
"승유",3
"신예림",3
"신지수",3
"실시",3
"여러분",3
"연휴",3
"인사",3
"인터뷰",3
"재미",3
"좋다",3
"즐겁다",3
"최종병기",3
"패러디",3
"한복",3
"96",2
"ghdudrnfu",2
"mb",2
"기분",2
"눈빛",2
"느끼다",2
"느낌",2
"둘다",2
"목소리",2
"문채원과",2
"박장현",2
"세령이",2
"수목극",2
"수목드라마",2
"슈퍼스타k3",2
"시청률",2
"아니다",2
"완전",2
"원래",2
"음악중심",2
"이르다",2
"이유",2
"정말",2
"챙기다",2
"출연진",2
"친구소개",2
"하나",2
"한국도로공사",2
