"","tf"
"강호동",16
"1박2",11
"은퇴",10
"강심장",7
"그럼",5
"강호동씨",4
"무릎팍도사",4
"잠적",4
"계속",3
"등등",3
"안되다",3
"어떻다",3
"어쩌다",3
"232회",2
"tv",2
"강심장은",2
"그림",2
"놀라운대회",2
"다시보기",2
"본방사수",2
"생각",2
"세금",2
"아쉽다",2
"아찌",2
"우리",2
"특별",2
"프로그램",2
"한번",2
"1박",1
"1인자",1
"2일",1
"2일은",1
"9월10",1
"9월3",1
"bnt",1
"mc",1
"mc를",1
"pc방",1
"sbs8news",1
"tv출현해서",1
"ufc",1
"가족",1
"가족사진",1
"가지",1
"강라",1
"강라인",1
"강심장도",1
"강심장도하",1
"강호도오오오유",1
"강호동아저씨",1
"강호동은퇴",1
"강호동은퇴하면스타킹이랑1",1
"강호동이",1
"강호동이하",1
"강호동진짜은퇴",1
"걸리다",1
"게속하나",1
"게속하나여",1
"결정",1
"고스톱",1
"공진구",1
"구애",1
"그러면이제",1
"그런데강호동님때문에좀걱정",1
"그렇다",1
"그르다",1
"그리고13",1
"그리고프로그램하건도그래",1
"그리다",1
"기대",1
"기자",1
"기자회견",1
"나가다",1
"나도",1
"날벼락",1
"내려버리신",1
"내면",1
"너무심한거아닌가",1
"네티즌",1
"놀랍다",1
"누군가",1
"누나",1
"뉴스",1
"다시보기놀라운대회스타킹",1
"다시한번",1
"다양",1
"당분",1
"대박",1
"대체",1
"도사",1
"돌아보다",1
"돌아오세욤",1
"돌아온",1
"돌아온나",1
"등산",1
"뜨거운",1
"라는",1
"ㅁㅊ",1
"마당",1
"마술왕",1
"마자",1
"만나다",1
"만드",1
"만드는",1
"많다",1
"멀다",1
"멤버",1
"명절",1
"무르팍도사",1
"무릎팍",1
"무슨",1
"박2",1
"반응",1
"방법",1
"방송",1
"버젓",1
"버젓이",1
"보기",1
"보냐구",1
"보냐구요",1
"보이",1
"봉사",1
"빨랑",1
"사람",1
"사랑",1
"사실상강호동이없는스타킹",1
"사이",1
"새롭다",1
"세금때매그러는건",1
"소화",1
"스타킹도",1
"스타킹도하",1
"스타킹서",1
"스타킹은하궁",1
"스페셜",1
"스페셜로",1
"슬퍼",1
"슬프다",1
"시간",1
"실망안드렷으니",1
"실망이얌",1
"싫다",1
"싫어",1
"아니다",1
"아리아",1
"아마",1
"아저씨",1
"아좌씨",1
"아주",1
"안넷으면",1
"안되",1
"어렵다",1
"어쩌겠다능",1
"어쩌구",1
"어트케",1
"없어지다",1
"에휴",1
"엠시게",1
"엠시게는",1
"엠씨유꺼네",1
"여자",1
"연극",1
"연애계",1
"연예",1
"연예게",1
"연예계",1
"영광",1
"영상토크",1
"영화",1
"예능",1
"예능같은거",1
"오늘추석특집스타킹에오빠들나오는거알죠",1
"오래",1
"오래된",1
"오후",1
"올라올것",1
"올라올것인가",1
"완전",1
"용돈",1
"은퇴강호동",1
"은퇴선언",1
"은퇴하지",1
"은퇴하지마",1
"이번에은퇴하게되면간호동을사랑해주던많은팬들은어떻게할려구",1
"이번에은퇴하게되면간호동을사랑해주던많은팬들은어떻게할려구요",1
"이번에잘못한건잘못한거지만그리고이일로인해서사람들이좋지않은마음을가지게된것도사실",1
"이상형",1
"이진주",1
"일과",1
"일박이일",1
"일박이일은하차",1
"일상",1
"일아육대와천무단",1
"일은어쩜",1
"입고",1
"입다",1
"자신",1
"작가",1
"작전",1
"작품",1
"잠정은퇴",1
"재미",1
"저쩌구",1
"제대",1
"제발",1
"좋다",1
"좋아하다",1
"좋은뎅",1
"줄거리",1
"지나다",1
"지다",1
"지은",1
"진짜",1
"추석",1
"충격이닼",1
"토렌트다운",1
"토오두",1
"팬티스타킹",1
"하루",1
"한가위",1
"할듯",1
"핫걸",1
"해보다",1
"헐강호동연예계은퇴라니말이되는소립니까",1
"호동",1
"호동아찌",1
"호동아찌홧팅",1
"화이팅",1
"황금어장",1
"흑흑",1
