program_id,start_date,end_date,duration_type,post_count,comment_count,post_user_count,comment_user_count,metoo_count,positive_post_count,negative_post_count,positive_comment_count,negative_comment_count,positive_post_user_count,negative_post_user_count,positive_comment_user_count,negative_comment_user_count,score,rank,register_date,update_date
kbs1_greatking,20110815,20110821,weekly,12,31,12,12,1,,,2,,,,2,,,,2011-09-06 19:20,2011-09-06 19:20
kbs1_greatking,20110822,20110828,weekly,8,4,7,3,0,1,,2,,1,,2,,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_gagcon,20110815,20110821,weekly,811,9438,644,66,289,62,15,3,3,61,15,3,3,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_gagcon,20110822,20110828,weekly,855,6936,678,110,347,77,6,21,3,74,6,16,2,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_happysunday_1bak2il,20110815,20110821,weekly,813,2253,707,183,354,71,10,29,4,67,10,22,4,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_happysunday_1bak2il,20110822,20110828,weekly,442,1870,354,48,161,33,1,9,,28,1,8,,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_happysunday_men,20110815,20110821,weekly,80,1845,69,1,15,4,,,,4,,,,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_happysunday_men,20110822,20110828,weekly,45,364,44,148,140,2,,22,3,2,,14,2,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_ojakkyo,20110815,20110821,weekly,71,44,54,,7,3,1,,,3,1,,,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_ojakkyo,20110822,20110828,weekly,65,138,54,,45,1,1,,,1,1,,,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_princess,20110815,20110821,weekly,597,2121,421,92,197,40,11,6,3,40,11,6,3,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_princess,20110822,20110828,weekly,440,1376,347,,184,33,6,,,32,6,,,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_spy,20110815,20110821,weekly,1246,3930,872,107,508,81,38,9,5,67,38,9,5,,,2011-09-06 19:20,2011-09-06 19:20
kbs2_spy,20110822,20110828,weekly,361,424,264,50,153,25,4,2,,22,3,2,,,,2011-09-06 19:20,2011-09-06 19:20
kbs_homewomen,20110815,20110821,weekly,80,541,51,108,23,4,1,24,1,4,1,15,1,,,2011-09-06 19:20,2011-09-06 19:20
kbs_homewomen,20110822,20110828,weekly,71,152,49,46,10,4,2,7,1,4,2,4,1,,,2011-09-06 19:20,2011-09-06 19:20
mbc_challenge,20110815,20110821,weekly,601,15956,504,19,2450,71,9,,,68,9,,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_challenge,20110822,20110828,weekly,448,68883,356,8,1940,90,18,1,,80,11,1,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_fallinlove,20110815,20110821,weekly,1092,1989,759,58,707,131,26,9,,122,26,9,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_fallinlove,20110822,20110828,weekly,416,745,285,48,270,40,3,7,2,36,3,6,1,,,2011-09-06 19:20,2011-09-06 19:20
mbc_gyebaek,20110815,20110821,weekly,473,54328,329,42,112,17,4,6,1,15,4,6,1,,,2011-09-06 19:20,2011-09-06 19:20
mbc_gyebaek,20110822,20110828,weekly,265,8329,192,8,201,14,1,,,13,1,,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_sundaynight_house,20110815,20110821,weekly,4,0,2,,0,,,,,,,,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_sundaynight_nagasoo,20110815,20110821,weekly,719,12390,568,14,859,110,13,,,103,13,,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_sundaynight_nagasoo,20110822,20110828,weekly,729,16560,593,55,410,108,17,5,,104,17,5,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_thousand,20110815,20110821,weekly,66,34,53,,27,3,1,,,3,1,,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_thousand,20110822,20110828,weekly,71,48,54,,18,5,,,,3,,,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_three,20110815,20110821,weekly,61,212,55,,25,3,2,,,3,2,,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_three,20110822,20110828,weekly,53,185,47,,73,4,,,,4,,,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_urpretty,20110815,20110821,weekly,29,55,11,,0,,,,,,,,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_urpretty,20110822,20110828,weekly,31,1,14,,0,,,,,,,,,,,2011-09-06 19:20,2011-09-06 19:20
mbc_wedding,20110815,20110821,weekly,281,10192,243,68,209,42,5,6,1,42,5,5,1,,,2011-09-06 19:20,2011-09-06 19:20
mbc_wedding,20110822,20110828,weekly,288,37097,265,39,187,36,11,3,1,35,11,3,1,,,2011-09-06 19:20,2011-09-06 19:20
sbs_baekdongsoo,20110815,20110821,weekly,472,989,370,17,170,22,7,3,,22,6,3,,,,2011-09-06 19:20,2011-09-06 19:20
sbs_baekdongsoo,20110822,20110828,weekly,460,831,340,53,178,31,11,,,29,11,,,,,2011-09-06 19:20,2011-09-06 19:20
sbs_besideme,20110815,20110821,weekly,95,27045,86,38,54,25,3,13,2,25,3,10,1,,,2011-09-06 19:20,2011-09-06 19:20
sbs_besideme,20110822,20110828,weekly,72,430,69,,139,18,2,,,18,2,,,,,2011-09-06 19:20,2011-09-06 19:20
sbs_boss,20110815,20110821,weekly,931,52941,718,42,390,113,10,2,3,105,10,2,3,,,2011-09-06 19:20,2011-09-06 19:20
sbs_boss,20110822,20110828,weekly,938,7416,712,70,544,99,7,5,1,90,7,5,1,,,2011-09-06 19:20,2011-09-06 19:20
sbs_dangsin,20110815,20110821,weekly,59,28,37,,13,,1,,,,1,,,,,2011-09-06 19:20,2011-09-06 19:20
sbs_dangsin,20110822,20110828,weekly,48,41,31,,31,1,,,,1,,,,,,2011-09-06 19:20,2011-09-06 19:20
sbs_happytogether,20110815,20110821,weekly,192,519,146,,72,13,4,,,12,4,,,,,2011-09-06 19:20,2011-09-06 19:20
sbs_happytogether,20110822,20110828,weekly,112,8866,76,,56,10,1,,,10,1,,,,,2011-09-06 19:20,2011-09-06 19:20
sbs_newsunday,20110815,20110821,weekly,266,16846,219,28,697,46,3,2,,42,3,2,,,,2011-09-06 19:20,2011-09-06 19:20
sbs_newsunday,20110822,20110828,weekly,253,17124,211,3,268,43,2,,,37,2,,,,,2011-09-06 19:20,2011-09-06 19:20
sbs_scent,20110815,20110821,weekly,542,28969,451,37,1668,87,6,2,1,78,6,2,1,,,2011-09-06 19:20,2011-09-06 19:20
sbs_scent,20110822,20110828,weekly,556,59559,462,65,239,54,5,8,1,51,5,8,1,,,2011-09-06 19:20,2011-09-06 19:20
sbs_starking,20110815,20110821,weekly,119,291,96,,22,4,,,,4,,,,,,2011-09-06 19:20,2011-09-06 19:20
sbs_starking,20110822,20110828,weekly,229,627,195,,70,11,2,,,11,2,,,,,2011-09-06 19:20,2011-09-06 19:20
sbs_strongheart,20110815,20110821,weekly,204,2675,165,,400,5,3,,,5,3,,,,,2011-09-06 19:20,2011-09-06 19:20
