type,stopword
common,지식로그
common,네이버뉴스
common,네이버블로그
common,나다
common,하다
common,보다
common,있다
common,나오다
common,날다
common,내다
common,가다
common,같다
common,되다
common,알다
common,들다
common,자다
common,근데
common,남다
common,드라마
common,없다
common,치다
common,조다
common,사다
common,글보러가기
common,않다
common,말다
common,절다
common,외다
common,오다
common,보고
common,빨다
mbc_sundaynight_nagasoo,나가수
mbc_sundaynight_nagasoo,가수다
mbc_sundaynight_nagasoo,나가수는
mbc_sundaynight_nagasoo,나가수를
mbc_sundaynight_nagasoo,나가수에
mbc_sundaynight_nagasoo,나가수의
mbc_sundaynight_nagasoo,나는가수
mbc_sundaynight_nagasoo,나는가수다
mbc_sundaynight_nagasoo,가수
mbc_sundaynight_nagasoo,서바이블나는가수다
mbc_sundaynight_nagasoo,서바이블
mbc_sundaynight_nagasoo,우리들의일밤서바이블나는가수다
mbc_sundaynight_nagasoo,일밤
mbc_sundaynight_nagasoo,우리등의일밤
mbc_sundaynight_nagasoo,우리
mbc_sundaynight_nagasoo,일밤
mbc_sundaynight_nagasoo,노랗다
kbs2_princess,공주의남자
kbs2_princess,공주
kbs2_princess,남자
kbs1_greatking,광개토
kbs1_greatking,대왕
kbs1_greatking,태왕
kbs1_greatking,광개토대왕
kbs2_ojakkyo,오작교형제들
kbs2_ojakkyo,오작교형제
kbs2_ojakkyo,오작교
kbs2_ojakkyo,형제들
kbs2_ojakkyo,형제
kbs2_ojakkyo,yes나
kbs2_ojakkyo,yes나나
kbs2_ojakkyo,ia화영
mbc_thousand,천번의입맞춤
mbc_thousand,천번의
mbc_thousand,천번
mbc_thousand,입맞춤
mbc_thousand,입
mbc_thousand,맞춤
sbs_besideme,내사랑내곁에
sbs_besideme,내사랑
sbs_besideme,내곁에
sbs_besideme,내사
sbs_besideme,내곁
sbs_besideme,내사랑내곁
mbc_fallinlove,넌내게반했어
mbc_fallinlove,넌내게
mbc_fallinlove,반했어
mbc_fallinlove,반하다
mbc_fallinlove,반다
sbs_boss,보스를지켜라
sbs_boss,보스를
sbs_boss,보스
sbs_boss,지켜라
sbs_boss,지키다
kbs2_spy,스파이명월
kbs2_spy,스파이
kbs2_spy,명월
kbs2_spy,한예슬과
kbs2_spy,한예슬이
kbs2_spy,한예슬씨
mbc_gyebaek,계백
sbs_baekdongsoo,무사백동수
sbs_baekdongsoo,무사
sbs_baekdongsoo,백동수
mbc_wedding,우리결혼했어요
mbc_wedding,우리
mbc_wedding,결혼
mbc_wedding,했어요
mbc_wedding,하다
mbc_wedding,우결
mbc_challenge,무한도전
mbc_challenge,무한
mbc_challenge,도전
mbc_challenge,무도
sbs_starking,스타킹
sbs_starking,놀라운대회스타킹
sbs_starking,놀라운
sbs_starking,대회
sbs_starking,놀라다
kbs2_happysunday_1bak2il,해피선데이1박2일
kbs2_happysunday_1bak2il,해피선데이
kbs2_happysunday_1bak2il,해피선데
kbs2_happysunday_1bak2il,1박2일
kbs2_happysunday_1bak2il,해피
kbs2_happysunday_1bak2il,선데이
kbs2_happysunday_1bak2il,1박
kbs2_happysunday_1bak2il,2일
kbs2_happysunday_men,해피선데이남자의자격죽기전에해야할101가지
kbs2_happysunday_men,해피선데이남자의자격
kbs2_happysunday_men,해피선데이
kbs2_happysunday_men,해피선데
kbs2_happysunday_men,남자의자격
kbs2_happysunday_men,남자의자격죽기전에해야할101가지
kbs2_happysunday_men,죽기전에해야할101가지
kbs2_happysunday_men,남자
kbs2_happysunday_men,자격
kbs2_happysunday_men,죽기
kbs2_happysunday_men,전에
kbs2_happysunday_men,101가지
kbs2_happysunday_men,가지
kbs2_happysunday_men,남격
kbs2_happysunday_men,101
mbc_sundaynight_house,우리들의일밤내집장만토너먼트
mbc_sundaynight_house,일밤
mbc_sundaynight_house,우리등의일밤
mbc_sundaynight_house,우리
mbc_sundaynight_house,일밤
mbc_sundaynight_house,우리
mbc_sundaynight_house,내집
mbc_sundaynight_house,토너먼트
mbc_sundaynight_house,장만
mbc_sundaynight_house,집다
mbc_sundaynight_house,내집장
mbc_sundaynight_house,일밤은
mbc_sundaynight_house,나가수를
sbs_newsunday,일요일이좋다런닝맨
sbs_newsunday,일요일이좋다
sbs_newsunday,일요일
sbs_newsunday,좋다
sbs_newsunday,런닝맨
sbs_newsunday,런닝맨에
sbs_newsunday,런닝
sbs_newsunday,맨

