#program_id, author_id, type, post_id, comment_id, publish_date, terms
mbc_gyebaek,bighill008,POST,pym00qv-5edov,,2011-16-21,MBC 대하사극 계백 무왕 역 최종환 8화 명장면 ㅜ 네이버블로그 눈쌓인남한산성 
mbc_gyebaek,minist10,POST,pym01as-_ptp0,,2011-28-18,이현우 계백 이현우스타 패션알아보기 마이니스트 네이버블로그 세남자의감성 감동마이니스트 
mbc_gyebaek,buks2,POST,pym02tk-_3cex,,2011-25-22,계백 계백 네이버블로그 부업으로적당히용돈버는블로그 
mbc_gyebaek,feei2nd,POST,pym03tg-5xcmx,,2011-31-18,8회 은고 은고를 떠올리다 계백 계백 
mbc_gyebaek,tkdzma2005,POST,pym05jc-onrl,,2011-57-18,의자왕이뭐에 
mbc_gyebaek,jihongchoi,POST,pym0bnb-_8_1y,,2011-50-20,나경원 나경원이 그랬어 오세훈 오세훈을 계백 죽게 죽게하면 백제 한 가 가다 망 틀리다 오세훈 오세훈이 죽다 한나라 한나라가 망하는게 아니다 아니 친이계 친이계가 망하는거지 역설적 친이계 친이계가 망 한나라 한나라와 보수 살 사다 수 있는거 있는거야 이게 민심 나의원 나의원의 총선불출마 기대 
mbc_gyebaek,leeger92,POST,pym0hzc-pvzg,,2011-47-18,계백 무사백동수 공주 남자 남다 보스 지키다 넌 널다 내다 반 애정만만세 순위 순이랍니당 드라마 월화 월화나 수목드라마 인기 많다 그것 10시쯤 나오다 제일루 
mbc_gyebaek,didrb1028,POST,pym0inu-yuutd,,2011-44-20,광개토대왕 목소리 크다 계백 계백은 똥폼 다잡다 백동수 백동수는 시끄럽다 공주 남다 남자 지지다 궁상 다떨고 근데 재밋네잉 ㅋ 
mbc_gyebaek,namunju0709,POST,pym0ke8-_8jf1,,2011-31-19,탁예은 의자왕 짝 한번 특집 재등장 눈길 벌써 기대 네이버블로그 인생역전퍼스트 
mbc_gyebaek,hello_oasha,POST,pym0wwx-54qm0,,2011-35-20,계백 완전 재밌음 그동안 내 왜 외다 백동수 백동수를 보다 어우 계백 계백이 비교 안되다 역시 마봉춘 사극 마봉춘 마봉춘이 대박 
mbc_gyebaek,oh3966,POST,pym12xv-_kklg,,2011-10-20,애정만만세 보고 보다 보 ㅠㅡㄴ 데다 이모부 광개토대왕봄 수목은공주의남자보면서 뭔사극만봄 ㅋ 그러면서 월화 월화는 계백도안보고동수도안 명월봄 ㅅㅂ 나랑너무엇갈림 me2mobile 
mbc_gyebaek,loanbay,POST,pym13i0-yrp_n,,2011-52-22,계백 이서진 투입 계백 시청률 급상승 네이버블로그 론베이LoanBay 
mbc_gyebaek,je832896,POST,pym17a1-5c9yd,,2011-51-22,계백 보다 보세 정말 짱 재미 ㅎㅎ 월화드라마 계백 9시55 분 MBC me2photo 
mbc_gyebaek,je832896,POST,pym17uc-5c9yd,,2011-52-22,오늘 하루 힘들다 이렇게 오늘 미투 마칩니 마칩니다 하암 안되다 계백 보다 몽땅두 
mbc_gyebaek,cns2860,POST,pym18ly-5atbd,,2011-22-20,드라마 보다 보 재밌는 계백 촬영 뒷 이야기 네이버블로그 현대스위스저축은행 
mbc_gyebaek,cns2860,POST,pym18r7-5atbd,,2011-13-20,계백 8회 다시보기 동영 네이버블로그 현대스위스저축은행 
mbc_gyebaek,mjmj416,POST,pym19qf-rgkz,,2011-35-20,난 나다 날다 민호란 민호 민호는 거의 거 다 좋아하나바 ㅠㅠ 준표도련느님 샤이니민호 군데 굴다 붐 실타 ㅋ 글구 계백 계백인가 거기 아역 이민호 인가 사람두 실은것가틈 ㅋㅋ 이민호쵝오 잘생겼엉 윤성느님 ㅋㅋ 시티헌터 
mbc_gyebaek,mople,POST,pym1eh3-ybyr8,,2011-39-22,계백 9회 E09 닥본사 ˝닥˝ 치다 치 ˝본˝ 방 ˝사˝ 수 닥치고본방사수 닥본사 별점 오늘 계백 9회 E09 
mbc_gyebaek,tjgus2545,POST,pym1ezd-5fjfr,,2011-42-22,계백 계백은 언제쯤 백제 백제로 돌아오다 돌아오려 
mbc_gyebaek,miokjlove,POST,pym1h_6-hez1,,2011-46-22,여행 경 창원시 해양드라마세트장 김수 김수로 계백 드라마 촬영지 네이버블로그 축복 
mbc_gyebaek,cnsekf,POST,pym1imw-55r32,,2011-59-22,계백 이서진 의자왕자 일대 대결 팽팽 기싸움 고조 네이버블로그 연애남녀 
mbc_gyebaek,snowbrathers,POST,pym1k38-qdse,,2011-37-19,내일 내 아침 시골부여가는데 약치고벌초 근데 일끝 일끝나 일끝나고 계백 세트장 백제문화단지가서 볼려구 하다 촬영 2주 2주에 한번 있다 하다 쉬불썅 쉬불썅간나 경상 창원시 마산합포구 구산면 석곡리 해양드라마세트장 대부분촬영 쥐라리 쥐라리여 백제문화 가야신라배경 왜 외다 그지 같다 부여군 규암면 합정리 575번지 백제문화단지서 촬영 세트장 더짓고 부여 뭐 매년 대백제전 해놓고 볼것 볼것도 그닥 그닥이 이번 드라마 찍다 기회면 이용 알아야지 경상 돈벌다 냅두 냅두고 있다 지밥줄 지밥줄도 못지켜서 못지켜서야 
mbc_gyebaek,msy707,POST,pym1k8a-wgcp,,2011-40-19,생생현장 무진 어리다 의자 이 물러나다 me2mobile 계백 
mbc_gyebaek,carmaster000,POST,pym1xl0-ydfu8,,2011-39-22,계백 노예생활 영웅 만들다 필수코스인가 필수코스 네이버블로그 휴대폰사고현금 
