#program_id, author_id, type, post_id, comment_id, publish_date, terms
mbc_wedding,love05741,POST,pym000g-r6lr,,2011-01-20,기사 기다 우결 권리세 데이비드오 데이비드오에 2PM 택연 택연이 좋다 고백 네이버블로그 JunHo 
mbc_wedding,wlsgk2413,POST,pym008r-_igc6,,2011-06-20,우결 무리수 하나 ㅎ 재봉 정장만들어달래 ㅎ 
mbc_wedding,wjddk1020,POST,pym00gn-5i05g,,2011-09-20,우결 지연나왔대 
mbc_wedding,thddnrud99,POST,pym00jm-y3jd9,,2011-03-20,진짜 ㅠ 박소현 김원준 결혼 좋다 사귀다 결혼 ㅋㅋ 꺄아 me2mobile 
mbc_wedding,gpfls944,POST,pym00s8-5gmsb,,2011-10-20,지금 난 나다 날다 다음주 할 하다 우결생각 머릿속 꽉차버렸오 ㅁ 다음주 까다 어뜩 어뜩해 기다리다 me2photo 
mbc_wedding,xbbirex,POST,pym00th-_si8x,,2011-09-20,닉쿤 빅토리아 몰디브 여행 네이버블로그 퍼스트드림으로부자 
mbc_wedding,ghfkddl1105,POST,pym012_-_rs5z,,2011-22-19,그러고보 더이상의미가없어진 우리 마마와파파 결혼기념일도eE2 me2mobile 
mbc_wedding,iii9596,POST,pym031q-yrxwc,,2011-45-20,우결봐 지연 보셈 
mbc_wedding,msa5397,POST,pym0342-yekq_,,2011-56-20,ㅃ 2 지요 지요니 갈꼬 갈꼬야 흥 ㅃ 2 우결 보세욧 나 나다 기매희 닮다 꼴이당 ㅃ 
mbc_wedding,ksx987,POST,pym06f7-y03nk,,2011-12-20,우리결혼 장우 은정 지연 큐리 소연 네이버블로그 소소한블로그 
mbc_wedding,tjsal3566,POST,pym06go-kh3m,,2011-15-20,드디어 노페광고 티비 티비에 출현하셨으뮤 ㅠ 아이구이쁘 컴터 컴터에서 본게 티비 티비에 나오다닝 ㅠㅠ 다섯명 다섯명이어 완벽 어쨋든 기분은좋다아 ㅎ 이쁘게나와서 ㅎ 노스페이스 광고떴음 금방 우결 우결에 지드래곤 탑 머리 대하다 논의를 데이비드오 그머리 해보다 ㅋ me2photo 
mbc_wedding,dovmfwlel7,POST,pym06uk-yabih,,2011-18-20,난 나다 날다 운빨 운빨이 더럽다 없나벼 왜 외다 미치다 다 보다 나 못볼까 노페 노페도 그렇다 우결 우결도 그렇다 ㅠ 
mbc_wedding,probed,POST,pym08ef-5ocu_,,2011-14-21,결혼준비 느끼다 느끼 것 결혼때 나다 나 최재명 최재명이 아니다 아니 우리은경 신랑님 신랑님이 되다 버리다 아 내 내다 존재감 존재감이 
mbc_wedding,wlsdl2796,POST,pym09jq-_aocz,,2011-01-21,진운오빠 정말 반가워 오빠 노랗다 노래 듣다 있구 우결에서두 마니마 마니마니 보고 친구소개 jinwoon52 
mbc_wedding,wlsdl2796,POST,pym09l8-_aocz,,2011-09-21,닉쿤오빠 빅토리아 언니 잘 자다 지내다 있다 우결 잘 자다 보고 보다 보 있다 근데 빅토리아언니 안 안받아주 아니다 수락 늦다 ㅠ ㅡ 빅토리아 언니한테 지금 많다 언니 중국어 배우다 배우 응원한다구 전해주다 그리다 닉쿤오빠도 응원할꼐 친구소개 khunnie1004 
mbc_wedding,fic123,POST,pym0b3g-i_63,,2011-37-20,110820 토렌트다운 우리 결혼 S3 97회 네이버블로그 꿈꾸는자유 
mbc_wedding,fic123,POST,pym0br2-i_63,,2011-41-20,110820 토렌트다운 우리결혼 97회 네이버블로그 꿈꾸는자유 
mbc_wedding,gowls791004,POST,pym0eyg-_akvt,,2011-17-20,지금 우결본데 커플 오글오글다 손발 오글거려 ㅋㅋㅋ 이 커플 진심 진짜결혼 좋다 우리결혼 me2mobile me2photo 
