program_id, author_id, type, post_id, comment_id, publish_date, terms
sbs_baekdongsoo,meki92,POST,pym0376-gfj0,,2011-07-21,백동수 백동수는 최강용병 네이버블로그 로스트사 로스트사가 
sbs_baekdongsoo,meki92,POST,pym03oe-gfj0,,2011-01-21,야뇌 백동수 네이버블로그 로스트사 로스트사가 
sbs_baekdongsoo,ygpopo,POST,pym04wo-5kirk,,2011-35-18,다이어트 자극 남자몸짱 지창욱 무사백동수 지창욱 복근 네이버블로그 리버티짐 
sbs_baekdongsoo,wegpbasic,POST,pym050r-5xcrl,,2011-55-18,트리니티 오늘 11년지기 친구 이수빈 양의 양 내마음 내마음의 풍금 이 뮤지컬을보러왔다 ㅎ 어색도햇지 무사백동수 에서 여운 아역 나왓던 박건태 군까지 군까지있어서 재미있었습니다 11년지기 혜원 수빈 건태 화이팅 me2mobile me2photo 
sbs_baekdongsoo,dhvh0402,POST,pym0as_-5u2gr,,2011-14-19,엄마 이제개학 밤 10에자야된데 10에자야된데요 저 무사백동수 보스를지켜라어떡 엄마 미워 슈스케도못본다 으헝헝헝 me2mobile 
sbs_baekdongsoo,dfantasy8,POST,pym0dpa-yi21,,2011-03-20,조선 제일 제 검 김광택 김광택은 백동수 살고프면 일어나다 몽둥이 찜질 열다 해대다 어젯밤 복통 시달리다 나다 나 오늘 하루종일 하루종 기운 깁다 없다 겔겔대 겔겔대다 홍초 얼린거 먹으 먹으며 일어나다 노력 중 중이 우웅 슈퍼가서 물 계란 양파 사다 사 하눈뎅 움직이다 싫다 싫어 ㅠ me2mobile me2photo 
sbs_baekdongsoo,hpde,POST,pym0f72-yi8x_,,2011-31-19,무사 백동수 정주행 中 
sbs_baekdongsoo,kimbs0518,POST,pym0h87-_a92k,,2011-18-22,최종병기 활 총 개발 이전 총 역할 담 활 중 우리 활 다루다 점 우선 좋다 작품 개인적 무사 백동수 백동수와 같다 우리 무술 복원 복원하 재조명 계기 많다 하다 me2photo 
sbs_baekdongsoo,leeger92,POST,pym0hzc-pvzg,,2011-47-18,계백 무사백동수 공주 남자 남다 보스 지키다 넌 널다 내다 반 애정만만세 순위 순이랍니당 드라마 월화 월화나 수목드라마 인기 많다 그것 10시쯤 나오다 제일루 
sbs_baekdongsoo,didrb1028,POST,pym0inu-yuutd,,2011-44-20,광개토대왕 목소리 크다 계백 계백은 똥폼 다잡다 백동수 백동수는 시끄럽다 공주 남다 남자 지지다 궁상 다떨고 근데 재밋네잉 ㅋ 
sbs_baekdongsoo,justin_95,POST,pym0pqh-y9k1m,,2011-58-20,부활 The Only Road me2mobile 네이버앱 음악검색 무사 백동수 OST Part 4 me2music 
sbs_baekdongsoo,new7192,POST,pym0v7y-nda9,,2011-33-19,아 무사백동수 홍종현나온다 홍종현나온다고 ㅠㅠㅠㅠ 정조앓 정조앓이 ㅜㅠㅠ 티비없는집의 서럽다 서러움 진심 쉛 재방언제 재방언제함 최진아집에가서구걸 ㅋㅋ 무사백동수 ㅠㅠㅠ 아진심 정조앓 정조앓이 ㅋㅋㅋㅋ 
sbs_baekdongsoo,new7192,POST,pym0wfo-nda9,,2011-48-19,아 쉛 무사백동수 홍종현나온다는데 우리집엔티비가 ㅠㅠㅠㅠㅠㅠㅠㅠ 방학숙제랑구몬해야된디 존 존나 하기싫네 담주화요일개학 
sbs_baekdongsoo,norinamu,POST,pym0wvi-5lysw,,2011-52-18,무사 백동수 OST 김태우 사랑 빠지다 네이버블로그 노리나무 
sbs_baekdongsoo,hello_oasha,POST,pym0wwx-54qm0,,2011-35-20,계백 완전 재밌음 그동안 내 왜 외다 백동수 백동수를 보다 어우 계백 계백이 비교 안되다 역시 마봉춘 사극 마봉춘 마봉춘이 대박 
sbs_baekdongsoo,okey369,POST,pym0z_5-5t5d3,,2011-20-19,뒤늦다 백동수 백동수에 단단 꽂히다 완전 재밌어 시청률 그정 그정도 되는게 괜 그러는게 아니다 me2mobile 
sbs_baekdongsoo,ceykim,POST,pym15a6-x7ui,,2011-08-20,무사 백동수 드라마 포함 포 TV TV는 거의 거 안보는데 식당 우연 보다 짠하다 마음 가득 찌질 찌질한 대사 uncool uncool함 칼 찔리다 죽다 사람 뭔 말다 말 그리 많다 어제밤 보다 킥 애스 애스랑 비교됨 기대않고 킬링타임용 보다 보 초광분해버렸음 타란티노식 하드고어 유머 스피드 이제 우마서먼 안녕 me2mobile 
sbs_baekdongsoo,wldmslily,POST,pym18zw-le54,,2011-20-20,인제 무사백동수 유승호 유승호가 좋다 ㅋㅋ 
sbs_baekdongsoo,aldk97,POST,pym1aq4-bf46,,2011-33-20,야뇌 백동수 me2mobile 
sbs_baekdongsoo,gi2448,POST,pym1b7q-bc5s,,2011-07-20,염종 ㅋㅋ 백동수 아빠 죽다 공주 남자 건너가다 ㅋㅋ 역시 염종 염종임 ㅋㅋ me2mobile 
