program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_boss	heekoo415	POST	pym00d_-549s4		2011-08-18	보스 지키 시청률 24 
sbs_boss	all_my_bb	POST	pym016f-5c012		2011-08-19	보스를지켜 줄이 영석이 영석이가 좋아하 단어 나오 ㅋㅋㅋㅋㅋㅋㅋㅋ 아부끄려 
sbs_boss	hsn9564	POST	pym01lz-5xrcd		2011-08-18	오늘 보스를지켜 첫장면 보기 보 싫어 싫 
sbs_boss	lsyrose	POST	pym027i-5w5gm		2011-08-19	ㅋㅋ 오늘 보스 지키 안하 ㅠ o ㅠ 언제 언제나 재밌어용 me2photo 
sbs_boss	teentop123	POST	pym02f0-5fdgw		2011-08-18	보스를지켜 본 보 방 사 사 수 
sbs_boss	tbrktbrk33	POST	pym04y8-y_p4_		2011-08-19	그나저 그나저나 어제 보스 지키 완전 짱 
sbs_boss	ddh06209	POST	pym04_r-ygmcb		2011-08-18	심심 ㅠㅠㅠㅠㅠㅠㅠㅠ 빨 넌내게반했어랑 보스를지켜 봐야 봐야되는데 오늘 넌내게반 막방 막방임 ㅠㅠ 본방사수 
sbs_boss	dornr19	POST	pym0577-5azn8		2011-08-19	오늘넌내게반했어끝 ㅠㅠㅠ 사람들이유치하다고그런걸누가보냐고하지만난그래도뻔한그이야기가재미있었다 ㅋㅋㅋㅋ 정용화의눈물이잊혀지지가않는군 이제보스를지켜 ㅋㅋㅋ 
sbs_boss	akbg03155	POST	pym05jk-ypg1w		2011-08-20	보스 지키 완전 인기 많 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
sbs_boss	dudtlf56	POST	pym077x-yvk07		2011-08-19	검색창 보스를지켜 뇌구조 뇌구조를 치 치세 me2sms 
sbs_boss	year1663	POST	pym079_-qyyj		2011-08-18	보스를지켜라봐 
sbs_boss	kl1225327	POST	pym07ro-t27l		2011-08-18	보스를지켜 본방사수 me2mobile me2photo 
sbs_boss	hwaya_001	POST	pym07y5-15_3		2011-08-19	보스 지키 등장인물 뇌구조 네이버블로그 Funny의세상사는이야기 
sbs_boss	qkrwldnjs852	POST	pym08ao-yqey_		2011-08-20	몇년째 봐야지봐야지 하 뉴하트 를 어제서 보 진심 이건 드라마 아니 아니 작품 ㅋ 작품중 명작 지성 요즘따 요즘따라 보스를지켜 뉴하트 뉴하트로 인해서 좋아지 아아아 ㅋㅋ 여튼 뉴하트 뉴하트가 진리 뉴하트 지성 me2mobile 
sbs_boss	dlrectly	POST	pym08b9-fzxu		2011-08-18	보스 지키 영웅재중 진짜 매력있는듯 
sbs_boss	dihyunju	POST	pym08e1-_62sp		2011-08-21	여인 향기 넘 재밋오 그리 보스 지켜 지켜라 재밋다 이제 빠이염 
sbs_boss	minka98	POST	pym09ka-_6z70		2011-08-20	오늘 보스 지키 다시보기 1 4회 봤당 예은이 예은이와 승연이 승연이의 추천 추천대 정말 재밌더군 완소코믹드라마 
sbs_boss	tkfkd6949	POST	pym0afw-e1ab		2011-08-20	보스를지켜 내 이제 아주 멋지 예정 swf http bit.ly obyhmo 인스티즈 instiz 
sbs_boss	lovelycong00	POST	pym0ag0-5uo57		2011-08-18	최강희 티셔츠 셔츠 보스를지켜라5 회 최강희 노은설 옷 패션스타일 패션스타 체크무늬 셔츠 민트색 티셔츠 의상정보 네이버블로그 알로파피의패션놀이터 
sbs_boss	dhvh0402	POST	pym0as_-5u2gr		2011-08-19	엄마 이제개학 밤 10에자야된데 10에자야된데요 저 무사백동수 보스를지켜라어떡 엄마 미워 슈스케도못본다 으헝헝헝 me2mobile 
sbs_boss	dlauddms0203	POST	pym0avs-yz_m5		2011-08-19	방금 보스 지키 보고 보 보 오 깨알재미만땅 ㅋㅋㅋ 
sbs_boss	yoyong11	POST	pym0b15-erbs		2011-08-19	보스 지키 5회 다시보기 지성 김재중 최강희 앓 돌입 삼각관계 본격화 보스를지켜 출연진 뇌구조 네이버블로그 코코아한잔달콤한육 
sbs_boss	alicesh0922	POST	pym0baf-y6tb5		2011-08-18	근데 보스를지켜 줄임말 줄임말이 몰 6글잔데 보 보지 이상 보스 하 되는건가 그런건가 
sbs_boss	riverjhw	POST	pym0bb8-th36		2011-08-19	차지헌 차지헌이 귀여운거지 원래 차무헌 차무헌이 나 강짱 강짱을 보 한건데 ㅋㅋㅋ 보스 지키 강짱 짱 me2mobile 
sbs_boss	alicesh0922	POST	pym0bhe-y6tb5		2011-08-18	오늘 보스 지키 하는날 하는날인데 설마설마 넌내반 보시 분 있는거 아니징 
sbs_boss	alrzl003	POST	pym0bj2-5ndpx		2011-08-19	ㅋㅋㅋㅋㅋㅋㅋ 끈질기 보스를지켜 차무원 에 제발 맨션좀해달라니까 답 ㅋㅋㅋㅋㅋㅋ 아행복 아행복해 ㅋㅋㅋㅋㅋ 으헤헤헤헤 
sbs_boss	qkqnwkdrn	POST	pym0c56-50ca3		2011-08-20	시간 거스르 발도장 전 인기 시절 저아했눈데 ㅋ 보스를지켜 노은설 완죤저아 내이상형 ㅠ ㅠ 어딨니 캬캬캬캬 상상 죄 아니자나 ㅋㅋㅋㅋ 불토불토 via 아임IN me2photo 
sbs_boss	thdeotjd456	POST	pym0c62-y88rj		2011-08-19	보스를지켜 뇌구조 등장 보스 뇌구조 보 보 드라마 다 본듯 폭풍반응 뉴스 뉴스스크랩 
sbs_boss	actorjisung	POST	pym0c9k-55ilt		2011-08-20	보스를지켜라완전재밌게보고 
sbs_boss	tkfkd1k	POST	pym0cgx-5sgxn		2011-08-22	SBS 수목 드라마 보스 지키 SBS 수목 드라마 보스 지키 동영상보기 지성 비내리 비내리는 호남선 들으보실래 들으보실래요 네이버블로그 핑크쟁이의행복한하루 
sbs_boss	baggomyuna	POST	pym0c_7-lo_n		2011-08-20	보스를지켜 보스 지키 E02 러블리 오피스룩 최강희 패션 따라잡 네이버블로그 욕심쟁이의판도라상자 
sbs_boss	larcobaleno	POST	pym0d5r-5gks9		2011-08-20	보스 지키 로코 여왕 최강희 열연 수목극 1위 최강희 효과 네이버블로그 라 르꼬발레노 L'arcobaleno 
sbs_boss	lynn080	POST	pym0d7j-ycumz		2011-08-18	히히 보스를지켜 1화2 호 잼땃 me2mobile 
sbs_boss	fhslove	POST	pym0d7r-nafz		2011-08-18	제가 제 한동안 드라마 안보 말이죠 요즘 보스 지키 보 막막 웃 ㅋㅋㅋㅋ 드라마 매일하면 안되 안되 ㅎㅎㅎㅎㅎㅎㅎ 
sbs_boss	rkdtnals88	POST	pym0e6j-1a3b		2011-08-21	보스를지켜라보고파 me2mobile 
sbs_boss	cpfl1225	POST	pym0ejk-rei2		2011-08-19	보스 지키 완죤 잼써 잼써요 3 튀 캐릭터 시크릿 가 가 최고 사랑 사 이후 또한번 내맘 내맘을 빼앗아 드라뫄아아아 
sbs_boss	gun8494	POST	pym0eq7-5hhgc		2011-08-21	재중 지켜줄게 보스를지켜라ost 진짜 좋 
sbs_boss	dudtlf56	POST	pym0fkl-yvk07		2011-08-19	넌 널 내 반 끝나 보스 지키 보 이게 훨신 재밌어 
sbs_boss	swa075531	POST	pym0fov-0lck		2011-08-20	다운 보기 보 캡쳐 보스 지키 6화 다시보기 포스팅 네이버블로그 내인생최고의공백기 
sbs_boss	sbi04398	POST	pym0frf-1bqa		2011-08-18	둘리커플 ㅠ 3 ㅠ 됫어 둘리 보스를지켜라 차지헌 ㅋㅐ 릭터 릭터야 ㅋㅋ me2photo 
sbs_boss	saenafraise	POST	pym0fuy-_osit		2011-08-18	나오늘지금 묻 by M.Street 듣 듣기 오 좋 It's a very sweet song MstreetW Like This me2music 보스 지키 OST Part 4 
sbs_boss	aia3	POST	pym0gi7-_t0df		2011-08-22	아훔 졸립 애들 개학 보스 지키 잼 명월 명월도 괜챦았는데 글 쓰다보 쓰다보니 일 참 차 취미 많 난 나 날 수도명상 세속적이구 세상 또 잘 자 적응못 적응못하 마치 중음계 있다고나 있다고나할까 me2mobile 
sbs_boss	kmn926	POST	pym0gjs-_j7w2		2011-08-19	보스 지키 넘 잼써 우짤까 본방사수 하세연 
sbs_boss	minie0604	POST	pym0gs4-y1yql		2011-08-18	슈주미스터심플 김재중보스를지켜 김재중보스를지켜라 박유천사랑 ㅁ 하 
sbs_boss	jjlovley	POST	pym0gsb-5mbsq		2011-08-19	110819 보스 지키 5화 차무원 플레 플레이어 네이버블로그 동방신기슈퍼주니어삶는곳 
sbs_boss	dayuni_love	POST	pym0gse-y7pn9		2011-08-22	오늘 쉬는날 쉬는날이니깐 부담 늦게 말똥말똥 해볼까잉 ㅅ 일단 보스를지켜 5,6회 있는분 공유 쪼 aa 
sbs_boss	oqcaa	POST	pym0hev-tjn9		2011-08-19	보스 지키 출연자 뇌 구조 네이버블로그 혼자서잘노는AB 형의블로그 
sbs_boss	cfg452	POST	pym0hlh-32l8		2011-08-18	요즘 보스 지켜라 지켜라가 꽂히 ㅋㅋㅋ 근데 보스 지켜 지켜라 좀 조 불안불안 아직 5화 밖 안하 벌쓰 ㅅ 스키신 스키신이 ㅋㅋㅋ 재중 어쩔겨 ㅋㅋㅋ 동정스키 ㅋㅋㅋ 요런건가 ㅋㅋㅋ 쨋든 스토리 좋은듯 ㅎㅎ 
sbs_boss	leeger92	POST	pym0hzc-pvzg		2011-08-18	계백 무사백동수 공주 남자 남 보스 지키 넌 널 내 반 애정만만세 순위 순이랍니당 드라마 월화 월화나 수목드라마 인기 많 그것 10시쯤 나오 제일루 
sbs_boss	u80yi	POST	pym0ikv-548pw		2011-08-19	안녕 드라마 보스 지켜리 랑 런닝맨 의 주재 보스 지키 나오셨잖아요 친구수락 해 하 주셔서 감사 행복한하루 친구소개 actorjisung 
sbs_boss	bis_nakake	POST	pym0j97-5veis		2011-08-19	새벽 3시 3시에 먹 라면 보스를지켜 보니 급먹고 싶 ㅠㅠ me2mobile me2photo 
sbs_boss	ssy743	POST	pym0kjt-y1gz5		2011-08-18	이유 ㅋㅋ 보스 지켜라 완전 짱 짱임 
sbs_boss	thsdhqks777	POST	pym0kxy-frrt		2011-08-20	sbs 드라마 보스 지키 보 보 사람 사 me2mobile 
sbs_boss	redcang	POST	pym0lbu-5ek3y		2011-08-21	재중 싸이월드 보스 지키 상품 나오 보스 캐릭터 점토인형 네이버블로그 동방구경하는블로그 
sbs_boss	pusankjs	POST	pym0m4g-yyk0a		2011-08-19	보스를지켜 왕지혜 엽기코믹 표정 12종 폭소 네이버블로그 바다는비에젖지않는다 
sbs_boss	dudhkd0408	POST	pym0m4l-_pc05		2011-08-19	앜 넌내반 넌내반이 끝나 끝나 ㅠㅠ 어제 완존 헤어지 줄 주 알 깜놀 아 슬프 난 나 날 이제 멀 보고 보 보 사 공주 남자 재밌 재밌나 보스 지켜라 지켜라가 재밌 재밌나 
sbs_boss	yeana30	POST	pym0mcv-500fo		2011-08-19	보스 지키 5화 공주 남자 남 10화 넌 널 내 반 마직막회 수목드라마 무료 다시보기 네이버블로그 재택 부업 투잡 시크릿과함께하는인생라이프 
sbs_boss	shgml456	POST	pym0n2t-pv48		2011-08-18	드라마 보스 지키 최강희님 바람나 개사 개 바람나 겁나 웃기 네이버블로그 GDingDongDang 
sbs_boss	mi_wook	POST	pym0ohb-50326		2011-08-19	아 보스 지키 왜 재밌음 다음주 또 언제 기다리 무느님 재중 고백에여자 다 난리더군 지성 애교짱 ㅋ 하 하지 박영규 박영규가 짱 짱임 ㅋㅋ me2photo 
sbs_boss	tmzpdlxj12	POST	pym0ohv-__u00		2011-08-19	보스 지키 지성 최강희 뇌구조 어떻길래 아시아투데 아시아투데이 
sbs_boss	cass-iopeia	POST	pym0osy-8_km		2011-08-21	보스 지키 6회 차무원 차본부장 역 김재중 캡쳐 스타일 스타 분석 네이버블로그 밍려의일탈기 
sbs_boss	kagome00	POST	pym0p4q-cy0e		2011-08-21	요즘 드라마 흐규 ㅠ 보스 지키 재밌는듯 ㅋㅋ 드라마 좋아지 ㅠㅠ 
sbs_boss	preety116	POST	pym0pzd-48_t		2011-08-21	보스 지키 김재중봤다 네이버블로그 막장다이어리 
sbs_boss	kelly7972	POST	pym0qnm-bcxb		2011-08-19	보스를지켜 지성의명연기 자연 잼 귀엽 차지헌 네이버블로그 엄마보다내가더더더사랑 슬아야고마워 
sbs_boss	swa075531	POST	pym0r23-0lck		2011-08-20	다운 보기 보 캡쳐 보스 지키 5화 다시보기 포스팅 네이버블로그 내인생최고의공백기 
sbs_boss	season	POST	pym0rbw-3vj0		2011-08-18	보스 지키 이거 완전 의외 빵빵 터지 맛 있 ㅋㅋㅋ 지성 로얄패밀리 이후 어색 말투 연기 정착시키려나본데 그게 웃 웃기 웃기 ㅋㅋㅋ 
sbs_boss	kelly7972	POST	pym0spd-bcxb		2011-08-19	보스를지켜 유쾌한드라마 귀엽 차차커플 네이버블로그 엄마보다내가더더더사랑 슬아야고마워 
sbs_boss	kyoungt70	POST	pym0srh-bxvq		2011-08-19	원문 보스를지켜 뇌구조 등장 보스 뇌구조 보 보 드라마 다 본듯 폭풍반응 웹 
sbs_boss	wjsdmswk13	POST	pym0t91-1vrn		2011-08-18	보스 지키 보는사람 미투 고 
sbs_boss	dhkdwn1	POST	pym0tf9-ffrt		2011-08-18	보스 지켜라 지켜라를 보 ost좋다 ost좋다고 햇는데 어디서 많 듣 목소맄 ㅋ 알고보 알고보니 에핑 ㅋㅋ 에핑 
