program_id	author_id	type	post_id	comment_id	publish_date	feature	count	word
kbs2_princess	kelleahyejin	POST	pym015a-yfrj4		2011-08-18	EXCLAM	1.0	tagexclamation
kbs2_princess	kelleahyejin	POST	pym015a-yfrj4		2011-08-18	PRESENT	1.0	오늘
kbs2_princess	kelleahyejin	POST	pym015a-yfrj4		2011-08-18	SEE	1.0	보다
kbs2_princess	chococat000	POST	pym01ba-_hgmp		2011-08-19	SMILE	1.0	크
kbs2_princess	chococat000	POST	pym01ba-_hgmp		2011-08-19	SEE	1.0	보다
kbs2_princess	nhy0312nhy	POST	pym05nd-_marw		2011-08-18	PRESENT	1.0	오늘
kbs2_princess	cofvh	POST	pym06sa-_sldt		2011-08-20	EXCLAM	1.0	tagexclamation
kbs2_princess	cofvh	POST	pym06sa-_sldt		2011-08-20	PRESENT	1.0	지금
kbs2_princess	cofvh	POST	pym06sa-_sldt		2011-08-20	POSITIVE	1.0	보고싶다
kbs2_princess	cofvh	POST	pym06sa-_sldt		2011-08-20	NEGATIVE	1.0	미워
kbs2_princess	ugkymj	POST	pym07qr-5xh8k		2011-08-18	PRESENT	2.0	지금,오늘
kbs2_princess	ugkymj	POST	pym07qr-5xh8k		2011-08-18	SMILE	1.0	tagsmile
kbs2_princess	ugkymj	POST	pym07qr-5xh8k		2011-08-18	SEE	1.0	보다
kbs2_princess	tnwlswhddjr	POST	pym07rc-y5698		2011-08-18	PRESENT	1.0	지금
kbs2_princess	tnwlswhddjr	POST	pym07rc-y5698		2011-08-18	SMILE	2.0	tagsmile,흐
kbs2_princess	yanghm029	POST	pym07_q-btoi		2011-08-18	SMILE	2.0	tagsmile,크
kbs2_princess	qkrwnal94	POST	pym0blq-5tueu		2011-08-18	EXCLAM	1.0	tagexclamation
kbs2_princess	qkrwnal94	POST	pym0blq-5tueu		2011-08-18	SMILE	1.0	tagsmile
kbs2_princess	qkrwnal94	POST	pym0blq-5tueu		2011-08-18	CRY	1.0	tagcry
kbs2_princess	qkrwnal94	POST	pym0blq-5tueu		2011-08-18	POSITIVE	1.0	멋지다
kbs2_princess	zlekfl0308	POST	pym0bt1-_q9oh		2011-08-19	EXCLAM	1.0	tagexclamation
kbs2_princess	zlekfl0308	POST	pym0bt1-_q9oh		2011-08-19	SMILE	1.0	tagsmile
kbs2_princess	zlekfl0308	POST	pym0bt1-_q9oh		2011-08-19	NEGATIVE	1.0	아쉬
kbs2_princess	chococat000	POST	pym0bto-_hgmp		2011-08-19	EXCLAM	1.0	tagexclamation
kbs2_princess	chococat000	POST	pym0bto-_hgmp		2011-08-19	QUANTIFIERS	1.0	아주
kbs2_princess	chococat000	POST	pym0bto-_hgmp		2011-08-19	SMILE	1.0	tagsmile
kbs2_princess	chococat000	POST	pym0bto-_hgmp		2011-08-19	POSITIVE	2.0	기쁘다,재미있
kbs2_princess	chococat000	POST	pym0bto-_hgmp		2011-08-19	ANX	1.0	무섭
kbs2_princess	liarcity	POST	pym0du5-_3ti4		2011-08-20	POSITIVE	1.0	좋아하다
kbs2_princess	liarcity	POST	pym0du5-_3ti4		2011-08-20	SEE	1.0	보다
kbs2_princess	s8411230	POST	pym0el6-yy97r		2011-08-18	EXCLAM	1.0	tagexclamation
kbs2_princess	ghdudrnfu	POST	pym0fz7-t88k		2011-08-20	EXCLAM	1.0	tagexclamation
kbs2_princess	ghdudrnfu	POST	pym0fz7-t88k		2011-08-20	POSITIVE	1.0	멋지다
kbs2_princess	ilsaing79	POST	pym0hmf-_pevq		2011-08-19	EXCLAM	1.0	tagexclamation
kbs2_princess	ilsaing79	POST	pym0hmf-_pevq		2011-08-19	PRESENT	1.0	올해
kbs2_princess	ilsaing79	POST	pym0hmf-_pevq		2011-08-19	SMILE	1.0	tagsmile
kbs2_princess	leeger92	POST	pym0htf-pvzg		2011-08-18	PRESENT	1.0	오늘
kbs2_princess	leeger92	POST	pym0htf-pvzg		2011-08-18	SMILE	1.0	tagsmile
kbs2_princess	leeger92	POST	pym0hzc-pvzg		2011-08-18	EXCLAM	1.0	tagexclamation
kbs2_princess	didrb1028	POST	pym0inu-yuutd		2011-08-20	SMILE	2.0	크,tagsmile
kbs2_princess	love-1	POST	pym0iob-5kuih		2011-08-19	SMILE	1.0	크
kbs2_princess	bluemint	POST	pym0k2m-bd9p		2011-08-19	CRY	1.0	tagcry
kbs2_princess	mcw1113	POST	pym0kcy-_w1f9		2011-08-18	CRY	1.0	tagcry
kbs2_princess	dudhkd0408	POST	pym0m4l-_pc05		2011-08-19	PAST	1.0	어제
kbs2_princess	dudhkd0408	POST	pym0m4l-_pc05		2011-08-19	CRY	1.0	tagcry
kbs2_princess	dudhkd0408	POST	pym0m4l-_pc05		2011-08-19	NEGATIVE	1.0	슬프다
kbs2_princess	dudhkd0408	POST	pym0m4l-_pc05		2011-08-19	SAD	1.0	슬프
kbs2_princess	dudhkd0408	POST	pym0m4l-_pc05		2011-08-19	SEE	1.0	보다
kbs2_princess	chococat000	POST	pym0phg-_hgmp		2011-08-19	EXCLAM	1.0	tagexclamation
kbs2_princess	chococat000	POST	pym0phg-_hgmp		2011-08-19	SMILE	2.0	tagsmile,ㅋ
kbs2_princess	chococat000	POST	pym0phg-_hgmp		2011-08-19	LOVE	1.0	taglove
kbs2_princess	tmdfl4775	POST	pym0qbk-5h2jq		2011-08-19	PAST	1.0	어제
kbs2_princess	tmdfl4775	POST	pym0qbk-5h2jq		2011-08-19	SMILE	1.0	tagsmile
kbs2_princess	tmdfl4775	POST	pym0qbk-5h2jq		2011-08-19	ANX	1.0	무섭
kbs2_princess	dpwngud	POST	pym0tbb-5izyq		2011-08-19	EXCLAM	1.0	tagexclamation
kbs2_princess	dpwngud	POST	pym0tbb-5izyq		2011-08-19	PAST	1.0	어제
kbs2_princess	dpwngud	POST	pym0tbb-5izyq		2011-08-19	CONJUNCTIONS	1.0	하지만
