program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_happysunday_1bak2il	greenp72	POST	pym00hb-_wulw		2011-08-20	뉴스 악 안되 exclamation 박 일 종영이라고라고 question exclamation 아으 승기오빠 가는거 가는거야 question 
kbs2_happysunday_1bak2il	korean2070	POST	pym035a-5hmwi		2011-08-20	박 일 결국 종영 나pd 시즌 가능성 열려 열려있다 
kbs2_happysunday_1bak2il	tnwhlovejw	POST	pym03fg-q4er		2011-08-21	박 일 밀양여행 고고싱 exclamation 타 
kbs2_happysunday_1bak2il	2000dmswl	POST	pym0539-_q8bc		2011-08-20	에흑 박 일 종영이닷 cry ㅅ cry 올것 올것이 오 이제 뭘 봐야 봐야하지 question 
kbs2_happysunday_1bak2il	aldnguexwuhk	POST	pym053o-g9i2		2011-08-21	헐 시경 님 진정 웬일 question 오늘 박 일 완전 놀랐삼 exclamation smile 근데 재밌더 재밌더라 감 감 나쁘 않 듯 exclamation 성시경 성시경의 최근 노래 내 좀 조 별 안 알 좋아하 사지 사 않 있 관심 가 이것 박 일 효과 question smile 그치 그치만 종영 
kbs2_happysunday_1bak2il	nanhang81	POST	pym053_-5mjyz		2011-08-20	박 일 개월뒤 종영이네 우째 이런일 cry cry 간판 예능 좀 조 많 아쉽네 아쉽네여 년간 우리 웃 웃음 주고갑자기 떠나 것 미 알려주는게좋은거 같 cry cry 보 맘 아려오겠네 아려오겠네여 cry cry 모두 유종 미 보여주 smile 박 멤버 언제 언제나 응원 사랑 smile 
kbs2_happysunday_1bak2il	tmdfl4907	POST	pym082a-plx5		2011-08-21	나 나 위로하쥐뫄 exclamation 지 왈 smile 빅뱅 박 일 때 smile smile 
kbs2_happysunday_1bak2il	guevara99	POST	pym0d02-1et9		2011-08-21	요즘 뭐 보 question 성시경 성시경이 알 보 막걸리 같 타입 타입이 그걸 알아보 강호동의 얘기 사실 이미 다 알려지 이미지 아니 question 성시경 성시경이 럭셔리 이미지 벗어나 벗어 대체 언제 적 이야기냐 강호동의 호들갑 보기 보 힘들 이유 박 일 
kbs2_happysunday_1bak2il	larcobaleno	POST	pym0dsm-5gks9		2011-08-20	나영석pd 박 일 시즌 가능성 언급 멤버 그대 question 화제 
kbs2_happysunday_1bak2il	skyt704	POST	pym0dxh-_p42p		2011-08-21	박 일 개월후 전원하차 
kbs2_happysunday_1bak2il	tnwhlovejw	POST	pym0d_z-q4er		2011-08-21	박 일 밀양여행 고고싱 exclamation 
kbs2_happysunday_1bak2il	kihawo0911	POST	pym0erk-545bs		2011-08-21	비진도 갔다오 피곤 smile 비진도 박 일로 일 갔다오 동양 나폴리라불릴 나폴리라불릴만하더군 나폴리라불릴만하더군요 smile 산 비진도 모습 me video 
kbs2_happysunday_1bak2il	vg0825	POST	pym0gjf-56ht_		2011-08-22	박 일 박찬호 귀요미 두 딸 따 미모 아내 전격 공개 
kbs2_happysunday_1bak2il	qhalsz123	POST	pym0gxs-1dv0		2011-08-19	엄마 요즘 핸드폰를 주제 이야기 많 하신다 바꿔줄것도 아니 exclamation 년 후 아주 좋 스마트폰 스마트폰을 사 사고 말 박 일로 일 놀러가 같 간 가 갈 사람 있 같 간 가 갈 사람 자식 다 스마트폰 스마트폰인데 울 울 가족 아빠 뺴 뺴고 스마트폰 스마트폰이 아니 아니 완전 좌절했츰 exclamation 
kbs2_happysunday_1bak2il	tatalina	POST	pym0hcp-_e0am		2011-08-22	과외끝 과외끝나 박 일 받 보고 박찬호 박찬호가 쓰 쓸 명언 행복 노력순 노력순이 으미 찔리 cry 빨리끄 빨리끄고 자서 자 내일아침 노력 
kbs2_happysunday_1bak2il	istore00	POST	pym0het-54328		2011-08-22	박 일 박 일 박찬호 재회 
kbs2_happysunday_1bak2il	dsh113	POST	pym0i1j-5ab2w		2011-08-22	박 일 박찬호재회 이승기 이수근 일본 오사카 방문 
kbs2_happysunday_1bak2il	commiwon	POST	pym0il8-8tj2		2011-08-20	강호동 이승기 박 일 개월 시한부 잔류 
