program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_happysunday_men	dmseorjs	POST	pym081d-_3zbs		2011-08-21	시련 오(다) 패망 없(다) 야망 날 나(다) 일으켜세울 그것 남자 자격 exclamation
kbs2_happysunday_men	lbor5359	POST	pym08nx-_sx6j		2011-08-21	밥먹고 런닝맨 런닝맨보 남자의자격보는중 smile 넘늦게왔 넘늦게왔나 ㅁ 근데 또 졸려지고 졸려지고있음 취침들어가시는분 굿나잇 exclamation
kbs2_happysunday_men	narang282	POST	pym09w7-599eh		2011-08-21	남자 자격 회
kbs2_happysunday_men	kikihiho	POST	pym0ctr-l9oh		2011-08-18	꼬꼬면후기 남자 자격 이경규 이경규의 꼬꼬면 후기
kbs2_happysunday_men	himismini	POST	pym0nfc-yglvy		2011-08-20	꼬꼬면드셔보셧어 꼬꼬면드셔보셧어요 question 남격에서일 smile 붉은기하나없는데ㅣ완전얼큰 smile 참고 하나 천원 smile
kbs2_happysunday_men	jichosuk	POST	pym0qbl-yxx4d		2011-08-22	꼬꼬면 이경규라면 남자 자격 선보이(다) 요즘 유명세 타고 이경규라면 꼬꼬면 도전기 exclamation
kbs2_happysunday_men	pinkbaby0906	POST	pym0xv3-yuo5g		2011-08-22	smile 우왓 exclamation 우리합창단ucc낸거 통과 일나(다) 부산예선 보러갔는데 차통 차통과 차통과 남자의자격 나가(다) 대회 나갈수 있(다) smile smile 근데 문제 남자 자격 서울예선 통과 통과했 question smile 근데 우리 예선볼때 심사위원 박현빈 exclamation smile smile 진짜 잘생기(다) 실물 smile smile
kbs2_happysunday_men	pbk0356	POST	pym10ev-5uz2z		2011-08-20	투표할게염 런닝맨vs남자 자격
kbs2_happysunday_men	ccya	POST	pym13_a-hmgu		2011-08-22	해피선데 해피선데이 남자 자격 회 월 일 다시보기
kbs2_happysunday_men	holldin	POST	pym18mt-_mnfs		2011-08-22	꼬꼬면 후기 남격 이경규 이경규의 꼬꼬면 최저 무료구매
kbs2_happysunday_men	junes26	POST	pym1ah0-yxvov		2011-08-22	남자 자격 장기 미션 중간 점검 월 일 방송 보기 보(다)
kbs2_happysunday_men	wingsadd	POST	pym1pp9-_5e9s		2011-08-22	해피선데 해피선데이 남자의자격 무료다시보기 해피선데 해피선데이 남자의자격 무료다시보기
