program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_ojakkyo	nalba93	POST	pym03qh-y14ls		2011-08-21	오작교 형제 마지막 유이 유이가 뭐라그랫어 뭐라그랫어요 question 감사가업서 question smile ㅇ
kbs2_ojakkyo	rornwoddl238	POST	pym08x0-y6snu		2011-08-18	오작교 형제 회 자은 자은을 받(다) 복자
kbs2_ojakkyo	ch2280	POST	pym0cf_-5tlmw		2011-08-20	아이패드로입력하구있어요격배해주세요오늘오작교형제들잘보셨죠 question 사랑 smile 시청해주세욯 smile
kbs2_ojakkyo	ellakim0829	POST	pym0fk6-_8_tv		2011-08-20	오작교 형제 보고 보(다) 보 있(다) 중 오작교 형제
kbs2_ojakkyo	shy010109	POST	pym0glq-_o_j1		2011-08-20	오작교 형제 재미 smile 유 언니 연기 잘 자(다) 하셔 하셔요 smile 오작교 형제 추천함당 exclamation
kbs2_ojakkyo	fic123	POST	pym0iw8-i_63		2011-08-20	토렌트다운 오작교 형제 회
kbs2_ojakkyo	heesu129	POST	pym0keq-5usne		2011-08-21	오작교 형제 우리아파트 촬영 몰랐네요 smile 어디서 많(다) 본것 본것같다 싶(다) smile
kbs2_ojakkyo	ma2646	POST	pym0mtt-rwog		2011-08-20	오작교형제 다 내사랑내곁 보고있지로옹
kbs2_ojakkyo	kimyj6966	POST	pym0w63-fty8		2011-08-21	아이제드라마를멀봐야 question 시티헌터는끝나고사서넌내반봤는데끝 아 월 화요일은스파이명월보고수 목요일은보스를지켜라금요일 달고 달고나 토 일요일 오작교형제 내사랑내곁 여인의향기 smile
kbs2_ojakkyo	fic123	POST	pym0wcu-i_63		2011-08-20	토렌트다운 오작교 형제
kbs2_ojakkyo	haein214	POST	pym0wuc-ycep		2011-08-20	오작교형제들재밋네 smile 감동적이댜
kbs2_ojakkyo	loverain18	POST	pym0_9a-_aodj		2011-08-21	오작교형제 smile 유이예쁘넹 smile
kbs2_ojakkyo	ccya	POST	pym131q-hmgu		2011-08-22	오작교 형제 회 월 일 다시보기
kbs2_ojakkyo	ccya	POST	pym133r-hmgu		2011-08-22	오작교 형제 회 월 일 다시보기
kbs2_ojakkyo	lovelycong00	POST	pym13hu-5uo57		2011-08-19	유 원피스 오작교형제 회 유 백자은 옷 패션스타일 패션스타 파란색 롱원피스 의상정보
kbs2_ojakkyo	fic123	POST	pym15ll-i_63		2011-08-22	토렌트다운 오작교 형제 회
kbs2_ojakkyo	junes26	POST	pym1a0s-yxvov		2011-08-22	오작교 형제 회 월 일 방송 보기 보(다)
kbs2_ojakkyo	lovelycong00	POST	pym1b1c-5uo57		2011-08-19	최정윤 블라우스 오작교형제 회 최정윤 차수영 옷 패션스타일 패션스타 민소매 큐빅 블라우스 의상정보
kbs2_ojakkyo	iyousens	POST	pym1d8d-yq85k		2011-08-22	다시보기 오작교형제 오작교 형제 회 다시보기 월 일 방송분 다시보기
kbs2_ojakkyo	iyousens	POST	pym1d92-yq85k		2011-08-22	다시보기 오작교형제 오작교 형제 회 다시보기 월 일 방송분 다시보기
kbs2_ojakkyo	cnsekf	POST	pym1fc_-55r32		2011-08-22	kbs tv 오작교 형제 주간시청률 위 exclamation
kbs2_ojakkyo	sge098	POST	pym1g1m-5a31v		2011-08-20	천번의입맞춤얼마안남았네 smile 오작교형제 재밌는데 지현우 심형탁 윤두준vs류수영 주원 연우진 도무지 선택할수 없(다) exclamation exclamation
kbs2_ojakkyo	cnsekf	POST	pym1g8s-55r32		2011-08-22	오작교 형제 유 오작교 농장 초토화
kbs2_ojakkyo	dyfflwnr	POST	pym1hfl-5_o9f		2011-08-20	오작교형제 보(다) 유 애 앗(다) 살인충동유발연기 잘 미치(다) 티비 부수고 부수 싶어 싶(다)
kbs2_ojakkyo	nadiag26	POST	pym1hu6-_icu7		2011-08-20	유 오작교 형제 동거 허락 대신 등록금 용돈 생활비 달(다) 다르(다) 조건 조(다) 제안
kbs2_ojakkyo	wingsadd	POST	pym1p0v-_5e9s		2011-08-22	오작교형제 회 무료다시보기 오작교형제 회 무료다시보기
kbs2_ojakkyo	j-castle	POST	pym1qcl-y97xs		2011-08-20	오크같은것 남자 다리 흘깃하는건 변태라 변태라하 tv 상의탈의 상의탈의하 갑바 빨래판 한번 보여주(다) 빨래 하고싶다느 하고싶다느니 난리면서 변태 기준이뭔데 question 서로다른 본능 어쩔수없는것 아니(다) 매너 지킴되는거지 아닌척 숨(다) 숨기(다) 숨기 내숭 쩌는애 쩌는애들이 구리더 구리더라 오작교형제 요즘 여자 성적 표현 솔직 남자가 남자가하면 신고 여자가 여자가하면 인정 ㅡ ㅡ 위선자 모든여자 지칭하는건 아님다 일부 무개념 smile 그나저 그나저나 유 하악 이쁘(다) 연기 의외 잘
kbs2_ojakkyo	sge098	POST	pym1qlb-5a31v		2011-08-20	천번의입맞춤 오작교형제들마져볼껄 아이 아 안타깝(다) 안타까워
kbs2_ojakkyo	nadiag26	POST	pym1q_3-_icu7		2011-08-20	오작교 형제 류수영 최정윤 달콤 첫 키스신
kbs2_ojakkyo	kyy06030	POST	pym1ta0-rwi1		2011-08-20	오작교형제 욕 넘 많(다) cry 경고받는거아님 question
kbs2_ojakkyo	kmediabox	POST	pym1ylb-_1l70		2011-08-21	토도우 오작교 형제 회 월 일 다시보기
kbs2_ojakkyo	faketoy	POST	pym1za0-5jp56		2011-08-20	오작교 형제 토렌트
kbs2_ojakkyo	aa5980	POST	pym36rh-gcre		2011-08-21	오작교형제들에출연중 유 롱머리 글램펌 바디펌 웨이브 헤어스타일
kbs2_ojakkyo	bsj9336	POST	pym3kas-_he8h		2011-08-21	오작교 형제 류수영 최정윤 첫 키스 동침 일사천리 tv리포트
kbs2_ojakkyo	mople	POST	pym3mwu-ybyr8		2011-08-20	오작교 형제 회 e 닥본사 닥 치(다) 치 본 보(다) 방 사 사(다) 닥치고본방사수 닥본사 별점 오늘 오작교 형제 회 e
kbs2_ojakkyo	jeongdh97	POST	pym3wjh-5_r1f		2011-08-21	오작교 형제 보(다) 눈 호강 같(다) 아오 류수영 아오 연우진 아오 주원
kbs2_ojakkyo	qhdnjs99	POST	pym3z7e-yn00g		2011-08-21	오작교형제 보(다) 보 사아아아아아아라암 question
kbs2_ojakkyo	3210dptmej	POST	pym58ne-yepym		2011-08-18	여인 향기 보스 지키(다) 스파이 명월 계백 무사 백동수 공주 남자 남(다) 넌 널(다) 내(다) 반 오작교형제 천 번 입맞추(다) 내 내(다) 사랑 사 내 내(다) 곁 광개토태왕 애정만만세 두근두근 달콤 내사 당신 참 차(다) 예쁘(다) 미쓰 아줌마 우리집 여자 불굴 며느리 당신 당신이 잠들(다) 사이 사(다) 사
kbs2_ojakkyo	wnwls648	POST	pym5e5q-yj2vj		2011-08-16	아잉 주원내스따일 주원내스따일이 love 사랑하는거알쥐 question 히히히힣 오작교형제들잘보고 exclamation smile
kbs2_ojakkyo	chszoo	POST	pym5izz-ny2m		2011-08-16	동일하이빌뉴시티 개념경찰 주원 카리스마(다) 폭발 오작교형제 시청률 승승장구
kbs2_ojakkyo	insos02	POST	pym5j3p-_8lnw		2011-08-16	오작교형제 회 무료다시보기 오작교형제 회 무료다시보기
kbs2_ojakkyo	charlie_hl	POST	pym5nn_-5l33s		2011-08-18	홍대미용실 긴머리웨이브 오작교형제 유이머리 유이머리스타 찰리스헤어
kbs2_ojakkyo	rhr0504	POST	pym62y4-5j96n		2011-08-20	붑굽곰 그것 오작교형제 하(다) exclamation
kbs2_ojakkyo	insos02	POST	pym63yl-_8lnw		2011-08-17	오작교형제 회 무료다시보기 오작교형제 회 무료다시보기
kbs2_ojakkyo	s1031j	POST	pym697m-m3sj		2011-08-17	stv 오작교 형제 성깔 얼짱 유 홍보모델 되(다) exclamation
kbs2_ojakkyo	stylisthanul	POST	pym6e6k-_w5s7		2011-08-17	오작교 형제 유 가(다) 가늘(다) 가 데 데마 북새통 폭풍인기 실감
kbs2_ojakkyo	lovelycong00	POST	pym995w-5uo57		2011-08-20	유 점프수트 오작교형제 회 유 백자은 옷 패션스타일 패션스타 검은색 점프수트 의상정보
kbs2_ojakkyo	xia17	POST	pym9apq-5p1vs		2011-08-20	kbs오작교 형제 연예가중계 sbs여인 향기 mbc세바퀴 지금 봐야할것 smile
kbs2_ojakkyo	insos02	POST	pym9n8l-_8lnw		2011-08-21	오작교형제 회 무료다시보기 오작교형제 회 무료다시보기
