program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_fallinlove	wlsgk2413	POST	pym000w-_igc6		2011-08-20	ㅇ 넌 널(다) 내(다) 반 ost 넌 널(다) 내(다) 반 ost special
mbc_fallinlove	wlsgk2413	POST	pym003v-_igc6		2011-08-20	ㅇ 넌 널(다) 내(다) 반 ost part
mbc_fallinlove	wlsgk2413	POST	pym00e_-_igc6		2011-08-20	ㅇ 넌 널(다) 내(다) 반 ost part
mbc_fallinlove	tldus9641	POST	pym02ky-5l13_		2011-08-18	이신 이신이 이규원 넘어지는거 받치(다) smile 손목 다치(다) 그것 모르(다) 걍 기타 치(다) smile smile 이규원한테 피해 피하(다) 주기 주(다) 싫(다) smile
mbc_fallinlove	2656chlwjddm	POST	pym02pk-5pxaw		2011-08-19	으 허엉 드디어 드디어 exclamation 넌내게반했어가 끝나(다) exclamation cry 이제 어떻(다) 사(다) question cry 괝찮아 괝찮아요 어차피 내 봐야 봐야할 드라마 많(다) 있으니까 있으니까요 exclamation 우울증걸린 같유 cry 드라마 정용화팬 정용화팬인데 그리(다) 어제 박신혜언니 정용화오빠 exclamation 진 지(다) exclamation 짜(다) 멋있어용 smile
mbc_fallinlove	yelin7578	POST	pym043v-1smz		2011-08-18	분정도후 exclamation 넌내게반 마지막방소유 cry
mbc_fallinlove	yelin7578	POST	pym046j-1smz		2011-08-18	넌내게반했어마지막방송도본 방 사 사(다) 합시다넌내반마지막도화이팅 exclamation
mbc_fallinlove	dbfls77721	POST	pym046r-y48g		2011-08-19	씨엔블루 정용화 넌 널(다) 내(다) 반 결말 정용화 박신혜 재결합 진심 확인 해피엔딩
mbc_fallinlove	goffhthgus	POST	pym04gw-yppqn		2011-08-18	오늘 넌내게반 마지막회 마지막회입니 안보셨던분 꼭보세 꼭보세요 안보면후회해요배우들스탭분 모두 수고 love 해피엔딩이겟죠 씨엔블루 씨엔블루도 홧팅용 exclamation love
mbc_fallinlove	km4082	POST	pym04oy-ya5vk		2011-08-18	cry 어떻(다) 오늘 넌 널(다) 내(다) 반 막방 막방이 나 나(다) 실컷 울(다) cry
mbc_fallinlove	jkjk3703	POST	pym04p2-_g02y		2011-08-18	격배 넌내게반 보고내일봐 smile
mbc_fallinlove	yelin7578	POST	pym04yg-1smz		2011-08-18	넌내게반했어막방 cry
mbc_fallinlove	ddh06209	POST	pym04_r-ygmcb		2011-08-18	심심 cry 빨(다) 넌내게반했어랑 보스를지켜 봐야 봐야되는데 exclamation 오늘 넌내게반 exclamation 막방 막방임 cry 본방사수 exclamation
mbc_fallinlove	dornr19	POST	pym0577-5azn8		2011-08-19	오늘넌내게반했어끝 cry 사람들이유치하다고그런걸누가보냐고하지만난그래도뻔한그이야기가재미있었다 smile 정용화의눈물이잊혀지지가않는군 exclamation 이제보스를지켜 question exclamation smile
mbc_fallinlove	grace2465	POST	pym06zd-yxd6y		2011-08-19	cry cry 내사 넌내게 반 가 가(다) 끝나(다) cry 나이제 뭐 사(다) question
mbc_fallinlove	tjsals526	POST	pym075i-_dhgs		2011-08-18	오늘 넌내게 반 마지막회 마지막회임 question
mbc_fallinlove	3120kjh	POST	pym07hg-9i03		2011-08-19	넌내반 정용화 박신혜 love mv
mbc_fallinlove	cfg452	POST	pym07u8-32l8		2011-08-18	넌내게반 막방 cry 스페셜 회 하(다) 좋(다) smile 그동안 시청 감사합니다 문구 뜨(다) 않(다) cry ㅠ
mbc_fallinlove	bona222	POST	pym08bf-_kob2		2011-08-19	여러분 아까탑게 어제 넌내게반했어가 끝이 cry 신이 신이가 손수술 손수술을 하는걸 하는걸을 감치(다) 하(다) 손 소(다) 솔(다) 아픈것 아픈것만 안 알(다) 규원이 규원이가 외국릉 안간다구 해서 하(다) 어제 신(다) 신 정용화 규원 박신혜 가 가(다) 헤어지(다) 규원 외국 가(다) 규원이 규원이가 공연 같이하자고 같이하자 하(다) 거절 하(다) 울(다) 댓글
mbc_fallinlove	kyuri0322	POST	pym08wo-yxxkt		2011-08-18	오늘 넌내게반 마지막회 cry
mbc_fallinlove	tjsalsaksla	POST	pym0amb-57se9		2011-08-18	오늘 넌 널(다) 내(다) 반 마지막 회 하(다) 하 날이에 날이에요
mbc_fallinlove	cho208610	POST	pym0b3a-_gdhg		2011-08-18	오늘 exclamation 넌내게반 exclamation 본방사수 exclamation 있지마세 있지마세요 exclamation 두둥 exclamation
mbc_fallinlove	dnflwla13	POST	pym0cxg-ymej_		2011-08-18	오늘 넌 널(다) 내(다) 반 마지막회 마지막회다 cry cry 제발 세드엔딩 말(다) 해피엔딩 해피엔딩으 끝나(다) 좋(다) 제발
mbc_fallinlove	ohinjeang	POST	pym0d8g-y5p4s		2011-08-18	넌내반 정용화 박신혜 예측 없(다) 둘리커플 마지막 이야기 예고 예 재경일보 뉴스스크랩
mbc_fallinlove	0203gogo	POST	pym0d9k-yrj65		2011-08-18	cry 넌내게반 최종회끝 cry
mbc_fallinlove	jena1218	POST	pym0drz-yq4z1		2011-08-18	넌내반 막장기가다분히보이는군 대본하고스토리를좀더늘여서다양한에피소드 자세한상황설명 더불(다) 스토리를좀다듬었다면완성도높고인기가더많은 드라마가됬을텐데 그래도넌내반잘봤어요 love 이세상의모든이신과이규원 exclamation 화이팅 love 그래도넌내반잘봤어욧 love
mbc_fallinlove	zaqxsw200	POST	pym0ee9-5e4b5		2011-08-20	넌내게반 ost제목모음
mbc_fallinlove	yna	POST	pym0f8_-z1ou		2011-08-19	연예 mbc 넌 널(다) 내(다) 반 시청률 로 종영 mbc 수목극 넌 널(다) 내(다) 반 가 가(다) 시청률 로 막(다) 막 내리(다) 후속 최지우 윤상현 주연 지(다) 지고 못살(다) 가 가(다) 방송
mbc_fallinlove	dudtlf56	POST	pym0fkl-yvk07		2011-08-19	넌 널(다) 내(다) 반 끝나(다) 보스 지키(다) 보(다) 이게 훨신 재밌어
mbc_fallinlove	indicreep	POST	pym0gyz-uow9		2011-08-20	한드 넌 널(다) 내(다) 반
mbc_fallinlove	jya3478	POST	pym0gzv-y9fx0		2011-08-19	실시 급상승 검색창 위로 위 넌 널(다) 내(다) 반 결말 exclamation 오우예 exclamation
mbc_fallinlove	kujy	POST	pym0h1o-cm6z		2011-08-18	오늘 밤 시 분 넌 널(다) 내(다) 반 최종회 많(다) 기대 기대(다) 바라(다) 둘리커풀 이신 이규원 해피엔딩 해피엔딩으 끝나(다) 제발 이신 love 이규원 해피엔딩 제발 smile
mbc_fallinlove	cfg452	POST	pym0ha_-32l8		2011-08-18	넌내게반 제발 해피엔딩 해피엔딩으 끝나(다) 뭐 드라마분위기도그렇고우리랑민혁 감독이랑교수잘됀거보면신혜랑용화사이극복하고해피엔딩으로끝날것 같은나의예감 직감예압 smile 시청률면에서는안타까웠지만달달하고오글거리는드라마 smile 마치미남이시네요시즌 question smile smile 용화랑신혜랑미남때의못다한사랑을하는듯 smile
mbc_fallinlove	leeger92	POST	pym0hzc-pvzg		2011-08-18	계백 무사백동수 공주 남자 남(다) 보스 지키(다) 넌 널(다) 내(다) 반 애정만만세 순위 순이랍니당 드라마 월화 월화나 수목드라마 인기 많(다) 그것 시쯤 나오(다) 제일루 exclamation
