program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_thousand	rabbitnms	POST	pym034_-j438		2011-08-21	지현우 잘생겼탑 ㅁ 천번 천번의 입맞추 
mbc_thousand	goals725	POST	pym06vp-_oi1v		2011-08-21	question 오정이미투하자면서 잠적햇어 smile 이런이런 나도그럼빠이염 천번의입맞춤을봅시 
mbc_thousand	nafly001	POST	pym09xf-_manz		2011-08-21	요즘 뭐 보 question 류진 류진은 천번 천번의 입맞추 에서 에서도 또 exclamation 실장님 이 요새 본부장앓 어쩌니 어쩌니해 원조격 원조격인 실장님 캐릭터 캐릭터의 최고봉 류진 류진이 류진이라 생각 분명 동안미녀 에서 보 모습 잘 자 어울리 할 하 말 말 없 하 하지 축구선수 윤기준 윤기준으 나오 윤두준 윤두준이 가장 좋 건 거 걸 윤두준 윤두준이 바르싸 바르싸를 좋아하 그런건가 
mbc_thousand	fic123	POST	pym0him-i_63		2011-08-20	토렌트다운 천 번 입맞추 회 
mbc_thousand	ahj960923	POST	pym0j_1-y46pq		2011-08-21	천번 천번의 입맞추 많 사랑 
mbc_thousand	heejeong7675	POST	pym0kzu-smt7		2011-08-21	천번 천번의 입맞추 
mbc_thousand	grapes2800	POST	pym0n_f-w1q8		2011-08-22	천번 천번의 입맞추 윤두준나온다 question smile 예전부터알고 화 봐써욯 smile 꼭보세 꼭보세요 조금바께안나오지만뭐 smile 
mbc_thousand	vg0825	POST	pym0o13-56ht_		2011-08-21	정가은 떡실신녀 떡실신녀로 천 번 입맞추 첫 등장 
mbc_thousand	qkrtjgml02	POST	pym0q8w-5cxi7		2011-08-20	헐헐헐헐헐 천번 천번의 입맞추 못봤어 헐 나 나 와전 난 나 날 진정 뷰티 뷰티가 맞는것 맞는것인가 
mbc_thousand	ws0829	POST	pym0qyy-1op4		2011-08-20	smile 천번의입맞춤 smile 윤두준카메옼 smile 오늘남지현 초 question 그정도나옴 smile 천번의입맞춤 윤두준 남지현 
mbc_thousand	yura122702	POST	pym0te9-y3pin		2011-08-22	여러분 천번 천번의 입맞추 많 사랑 exclamation love 특 뷰티 smile 
mbc_thousand	skgus0922	POST	pym0vfg-_5s5y		2011-08-20	하 하지 exclamation 두준두준윤두준 오빠 나오 천번 천번의 입맞추 exclamation exclamation 봤어용 ㅅ smile 넘 멋있당 smile 
mbc_thousand	mu-u	POST	pym0x6h-5w5rl		2011-08-22	천번 천번의 입맞추 축구왕 윤기준 
