program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_newsunday	parkzien	POST	pym00gh-_a9_5		2011-08-20	아오 smile 런닝맨 쇼크먹음 다음주도 다음주 자연누나 자연누 나오게지하고잇는뎋 smile 
sbs_newsunday	parkzien	POST	pym00jx-_a9_5		2011-08-20	닉넴 지연누나 지연누 생일 트위터 잘 비쥬얼마전 가입했데 음중 잘봄 런닝맨 런닝맨도 smile 밤 사라지는거대박 
sbs_newsunday	tbh06132	POST	pym03im-7zbo		2011-08-18	할룽 exclamation 런닝맨 공식팬카페 가입어떻게 question 어디 어디임 question smile 
sbs_newsunday	dudtj8770	POST	pym04wn-5peyc		2011-08-22	런닝맨 
sbs_newsunday	zai	POST	pym04yd-c97		2011-08-18	닉쿤이 런닝맨 런닝맨을 찍 수상시장 question 노노 smile 동자이 동자이가 가족사진 찍 수상시장 뉘쿤이 중요 question smile 
sbs_newsunday	jihee001004	POST	pym0574-_dw_o		2011-08-21	런닝맨 vs 키스 크라 크라이 exclamation 
sbs_newsunday	sks03070	POST	pym06se-5yhj_		2011-08-20	홍보 
sbs_newsunday	rlatjwls63	POST	pym06wo-y2gaw		2011-08-21	야간 일째 cry 출근하기싫다 런닝맨 재방보느 재방보느라 씻는것 씻는것도 귀찮 smile 얼른 씻구준비해야겟당 
sbs_newsunday	qkffkfthals	POST	pym07ut-_aix5		2011-08-22	꺅 런닝맨 런닝맨에 세경언니 나왔따 
sbs_newsunday	ourstory95	POST	pym081f-_84yl		2011-08-21	흠 아무 아무나 런닝맨 본사람 누가나오 누가나오니 question 
sbs_newsunday	lbor5359	POST	pym08nx-_sx6j		2011-08-21	밥먹고 런닝맨 런닝맨보 남자의자격보는중 smile 넘늦게왔 넘늦게왔나 ㅁ 근데 또 졸려지고 졸려지고있음 취침들어가시는분 굿나잇 exclamation 
sbs_newsunday	wlsdl2796	POST	pym09sx-_aocz		2011-08-21	루나언니 exclamation 언니 저번 런닝맨 봤는데요 언니 되 이쁘 마음 착하 걸 알 smile 앞 더욱더 언니에대 알아갈께 알아갈께요 smile 친구소개 fx luna 
sbs_newsunday	jsdian	POST	pym0brm-_qty4		2011-08-19	북서울 꿈 숲 런닝맨 런닝맨에 나오 이번 이번엔 옵아트 옵아트의 거장 크루즈 디에즈 디에즈의 색 빛 체험전하네 설출장갈때 가봐야쥐 smile 
sbs_newsunday	wlsdl2796	POST	pym0d06-_aocz		2011-08-21	세경 세경이 언니 정말 반가워용 제가 제 런닝맨 제주특집 언니 잘 자 보 친구소개 lwmeeee 
sbs_newsunday	ij20629	POST	pym0dne-x_0m		2011-08-21	듬유우우우우우울울울울울우우우우우우우우우루울우룽울울ㅇ룽 키엔크 오늘끝 오늘끝나네 아쉽 smile 런닝맨 신세경 외모 비 거침없는입담 exclamation 대박이엿써 smile 세경 세경이 언니 정말 이뻤어용 smile 
sbs_newsunday	happykrispyy	POST	pym0ew4-_q7cp		2011-08-19	우리 런닝맨 팀 smile 
sbs_newsunday	cnsekf	POST	pym0fki-55r32		2011-08-20	런닝맨 차태현 긴 기 치마 치 짙 짙 색조화장 놀랍 분장 감탄 
sbs_newsunday	xornjsrhdwn1	POST	pym0g68-_m1mw		2011-08-18	내일 내 런닝맨 끝나 노량진 ㄱㄱ question 나 나 내일 내 풀 smile 
sbs_newsunday	lwmeeee	POST	pym0g6f-_guq3		2011-08-19	햇살 너무너무 눈 부시 오오오오오 exclamation 이번 주 일요일 일요 런닝맨 만나 smile 진짜 달리 달리 또 달렸답니다 exclamation smile 
sbs_newsunday	lwmeeee	POST	pym0gbg-yos4_		2011-08-19	방학 얼마남지않았지만 깨알 출연 런닝맨 세경씨 cry 넘흐감격 
sbs_newsunday	wjsgpdms1	POST	pym0hww-5fqwu		2011-08-18	지난주 런닝맨 보 보 배꼽잡고 웃고있었는데 양정아 양정아의 어이없 반칙 기분 상 제작진 그걸 또 우승 눈감 눈감아주 ㅡ ㅡ 
sbs_newsunday	u80yi	POST	pym0ikv-548pw		2011-08-19	안녕 question 드라마 보스 지켜리 랑 런닝맨 의 주재 보스 지키 나오셨잖아요 exclamation 친구수락 해 하 주셔서 감사 행복한하루 exclamation exclamation exclamation exclamation exclamation 친구소개 actorjisung 
sbs_newsunday	xornjsrhdwn1	POST	pym0ilo-_m1mw		2011-08-18	런닝맨 재료 사 사르 누구누구 간거 간거야 question 
sbs_newsunday	ch5470	POST	pym0jhn-ywnj5		2011-08-20	한국만화박물관 발도장 exclamation 한국만화박물관 다녀오 exclamation 런닝맨 런닝맨에 나왔던곳 짱 좋았당 exclamation 문제두 풀 exclamation via 아임in 
sbs_newsunday	kasj4885	POST	pym0mp0-_1r88		2011-08-19	나오늘 미투데 미투데이 exclamation smile smile 나오늘 런닝맨 exclamation smile smile 
sbs_newsunday	ghd1511	POST	pym0mv4-sfko		2011-08-21	smile 아낰 smile 오늘 런닝맨 재밌었엌 smile 근데 나 나 런닝맨때문 런닝맨때문에 화나섴 smile 티비껐는뎈 smile 한개짤 한개짤만 봤는데도웃곀 smile 
sbs_newsunday	narang282	POST	pym0o7_-599eh		2011-08-21	런닝맨 
sbs_newsunday	wkdehdgus03	POST	pym0uma-_0vv7		2011-08-20	런닝맨 보러간다 smile 졸리 자구 안졸리면 하 하 smile 엄마없을때 exclamation 
sbs_newsunday	wkdehdgus03	POST	pym0xok-_0vv7		2011-08-21	smile 런닝맨 재밌다 smile 
sbs_newsunday	kit22jin	POST	pym0yme-yr3v0		2011-08-21	cry 오늘 런닝맨 못봤다 cry 
sbs_newsunday	bbzago	POST	pym0zj5-_g9w7		2011-08-22	런닝맨 신세경 바가지 그건 말 안되 smile 
sbs_newsunday	lkqwe1234	POST	pym0_sh-ycly6		2011-08-21	smile 오늘 런닝맨 넘 재밌었어요 다음주도 다음주 재밌겠지 question smile 
sbs_newsunday	pbk0356	POST	pym10ev-5uz2z		2011-08-20	투표할게염 런닝맨vs남자 자격 
sbs_newsunday	dlawltn1541	POST	pym10no-yi7vh		2011-08-22	왜 외 런닝맨 안 알 보 question 
sbs_newsunday	lccsujin	POST	pym10zf-5k4ax		2011-08-22	어제 런닝맨 재밌었엉 smile 다음주도 다음주 계속 이어지 재미있을것 같 smile 다음주도 다음주 본방사수 smile 물론 다른것 다른것도 내 자주 보는건 다 본방사수 smile 본방사수 smile 알 question 
sbs_newsunday	jincham0915	POST	pym13dz-yhwvq		2011-08-22	어제 런닝맨 본방사수 하신분 하신분은 미투 exclamation 사진 사 찍 옮기 되 귀찮 
