program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_starking	soyeung2003	POST	pym01c_-5bnau		2011-08-20	지금sbs 야구하는건 나뿐 나뿐임 question ㅡㅡ 아오 스타킹 샤 샤이 나온다길래 기대 뭐 ㅡㅡ sbs스타킹샤이니특집 
sbs_starking	qmffhsek	POST	pym029v-yq_w6		2011-08-19	아싸이제자유 그보다스타킹 다나갔네ㄱㅡ 
sbs_starking	lonewv0601	POST	pym04ud-5jalr		2011-08-19	스타킹 보고 
sbs_starking	wlsgk2413	POST	pym0eqn-_igc6		2011-08-20	스타킹한다 
sbs_starking	pos821	POST	pym0g42-odbi		2011-08-22	스타킹 운동법 
sbs_starking	psb051106	POST	pym0it6-ykjgv		2011-08-22	열하나육 머리 감 되 되 일 아니라거 cry 스타킹 따라 진짜 
sbs_starking	fic123	POST	pym0jr4-i_63		2011-08-20	토렌트다운 스타킹 
sbs_starking	fic123	POST	pym0rsg-i_63		2011-08-20	토렌트다운 스타킹 
sbs_starking	papaho0	POST	pym0u7s-5zl2x		2011-08-19	웹게 웹게임 삼국지기반 웹게임추천 중독성 강하 k 온라인 온라 이냐 question 삼분천하 삼분천 냐 question 판결 내보 exclamation 
sbs_starking	iyousens	POST	pym0v_j-yq85k		2011-08-20	다시보기 스타킹 놀라운대회 스타킹 월 일자 방송분 다시보기 
sbs_starking	alswjd92sm	POST	pym10l7-182c		2011-08-20	오늘 스타킹 샤이니안나 샤이니안나와 보 smile 예고편 예고편에 나오 모르 smile love 
sbs_starking	35946	POST	pym12uf-_hzy1		2011-08-22	빨 춥 좋 빨 가을 오 좋 왜냐면 검정색 스타킹 신고 시 싶단말이긔 exclamation 스 exclamation 타 타 exclamation 킹 exclamation 
sbs_starking	ccya	POST	pym13ae-hmgu		2011-08-22	놀라운대회 스타킹 회 월 일 다시보기 
sbs_starking	qxwzasd__	POST	pym19nn-sitk		2011-08-19	psg 팬티 스타킹 헤븐 코 엔젤 
sbs_starking	wjsekqls9	POST	pym1apw-rmut		2011-08-20	아 exclamation 스타킹 ㅡ 쭈 쭈니 복근 ㅡ 꺄아악 ㅡ 근데 초딩 초딩들이 복근이 복근이있어 ㅇㅡㅇ 신기 
sbs_starking	wjsekqls9	POST	pym1c9h-rmut		2011-08-20	스타킹본사람 ㅡ 주니오빠 매운자장면괜찮았어요 question cry 
sbs_starking	alswjd92sm	POST	pym1dsk-182c		2011-08-20	결국학교 못갔고 샤 샤이 스타킹 언제나오지 question 샤기지가 샤기지가도 스케줄 엄서 오늘하려 question 
sbs_starking	rndfld	POST	pym1fof-_dq8z		2011-08-20	아 시ㅅㅂ 스타킹 수지 랑 절했어ㅅㅂ 결혼이라기도할려나짱 ㅅㅂ 
sbs_starking	wiseguessman	POST	pym1fqy-_o1qk		2011-08-20	스타킹 저분 원맨쇼 신선한충격 smile 
sbs_starking	wanzee96	POST	pym1h9s-_0f_o		2011-08-22	smile 더우미치것다 스타킹왜신엇지 smile 오늘 개학 smile 
