program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_three	loentiu	POST	pym026e-_qsy_		2011-08-20	여러분 모두 세바퀴 본방사수 하다 하 계시다 계시 오늘 세바퀴 본방사수 tagexclamation 그이유 그이유는 바로바 바로바로 오늘 세바퀴 세바퀴에 씨스타 효린언니 제가 제 나오다 taglove 기대 미쓰에 미쓰에이 민 미다 지아언니 나왔어욯 tagexclamation
mbc_three	tldnjs792	POST	pym026p-51_j0		2011-08-20	세바퀴 보다 보 분 tagexclamation 전 절다 보다 tagsmile ㅌ tagsmile ㅌ 지금
mbc_three	p7842p	POST	pym02gg-_sca2		2011-08-20	세바퀴보는데 걍 그렇다
mbc_three	o-oghf	POST	pym0gfr-5d127		2011-08-20	110709 b1a4 비원에이포 사다 살다 바 세바퀴 캡쳐 바들사 바들사랑 tagsmile 앜 tagsmile 산들이새싹츔 ㅡ 앜 tagsmile 역시 난 나다 날다 바나인가봐 tagcry tagsmile
mbc_three	903hhs	POST	pym0u6n-r3q8		2011-08-20	세바퀴 보다 tagsmile
mbc_three	hottest126	POST	pym0v8j-_t47h		2011-08-18	근데 인터넷 내이름 내이름을 치며눙 왜 외다 걸그룹 싸가지 나오눙거얌 tagquestion 나 나다 그때 세바퀴 번호찾던 중이었숴어 tagcry tagcry tagcry tagcry 피디님 피디님이 부탁하신거였다구우 tagcry tagcry tagcry tagcry
mbc_three	wumin	POST	pym0z6c-y_x9h		2011-08-20	세바퀴 할때 할때까지 하다 하 자다
mbc_three	thdud9943	POST	pym0_qj-yenxj		2011-08-18	니 세바퀴 니엘 니엘이 마이클잭슨 black white 노래 노랗다 음성
mbc_three	woojini608	POST	pym173d-yj8xe		2011-08-20	세바퀴볼분 put your hand up 세바퀴
mbc_three	jisiklog	POST	pym1l07-_rcxy		2011-08-20	오늘 세바퀴 세바퀴에 누구나와 tagquestion 세바퀴
