program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_dangsin	jiruhecom	POST	pym07ry-_50e_		2011-08-18	당신이잠든사 당신이잠든사이 67회 8월18 일 토도우
sbs_dangsin	jiruhecom	POST	pym15i4-_50e_		2011-08-19	당신이잠든사 당신이잠든사이 68회 8월18 일 토도우
sbs_dangsin	rldud4976	POST	pym16ad-5t7p4		2011-08-19	인피니트 에서 당신 당신이 잠든사이 연기자 뽀글이 뽀글이의 저주 연기자 열쒸미 뛰다 우리 성열 taglove i love you형 ㅇㅣ 응원 tagsmile taglove 동우
sbs_dangsin	lovelycong00	POST	pym1izl-5uo57		2011-08-20	이영 이영은 원피스 당신이잠든사이에67 회 이영 이영은 오신영 옷 패션스타일 패션스타 스트라이프 원피스 의상정보
sbs_dangsin	junes26	POST	pym3h64-yxvov		2011-08-20	당신 당신이 잠든사 잠든사이 68회 8월19 일 방송 보기 보다
sbs_dangsin	lovelycong00	POST	pym3mph-5uo57		2011-08-18	이영 이영은 점프수트 당신이잠든사이에65 회 이영 이영은 오신영 옷 패션스타일 패션스타 도트변형 점프수스 의상정보
sbs_dangsin	olclnn	POST	pym3x49-yotqn		2011-08-20	어제당신이잠든사
sbs_dangsin	larcobaleno	POST	pym3z8q-5gks9		2011-08-20	당신 당신이 잠들다 사이 사다 사 장여사 한국보육원 찾아가다 채혁진 채혁진이 찾다 tagquestion
sbs_dangsin	larcobaleno	POST	pym3zs4-5gks9		2011-08-20	당신 당신이 잠들다 사이 사다 사 고현성 동반 자살 시도 시 채혁진 채혁진이 막다 막
sbs_dangsin	3210dptmej	POST	pym58ne-yepym		2011-08-18	여인 향기 보스 지키다 스파이 명월 계백 무사 백동수 공주 남자 남다 넌 널다 내다 반 오작교형제 천 번 입맞추다 내 내다 사랑 사 내 내다 곁 광개토태왕 애정만만세 두근두근 달콤 내사 당신 참 차다 예쁘다 미쓰 아줌마 우리집 여자 불굴 며느리 당신 당신이 잠들다 사이 사다 사
sbs_dangsin	ryu990821	POST	pym5aqf-_c44x		2011-08-19	오늘 당신이잠든사이 성열이오빠안나오면안볼거
sbs_dangsin	jh43564a	POST	pym5jdr-5npk7		2011-08-16	당신이잠든사 당신이잠든사이 당신 당신이 잠들다 사이 사다 사 이성열 이성열에 대하다 4세대통신4g 스마트폰
sbs_dangsin	kmediabox	POST	pym5_cp-_1l70		2011-08-17	토도우 당신 당신이 잠들다 사이 사다 사 65회 8월17 일 다시보기
sbs_dangsin	kmediabox	POST	pym6025-_1l70		2011-08-18	토도우 당신 당신이 잠들다 사이 사다 사 66회 8월18 일 다시보기
sbs_dangsin	tais7ungk	POST	pym60n4-_sttb		2011-08-20	39 당신 당신이 잠들다 사이 사다 사 39 승객 성폭행 택시기사 덜미 조임좋고 물 엄청나다 엄청 그녀 그녀랑 하룻밤 붕가 붕가 한번 왼편 보 보이 주소 joinsmsn
sbs_dangsin	junes26	POST	pym61ey-yxvov		2011-08-19	당신 당신이 잠든사 잠든사이 66회 8월17 일 방송 보기 보다
sbs_dangsin	takea	POST	pym62g8-jjmr		2011-08-17	올리브데올리브당신 잠든사 잠든사이 이영 이영은 블라우스 이영은코디 당신 당신이 잠든사 잠든사이
