program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_ojakkyo	ccya	POST	pym131q-hmgu		2011-08-22	오작교 형제 6회 8월21 일 다시보기
kbs2_ojakkyo	ccya	POST	pym133r-hmgu		2011-08-22	오작교 형제 5회 8월20 일 다시보기
kbs2_ojakkyo	buks2	POST	pym13_p-_3cex		2011-08-23	오작교형제들4 회 오작교형제들4 회
kbs2_ojakkyo	junes26	POST	pym1a0s-yxvov		2011-08-22	오작교 형제 6회 8월21 일 방송 보기 보다
kbs2_ojakkyo	iyousens	POST	pym1d8d-yq85k		2011-08-22	다시보기 오작교형제 오작교 형제 5회 다시보기 8월20 일 방송분 다시보기
kbs2_ojakkyo	iyousens	POST	pym1d92-yq85k		2011-08-22	다시보기 오작교형제 오작교 형제 6회 다시보기 8월21 일 방송분 다시보기
kbs2_ojakkyo	cnsekf	POST	pym1fc_-55r32		2011-08-22	kbs 2tv 오작교 형제 주간시청률 1위 tagexclamation
kbs2_ojakkyo	cnsekf	POST	pym1g8s-55r32		2011-08-22	오작교 형제 유 오작교 농장 초토화
kbs2_ojakkyo	buks2	POST	pym1kce-_3cex		2011-08-23	오작교형제들5 회 오작교형제들5 회
kbs2_ojakkyo	buks2	POST	pym1kz0-_3cex		2011-08-23	오작교 형제 유 오작교 형제 유
kbs2_ojakkyo	buks2	POST	pym1k_f-_3cex		2011-08-23	오작교 형제 주원 오작교 형제 주원
kbs2_ojakkyo	wingsadd	POST	pym1p0v-_5e9s		2011-08-22	오작교형제 6회 무료다시보기 오작교형제 6회 무료다시보기
kbs2_ojakkyo	rlaclthsu12	POST	pym80r3-y3_99		2011-08-27	오작교 형제 유이있자 유이있자나 tagexclamation 안좋은감정 있다 tagsmile
kbs2_ojakkyo	new7192	POST	pym82e4-nda9		2011-08-24	오작교형제 봐야 봐야될까 무사백동수를봐야 tagcry 엄청난갈 tagsmile 오늘 무사백동수봤는데 흑사초롱 천 지다 지 왠지 착한애 tagquestion 같다 인 완전싸이코 tagsmile 아 앞머리때문 앞머리때문에 이마 다친데 다친데가 더아프 더아프다 tagcry
kbs2_ojakkyo	thfql917	POST	pym8dg4-yws5b		2011-08-26	오작교 형제 ost part 1 tagsmile 네이버뮤직 오작교 형제 ost part 1
kbs2_ojakkyo	carmaster000	POST	pym8dx6-ydfu8		2011-08-26	v.o.s 김경록 오작교 형제 ost 참여 참 사랑 사랑 공개
kbs2_ojakkyo	dign8376	POST	pym8ecz-_a7py		2011-08-27	오작교형제 끝낫다 im comeback
kbs2_ojakkyo	aa5980	POST	pym8ed8-gcre		2011-08-27	오작교 형제 최정윤 단발 헤어스타
kbs2_ojakkyo	freebird07	POST	pym8ilh-5e6b5		2011-08-24	kbs 주말극 오작교 형제 주원 이것 백발백중 경찰
kbs2_ojakkyo	oioioi13	POST	pym8k_x-_g6g8		2011-08-27	꺄오작교형제 왤케재밋닝 tagsmile
kbs2_ojakkyo	dign8376	POST	pym8_f8-_a7py		2011-08-27	이제 오작교형제들봐야지 오작교형제들보는사람 tagquestion
kbs2_ojakkyo	yura_me2day	POST	pym9nwv-_ogmw		2011-08-22	오작교형제 tagsmile 웃다 웃기다 웃기 tagexclamation
kbs2_ojakkyo	nunurigo121	POST	pym9v3s-_9tci		2011-08-23	오작교 형제 백자은 유 아빠 행방 mfpy
kbs2_ojakkyo	buks2	POST	pymbouo-_3cex		2011-08-23	오작교 형제 오작교 형제
kbs2_ojakkyo	kmediabox	POST	pymcfbi-_1l70		2011-08-27	토도우 오작교 형제 7회 8월27 일 다시보기
kbs2_ojakkyo	mina2865	POST	pymeyaq-5vckq		2011-08-22	요즘 오작교 형제 보는분 댓글 tagexclamation 미투 미투도
kbs2_ojakkyo	idstv	POST	pymfkzl-_9whi		2011-08-22	오작교형제 5회 예고편
kbs2_ojakkyo	itoa	POST	pymfue8-ahtb		2011-08-22	오작교형제 2011,08,21 09 36
kbs2_ojakkyo	cathykim60	POST	pymfvvt-a2r6		2011-08-22	불굴 며느리 짱 짱임 tagsmile 오작교형제 tagquestion 그것 쪼다 재밋솤 tagsmile
kbs2_ojakkyo	spastar7	POST	pymg9ju-5x8tg		2011-08-26	오작교 형제 유 오작교 형제 유 날계란 세례 굴욕 tagexclamation
kbs2_ojakkyo	hummel_story	POST	pymgi08-_wdhh		2011-08-26	kbs2 주말 드라마 오작교 형제 황태희 역 주원 주원과 함께한 험멜 운동화
kbs2_ojakkyo	melon_dj	POST	pymgicm-g3qo		2011-08-26	멜투송 멜투송 멜투송은 오작교 형제 ost 김경록 김경록의 사랑 사랑 입니 입니다 tagexclamation 댓글 미투 해 하다 주신 분들 중 3분 3분을 선정 선정하 해당곡 mp3음원 mp3음원을 드리다 댓글 댓글을 남기다 땐 멜론 아이디 아이디도 함 남기다 ㅡ 멜투송 오작교형제 ost 김경록 사랑해사랑해 음악 멜론 me2event
kbs2_ojakkyo	an72536	POST	pymgk72-5ym0s		2011-08-26	오작교 형제들ost 김경록 사랑 사랑 v.o.s 김경록 듣기 듣다 가사 가다
kbs2_ojakkyo	s1031j	POST	pymgkgc-m3sj		2011-08-26	stv 오작교 형제 유 날계란 투척 세례 온몸 투혼 tagexclamation
kbs2_ojakkyo	evoluxionx	POST	pymglz2-_j7lh		2011-08-27	김경록 vos 사랑 사랑 오작교 형제 ost part.1 듣기 듣다 반복재생
kbs2_ojakkyo	wingsadd	POST	pymjhxu-_5e9s		2011-08-23	오작교형제 6회 무료다시보기 오작교형제 6회 무료다시보기
kbs2_ojakkyo	pghj7985	POST	pymmgqm-yei98		2011-08-27	아 오작교형제 진짜 백자은 예의도 진짜 내 화나다 화 tagcry
kbs2_ojakkyo	lee_sun_ju	POST	pymmiz7-ythc3		2011-08-27	지금 오작교 형제 보다 유이한테 미안 유 연기할때 진짜 한대 하다 때리다 싶을정도 짜증 짜증이 예쁜척하는것도 짜증 하다 하 짓다 짓 다 짜증 뭔데
kbs2_ojakkyo	yunwoo1129	POST	pymmmce-yhy7		2011-08-27	오늘짱 오늘짱이 무도진짜레알짱 그리고오작교형제들도 세바퀴도한당 tagcry 짱이야짱짱
kbs2_ojakkyo	happy_il	POST	pymmtqd-_sv5x		2011-08-27	tagcry 연합맺 연합맺은 스마트 친하다 기회 없다 tagexclamation tagcry 왜 외다 저에겐 친하다 기회 없는거죠 tagquestion tagexclamation 정말 정말 어른분 다 티비 차지 저 요즘들어 드라마 잘 자다 안보지 안보지만 쬐끔 tagquestion 보다 보 오작교형제 체중계앞 조금 나오다 아 그립다 스마트얏 tagcry
kbs2_ojakkyo	yujinran	POST	pymoywz-y6dt5		2011-08-26	김경록 v.o.s 사랑 사랑 오작교 형제들ost
kbs2_ojakkyo	faketoy	POST	pympeg2-5jp56		2011-08-22	오작교 형제 110821 토렌트
kbs2_ojakkyo	wizard_0	POST	pymptgu-_tqgh		2011-08-22	오작교 형제들5 6회 얼마면 되다
kbs2_ojakkyo	rkdtmdtjq123	POST	pympyd1-yvqjz		2011-08-23	재밌군 오작교 형제
kbs2_ojakkyo	ya8462	POST	pymq0xw-gzxl		2011-08-27	오작교형제 7회 다시보기
kbs2_ojakkyo	paranmool	POST	pymq5cp-tgjo		2011-08-27	오작교형제 자은 자은이 안된듯 tagcry 불쌍 tagcry 결국 잘되다 우우 tagcry 잡담 잡다 오작교형제
kbs2_ojakkyo	gkfnsms24	POST	pymq5gp-53gm5		2011-08-27	오작교 형제 보다 화나 화나여 10년 동안 땅 무료 빌려주다 감사 저게 뭐 거야 거다 거 ㄱ
kbs2_ojakkyo	search_now	POST	pymq60a-5y0f5		2011-08-27	로또456 회당첨번호 636 릴 183 백청강 96 박주영 아스 아스날 216 윤주희 447 오작교형제 63 투개월 new 소지섭 123 은정 138 우사인볼트 117 네이버 실시 급상승 검색어
kbs2_ojakkyo	wlss2002	POST	pymq6ar-ocgt		2011-08-27	대박 오작교형제 가족 미친거아냐 tagquestion 정말 양심도 뻔뻔 정말 정안가 정안가는 이런가족 처음 정말 오작교형제 가족 모두 재 재다 없다 tagexclamation
kbs2_ojakkyo	istorynanum	POST	pymq6bw-_mhsx		2011-08-27	김경록 사랑 사랑 오작교 형제 ost 오작교형제 ost 듣다 있다
kbs2_ojakkyo	nuega2833	POST	pymq86l-yaag2		2011-08-27	오작교 형제 유 각서 잃어버리다 결국 쫓겨 쫓겨나 기자 고생 tagsmile 제목 지어내다 tv리포트
kbs2_ojakkyo	pshh721	POST	pymqd6v-5cgq3		2011-08-27	오작교형제 tagsmile 재밋능디
kbs2_ojakkyo	blognawa1	POST	pymq_oi-l5f		2011-08-27	블로그 뉴스 오작교형제 블로그 오작교형제
kbs2_ojakkyo	onestar2264	POST	pymr3ds-_suj0		2011-08-22	오늘 은행업무본것빼곤 하는 하는일 없다 본격 오작교형제 1회 6회 쭉보려구 쭉보려구요 tagsmile 근데 아직 1회 tagsmile 오작교형제
kbs2_ojakkyo	sub07170	POST	pymr9eb-y8jur		2011-08-22	오작교형제 백자은 학교홍보모델
kbs2_ojakkyo	yesung2435	POST	pymrdwz-yx54n		2011-08-24	넌 널다 내다 반 가 가다 끝나다 tagexclamation 인기 없다 그런지 15화 15화로 끝나다 넘 아쉽다 tagexclamation 이젠 오작교 형제 본방사수 하다 해 겠어 tagexclamation tagcry
kbs2_ojakkyo	dbxhvi2	POST	pymrhqp-_w3wz		2011-08-22	오작교형제 6회 무료다시보기 오작교형제 6회 무료다시보기
kbs2_ojakkyo	hairgo01	POST	pymt51z-5oh4h		2011-08-27	김경록 사랑 사랑 오작교 형제 ost part.1
kbs2_ojakkyo	faketoy	POST	pymtipy-5jp56		2011-08-27	오작교형제 110827 토렌트
kbs2_ojakkyo	afterue99	POST	pymtiqw-_hc2z		2011-08-27	이제 들어오다 tagcry tagcry 오늘 오작교형제 보다 보셨 tagquestion 내 내다 각서 tagexclamation
kbs2_ojakkyo	imhyuna606	POST	pymtr40-yd_7b		2011-08-27	아 유이진짜 아오 오작교 형제 완전
kbs2_ojakkyo	cesttoutt	POST	pymw6jj-ysm7j		2011-08-25	cest tout 쎄뚜 오작교 형제 유이보스 지키다 최강희 패션 스타일 스타 분석 의상 정보
kbs2_ojakkyo	ghkdalswl999	POST	pymw98s-8gdc		2011-08-22	우리 우쭈쭈 주원 주원이 tagcry 손가락골절 준원 준원아 아무리그래 부상 tagcry 미준이때 미준이때는 멍들다 tagcry 넌 널다 부상의신 tagcry 안되다 tagcry 오작교형제 재밌어 재밌어요 tagquestion tagcry 엄마아빠 안봐서 나도못봐 tagcry
kbs2_ojakkyo	wingsadd	POST	pymwdd0-_5e9s		2011-08-25	오작교형제 6회 무료다시보기 오작교형제 6회 무료다시보기
kbs2_ojakkyo	gkfn127	POST	pymwfp3-y0tp5		2011-08-25	1.공주의남자2 보스를지켜라3 지고는못살아4 스파이명월5 계백6 무사백통수7 몽땅내사랑8 오작교형제 요즘나오는드라마에 전1 2,7,8번봐 2,7,8번봐요 tagsmile 투표부탁드려용 지금은투표중 taglove
