"","tf"
"걱정",2
"광개토대왕비",2
"역시",2
"좋아하다",2
"갈다",1
"공민왕",1
"광개토대왕진짜재미",1
"광개토대창",1
"광개토왕",1
"광개토태왕",1
"광개토태왕한다",1
"광해군",1
"구경",1
"그거",1
"그런가",1
"근대",1
"김구",1
"김소월",1
"나가다",1
"나도",1
"날씨",1
"논현동맛집",1
"다들그냥버럭소리만지르다끝",1
"담덕",1
"담덕과",1
"담망",1
"답게",1
"대무신왕",1
"도영",1
"도영이",1
"동천왕",1
"드물다",1
"듣다",1
"똑같다",1
"류성룡",1
"말로",1
"맺어지는는",1
"모델",1
"모르다",1
"못봐서",1
"뭐래",1
"미천왕",1
"민영환",1
"박은식",1
"박제",1
"백두산",1
"사극",1
"사람",1
"세종태종",1
"수업",1
"신채호",1
"아는게",1
"안되는데",1
"안되는데요",1
"안봐서",1
"안타까웟다",1
"않을것",1
"양대창구",1
"연개소문",1
"영양왕",1
"영친왕",1
"오지은님",1
"완전",1
"을파소",1
"이덕무",1
"이상",1
"이순신",1
"이육사",1
"이은",1
"인상쓰고연기하는게참",1
"장군총",1
"재미",1
"재밌어",1
"정약용",1
"정조",1
"제작",1
"존경",1
"좋다",1
"좋았다",1
"지혜롭다",1
"진도많",1
"진도많이",1
"차다",1
"천지",1
"최고",1
"최영",1
"추모왕",1
"태조왕",1
"토요",1
"토요일",1
"티비",1
"학교",1
"한규설",1
"한번",1
"해모수",1
