program_id	author_id	type	post_id	comment_id	publish_date	feature	count	word
kbs2_gagcon	sunggae	POST	pyc0dc4-81s		2011-09-09	POSITIVE	2.0	웃다 웃기다
kbs2_gagcon	sunggae	POST	pyc0dc4-81s		2011-09-09	SEE	1.0	보다
kbs2_gagcon	yerim3225	POST	pyc0i0m-56l91		2011-09-09	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	bntnews	POST	pyc0t0l-5rtw7		2011-09-08	QUESTIONMARK	1.0	tagquestion
kbs2_gagcon	bntnews	POST	pyc0t0l-5rtw7		2011-09-08	SMILEMARK	1.0	tagsmile
kbs2_gagcon	tjddjs_7	POST	pyc0z3z-_at5c		2011-09-08	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	tjddjs_7	POST	pyc0z3z-_at5c		2011-09-08	POSITIVE	1.0	즐겁다
kbs2_gagcon	grace7654321	POST	pyc1omu-5c0hl		2011-09-10	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	grace7654321	POST	pyc1omu-5c0hl		2011-09-10	POSITIVE	1.0	웃음
kbs2_gagcon	hatbit29	POST	pyc30we-e9b_		2011-09-07	QUESTIONMARK	1.0	tagquestion
kbs2_gagcon	ssi03010	POST	pyc32qx-5ckty		2011-09-07	PRESENT	1.0	요즘
kbs2_gagcon	ssi03010	POST	pyc32qx-5ckty		2011-09-07	QUANTIFIER	1.0	많이
kbs2_gagcon	ssi03010	POST	pyc32qx-5ckty		2011-09-07	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	ssi03010	POST	pyc32qx-5ckty		2011-09-07	LOVEMARK	1.0	taglove
kbs2_gagcon	hantoki	POST	pyc37vm-opvl		2011-09-09	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	hantoki	POST	pyc37vm-opvl		2011-09-09	SMILEMARK	1.0	tagsmile
kbs2_gagcon	otlfile	POST	pyc3acn-_wz6v		2011-09-07	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	blue_apple	POST	pyc3hl5-kfep		2011-09-09	SMILEMARK	1.0	tagsmile
kbs2_gagcon	karls7	POST	pyc3klf-qvh3		2011-09-07	PRESENT	1.0	옛날
kbs2_gagcon	karls7	POST	pyc3klf-qvh3		2011-09-07	CRYMARK	1.0	tagcry
kbs2_gagcon	behappy4001	POST	pyc3noo-5wwjm		2011-09-09	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	technokk	POST	pyc3tgv-8rh6		2011-09-07	QUESTIONMARK	1.0	tagquestion
kbs2_gagcon	technokk	POST	pyc3tgv-8rh6		2011-09-07	CRYMARK	1.0	tagcry
kbs2_gagcon	dldy1027	POST	pyc3ze6-ydce		2011-09-09	QUESTIONMARK	1.0	tagquestion
kbs2_gagcon	dldy1027	POST	pyc3ze6-ydce		2011-09-09	SEE	1.0	보다
kbs2_gagcon	5681770	POST	pyc51hb-571z8		2011-09-06	QUESTIONMARK	1.0	tagquestion
kbs2_gagcon	jekyjin2005	POST	pyc5cs1-yoian		2011-09-09	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	gusxnld	POST	pyc5eq5-_jrt7		2011-09-10	SMILEMARK	1.0	tagsmile
kbs2_gagcon	alice1022	POST	pyc5n2g-v1on		2011-09-05	PAST	1.0	어제
kbs2_gagcon	alice1022	POST	pyc5n2g-v1on		2011-09-05	POSITIVE	1.0	좋다
kbs2_gagcon	hwangdbsdud	POST	pyc5nx2-u64u		2011-09-05	PAST	1.0	어제
kbs2_gagcon	hwangdbsdud	POST	pyc5nx2-u64u		2011-09-05	QUESTIONMARK	1.0	tagquestion
kbs2_gagcon	hwangdbsdud	POST	pyc5nx2-u64u		2011-09-05	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	hwangdbsdud	POST	pyc5nx2-u64u		2011-09-05	SMILEMARK	1.0	흐
kbs2_gagcon	hwangdbsdud	POST	pyc5nx2-u64u		2011-09-05	CRYMARK	1.0	tagcry
kbs2_gagcon	hwangdbsdud	POST	pyc5nx2-u64u		2011-09-05	SEE	1.0	보다
kbs2_gagcon	rose9115	POST	pyc5t4h-_ux_m		2011-09-06	PRESENT	1.0	지금
kbs2_gagcon	rose9115	POST	pyc5t4h-_ux_m		2011-09-06	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	rose9115	POST	pyc5t4h-_ux_m		2011-09-06	SMILEMARK	1.0	tagsmile
kbs2_gagcon	rose9115	POST	pyc5t4h-_ux_m		2011-09-06	CRYMARK	1.0	tagcry
kbs2_gagcon	rose9115	POST	pyc5t4h-_ux_m		2011-09-06	SADNESS	1.0	슬픔
kbs2_gagcon	95155668	POST	pyc5wdc-5keng		2011-09-10	QUESTIONMARK	1.0	tagquestion
kbs2_gagcon	95155668	POST	pyc5wdc-5keng		2011-09-10	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	95155668	POST	pyc5wdc-5keng		2011-09-10	CRYMARK	1.0	tagcry
kbs2_gagcon	hatbit29	POST	pyc63qu-e9b_		2011-09-05	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	tbworld_tv	POST	pyc65r5-_clkj		2011-09-10	PRESENT	1.0	오늘
kbs2_gagcon	cool_hgs	POST	pyc6c_v-54nrn		2011-09-06	PRESENT	1.0	요즘
kbs2_gagcon	cool_hgs	POST	pyc6c_v-54nrn		2011-09-06	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	cool_hgs	POST	pyc6c_v-54nrn		2011-09-06	SMILEMARK	1.0	tagsmile
kbs2_gagcon	cool_hgs	POST	pyc6c_v-54nrn		2011-09-06	POSITIVE	3.0	재미있 웃음 웃다
kbs2_gagcon	cool_hgs	POST	pyc6c_v-54nrn		2011-09-06	SEE	1.0	보다
kbs2_gagcon	zlfkdpdy	POST	pyc6gia-_umac		2011-09-10	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	zlfkdpdy	POST	pyc6gia-_umac		2011-09-10	SMILEMARK	1.0	tagsmile
kbs2_gagcon	alsrud5128	POST	pyc6lcv-qwwp		2011-09-10	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	tlseudjdrn	POST	pyc6me7-y3ex_		2011-09-07	QUESTIONMARK	1.0	tagquestion
kbs2_gagcon	tlseudjdrn	POST	pyc6me7-y3ex_		2011-09-07	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	tlseudjdrn	POST	pyc6me7-y3ex_		2011-09-07	SMILEMARK	2.0	tagsmile 크
kbs2_gagcon	tlseudjdrn	POST	pyc6mf1-y3ex_		2011-09-07	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	tlseudjdrn	POST	pyc6mf1-y3ex_		2011-09-07	SMILEMARK	1.0	크
kbs2_gagcon	tlseudjdrn	POST	pyc6mjm-y3ex_		2011-09-07	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	tlseudjdrn	POST	pyc6mjm-y3ex_		2011-09-07	SMILEMARK	1.0	크
kbs2_gagcon	tlseudjdrn	POST	pyc6mwb-y3ex_		2011-09-07	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	tlseudjdrn	POST	pyc6mwb-y3ex_		2011-09-07	SMILEMARK	1.0	크
kbs2_gagcon	sooatop9	POST	pyc6wkq-8rsh		2011-09-07	SMILEMARK	1.0	tagsmile
kbs2_gagcon	lee7941a	POST	pyc98if-tjnp		2011-09-10	SMILEMARK	1.0	tagsmile
kbs2_gagcon	glglgldpwl	POST	pycbp14-_x3k		2011-09-10	SMILEMARK	1.0	tagsmile
kbs2_gagcon	hantoki	POST	pycbpfi-f552		2011-09-10	SMILEMARK	1.0	tagsmile
kbs2_gagcon	hsbwow	POST	pycd1_6-yf_ic		2011-09-09	PRESENT	2.0	요즘 오늘
kbs2_gagcon	hsbwow	POST	pycd1_6-yf_ic		2011-09-09	SMILEMARK	1.0	흐
kbs2_gagcon	hsbwow	POST	pycd1_6-yf_ic		2011-09-09	SEE	1.0	보다
kbs2_gagcon	vnzkcjs	POST	pycd3q0-1afv		2011-09-09	PRESENT	1.0	요즘
kbs2_gagcon	vnzkcjs	POST	pycd3q0-1afv		2011-09-09	QUESTIONMARK	1.0	tagquestion
kbs2_gagcon	vnzkcjs	POST	pycd3q0-1afv		2011-09-09	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	vnzkcjs	POST	pycd3q0-1afv		2011-09-09	SMILEMARK	1.0	tagsmile
kbs2_gagcon	vnzkcjs	POST	pycd3q0-1afv		2011-09-09	POSITIVE	1.0	웃기다
kbs2_gagcon	vnzkcjs	POST	pycd3q0-1afv		2011-09-09	HEAR	1.0	듣다
kbs2_gagcon	qkrgusdk7	POST	pycd4gc-y40u_		2011-09-05	PAST	1.0	어제
kbs2_gagcon	qkrgusdk7	POST	pycd4gc-y40u_		2011-09-05	SMILEMARK	1.0	tagsmile
kbs2_gagcon	qkrgusdk7	POST	pycd4gc-y40u_		2011-09-05	POSITIVE	1.0	좋다
kbs2_gagcon	qkrgusdk7	POST	pycd4gc-y40u_		2011-09-05	SEE	1.0	보다
kbs2_gagcon	ufoundme	POST	pycd4gf-yspi		2011-09-05	PAST	1.0	어제
kbs2_gagcon	ufoundme	POST	pycd4gf-yspi		2011-09-05	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	ufoundme	POST	pycd4gf-yspi		2011-09-05	SMILEMARK	1.0	tagsmile
kbs2_gagcon	pjisun1107	POST	pycd5vc-5zpd4		2011-09-09	SMILEMARK	1.0	tagsmile
kbs2_gagcon	pjisun1107	POST	pycd5vc-5zpd4		2011-09-09	POSITIVE	1.0	재미있
kbs2_gagcon	jcseong	POST	pycdhcx-q7pn		2011-09-05	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	rena9608	POST	pycdocz-5787b		2011-09-09	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	comet97	POST	pycdv1v-gp3c		2011-09-05	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	comet97	POST	pycdv1v-gp3c		2011-09-05	POSITIVE	1.0	웃다
kbs2_gagcon	comet97	POST	pycdv1v-gp3c		2011-09-05	SEE	1.0	보다
kbs2_gagcon	sksaem99	POST	pycdxa2-oso9		2011-09-05	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	sksaem99	POST	pycdxa2-oso9		2011-09-05	SMILEMARK	1.0	tagsmile
kbs2_gagcon	sksaem99	POST	pycdxa2-oso9		2011-09-05	POSITIVE	2.0	웃다 웃기다
kbs2_gagcon	sksaem99	POST	pycdxa2-oso9		2011-09-05	SEE	1.0	보다
kbs2_gagcon	bur	POST	pycdxcw-mxu1		2011-09-05	SMILEMARK	1.0	tagsmile
kbs2_gagcon	angma0308	POST	pycdzej-q37t		2011-09-08	PRESENT	2.0	지금 이제
kbs2_gagcon	angma0308	POST	pycdzej-q37t		2011-09-08	QUESTIONMARK	1.0	tagquestion
kbs2_gagcon	angma0308	POST	pycdzej-q37t		2011-09-08	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	angma0308	POST	pycdzej-q37t		2011-09-08	CRYMARK	1.0	tagcry
kbs2_gagcon	angma0308	POST	pycdzej-q37t		2011-09-08	POSITIVE	1.0	웃다
kbs2_gagcon	uea3429	POST	pycdzo_-yeir4		2011-09-05	PAST	1.0	어제
kbs2_gagcon	uea3429	POST	pycdzo_-yeir4		2011-09-05	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	uea3429	POST	pycdzo_-yeir4		2011-09-05	CRYMARK	1.0	tagcry
kbs2_gagcon	imyoongoon	POST	pyce2vx-5wts		2011-09-08	SEE	1.0	보다
kbs2_gagcon	yna	POST	pycepn7-z1ou		2011-09-10	SEE	1.0	보다
kbs2_gagcon	sangjin783	POST	pyceqau-y811b		2011-09-08	QUESTIONMARK	1.0	tagquestion
kbs2_gagcon	sangjin783	POST	pyceqau-y811b		2011-09-08	HEAR	1.0	느끼다
kbs2_gagcon	q_hfhfh	POST	pyceqbi-_piwr		2011-09-08	EXCLAMMARK	1.0	tagexclamation
kbs2_gagcon	q_hfhfh	POST	pyceqbi-_piwr		2011-09-08	CRYMARK	1.0	tagcry
kbs2_gagcon	q_hfhfh	POST	pyceqbi-_piwr		2011-09-08	POSITIVE	1.0	행복
kbs2_gagcon	q_hfhfh	POST	pyceqbi-_piwr		2011-09-08	SEE	1.0	보다
kbs2_gagcon	h19811114	POST	pyck41p-q15r		2011-09-07	PRESENT	1.0	지금
