program_id	author_id	type	post_id	comment_id	publish_date	feature	count	word
kbs2_happysunday_1bak2il	tbn2813	POST	pyc083l-5m8i5		2011-09-09	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	tbn2813	POST	pyc083l-5m8i5		2011-09-09	SMILEMARK	1.0	tagsmile
kbs2_happysunday_1bak2il	frj11	POST	pyc0a4s-zh7_		2011-09-08	PRESENT	1.0	지금
kbs2_happysunday_1bak2il	frj11	POST	pyc0a4s-zh7_		2011-09-08	SMILEMARK	1.0	크
kbs2_happysunday_1bak2il	frj11	POST	pyc0a4s-zh7_		2011-09-08	POSITIVE	1.0	웃기다
kbs2_happysunday_1bak2il	dudeh112	POST	pyc0asc-tkfg		2011-09-09	SADNESS	1.0	불쌍
kbs2_happysunday_1bak2il	sms061160	POST	pyc0m90-y0jp6		2011-09-09	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	sms061160	POST	pyc0m90-y0jp6		2011-09-09	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	emy1102	POST	pyc0pyg-y72j2		2011-09-09	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	emy1102	POST	pyc0pyg-y72j2		2011-09-09	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	emy1102	POST	pyc0pyg-y72j2		2011-09-09	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	emy1102	POST	pyc0pyg-y72j2		2011-09-09	SEE	1.0	보다
kbs2_happysunday_1bak2il	bntnews	POST	pyc12ap-5rtw7		2011-09-10	PAST	1.0	어제
kbs2_happysunday_1bak2il	bntnews	POST	pyc12ap-5rtw7		2011-09-10	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	bntnews	POST	pyc12ap-5rtw7		2011-09-10	SEE	1.0	보다
kbs2_happysunday_1bak2il	spastar7	POST	pyc1n2e-5x8tg		2011-09-10	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	bondbee97	POST	pyc1ymo-yt2tr		2011-09-09	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	bondbee97	POST	pyc1ymo-yt2tr		2011-09-09	SEE	1.0	보다
kbs2_happysunday_1bak2il	lovenasri	POST	pyc1_3d-5kw5r		2011-09-09	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	lovenasri	POST	pyc1_3d-5kw5r		2011-09-09	NEGATIVE	1.0	아쉬
kbs2_happysunday_1bak2il	lovenasri	POST	pyc1_3d-5kw5r		2011-09-09	ANXIETY	1.0	무섭
kbs2_happysunday_1bak2il	lovenasri	POST	pyc1_3d-5kw5r		2011-09-09	SEE	1.0	보다
kbs2_happysunday_1bak2il	hantoki	POST	pyc37nm-f552		2011-09-09	SMILEMARK	1.0	tagsmile
kbs2_happysunday_1bak2il	9898yoon	POST	pyc5cq9-s_d9		2011-09-10	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	9898yoon	POST	pyc5cq9-s_d9		2011-09-10	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	9898yoon	POST	pyc5cq9-s_d9		2011-09-10	SMILEMARK	1.0	tagsmile
kbs2_happysunday_1bak2il	9898yoon	POST	pyc5cq9-s_d9		2011-09-10	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	9898yoon	POST	pyc5cq9-s_d9		2011-09-10	POSITIVE	2.0	좋아하다 좋아
kbs2_happysunday_1bak2il	rkdus9723	POST	pyc6f8r-y8klk		2011-09-10	QUANTIFIER	1.0	조금
kbs2_happysunday_1bak2il	rkdus9723	POST	pyc6f8r-y8klk		2011-09-10	SMILEMARK	1.0	tagsmile
kbs2_happysunday_1bak2il	rkdus9723	POST	pyc6f8r-y8klk		2011-09-10	POSITIVE	1.0	웃다
kbs2_happysunday_1bak2il	milleannis	POST	pyc6mxl-_wu_7		2011-09-06	SMILEMARK	1.0	tagsmile
