program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_boss	dasoni_	POST	pyc088_-2gwt		2011-09-08	보스 지키다 차지헌 차지헌이 점점 어른 되다 간다는게 사실인가 사실인가보 알바 친구 위해 위하다 나선 나다 나서다 정의 사도 사다 사 지헌이 지헌이도 멋지다 발표 멀리서 바라보다 모습 모두 다 사랑 힘 위대 tagexclamation
sbs_boss	kimj9924	POST	pyc08id-_9r10		2011-09-09	보스 지키다 2회 연장 되다 앗싸 tagexclamation 근데 못 보다 꺄아악 지성 재중 잘생기다
sbs_boss	kda632	POST	pyc0btg-sdq7		2011-09-07	드라마보스를지켜라노은설이지헌이와사귀는것을허락한회장님 tagexclamation taglove 공황장애는많이극복해서발표는성공 tagexclamation 부서옮기는것을선택했는데무원이가막아서다시생각 막판에무원이가은설이안고지헌이가보고끝 내일삼각관계다시스타투 tagexclamation 드라마 수목 보스를지켜
sbs_boss	hayan4627	POST	pyc0ct_-r9ab		2011-09-09	보스 지켜라 지켜라가 2회 연장됬어 기쁩니당 tagexclamation
sbs_boss	spastar7	POST	pyc0he6-5x8tg		2011-09-08	보스 지키다 박영규 보스 지키다 박영규 최강희 지성 교제 허락 아예 며느리 대접 tagquestion
sbs_boss	resfriado	POST	pyc0kz_-qd5		2011-09-07	보스를지켜라 지성 아빠 나오다 박영규 박영규랑 최강희 아빠 나오다 아저씨 이름 이르다 둘다 봉 tagsmile 탐나다 탐났구 tagquestion
sbs_boss	actorjisung	POST	pyc0mmo-_svgr		2011-09-09	지성님 글 올라오다 목 빼다 기다리다 바쁘다 종종 글 현장 사진 사다 부탁 tagsmile 그리다 지성님 고생 저 보스를지켜 가 가다 너무재미 계속 고생 부탁드리게 화이팅 tagexclamation
sbs_boss	xplorers	POST	pyc0uva-_a6e4		2011-09-08	보스지 다시보기지성 최강희 김재중 왕지혜 보스를지켜라11 회 다시보기수목 즐겁다 보스 지키다 다시보기 고고씽 sbs방송아카데미제휴뷰티스쿨 3
sbs_boss	judy767	POST	pyc0_jf-tv1l		2011-09-07	오늘 보스 지키다 하는 하는날
sbs_boss	dlwjd294	POST	pyc0_mx-yjv56		2011-09-07	오늘 웬즈데이나잇 미친듯 미친듯이 노는거야아 우베이비우우베이비 바라다 바람 더불지말 더불지말아 내계 내계로 한여름 파리투나잇 튀다 높이나는거야아 tagsmile 홍홍홍 조금 보스를지켜라하겠군요오 tagexclamation 홍홍홍 나 나다 보스 힘 최강 나도 나다 나 시키다
sbs_boss	s72522	POST	pyc1j1l-5_gpa		2011-09-09	요즘 하는드라마 보스 지키다 의 지성 tagsmile 저 드라마 보다 넘 잼 재방송 보셔 보셔도 후회 tagexclamation 개념드라마라고 하죠 tagsmile
sbs_boss	hellominji03	POST	pyc30rd-5zpa_		2011-09-08	내 좋아하다 드라마 보스 지키다 tagexclamation 지성 알바 복장
sbs_boss	shishi1234	POST	pyc31l8-upsu		2011-09-08	하다 하 나 나다 지금 보스 지키다 보고 보다 보 있다
sbs_boss	sugarghost	POST	pyc32wd-583xa		2011-09-07	머리파마 맘에안들어용 tagcry 내가원하는건 보스를지켜라 지성스탈 tagcry tagcry
sbs_boss	kimj9924	POST	pyc33a2-_9r10		2011-09-08	오늘 보스 지켜라 지켜라를 보고 보다 보 말것 말것이 지금 하다 하 있다 숙제 하다 하 말 무느님
sbs_boss	dusrud57	POST	pyc346t-lmyb		2011-09-07	오늘 유일 기쁘다 기쁨 보스 지키다 하다 하 날 밖 없다는게 슬프지아니할수 아니 없다 tagcry 아 머래
sbs_boss	gg06177	POST	pyc3byi-ygr5g		2011-09-08	보스를지켜라보고컴백할겡
sbs_boss	kitt584	POST	pyc3fyj-50tkc		2011-09-08	보스를지켜 보는사람손 tagexclamation 에횽엫횽 tagsmile 횽 요즘너무쓸쓸 3
sbs_boss	gd9796	POST	pyc3fyt-yvbsk		2011-09-08	오늘 ㄹ 도 보스를지켜 못봣 ㅅ 어 헝
sbs_boss	sbs	POST	pyc3gq9-ysbsp		2011-09-07	주말극 여인의향기 필리핀 홍콩 대 싱가포르 8개국 8개국에 수출 쾌거 이루다 이루 아시아 아시아의 시청자 한발 다가서다 있다 되다 o 그리다 오늘 보스를지켜 말레 말레이시아 방영일 대한 대하다 기사도 기사 나다 보통 종영 후 다른나라 방영 되다 보스 늘다 방송 끝나다 전 방영 짝짝짝짝 1020 2030 3040 4050 미투광장 여인의향기 여향 보스를지켜 보스
sbs_boss	sbs	POST	pyc3iq1-ysbsp		2011-09-07	보스를지켜 은설 은설과 나윤 지헌 본부장 무원 본부장 사진 사다 속 상황 매우 궁금 가운데 부럽다 것 확실 tagsmile 나윤 나윤의 시원 웃다 웃음 눈길 확 o 예고편 꼴리다 살꺼 살꺼야 라 선언 은설 어떤 일들 일들이 tagquestion 오늘밤 9시 55분 1020 2030 3040 4050 미투광장 보스를지켜 보스 차지헌 노은설 차무원 서나윤 지성 최강희 김재중 왕지혜
