program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_happytogether	yumin-yuko	POST	pyc0cx6-ytt3r		2011-09-08	해피투게더 새롭다 모습 이쁘다 감사
sbs_happytogether	lyun1649	POST	pyc0rqh-_a95w		2011-09-08	나 나다 진심 깨닫다 ㅇㅇ 해피투게더 해피투게더는 레알팬북이 ㅇㅇ 어떤얘 어떤얘는 이걸 65000원 65000원에 팔더라궁 난 나다 날다 얼마 행운아 행운아인가 tagsmile
sbs_happytogether	dlftksghtn	POST	pyc32vr-5bo89		2011-09-09	처녀막위치 처녀막폐쇄증 처녀막재생수술 처녀막손상 처녀막임신 수술부작용 처녀막수술가격 전문병원
sbs_happytogether	lizzyhy	POST	pyc3751-4tci		2011-09-09	해피투게더 전현무 나오다 tagquestion
sbs_happytogether	tjrwn1318	POST	pyc38c0-inlt		2011-09-08	개그맨 송준근 송준근이 해피투게더 유재석 결혼혼수용품 냉장고 부탁 유재석 흔쾌 알다 하다 역시 유재석 tagexclamation 짱 tagexclamation tagsmile
sbs_happytogether	jisiklog	POST	pyc39ko-_rcxy		2011-09-08	오늘 해피투게더 출연자 누구인가 tagquestion 해피투게더
sbs_happytogether	insos02	POST	pyc3aju-_8lnw		2011-09-09	해피투게더3 무료다시보기 213회 2011-09-08 해피투게더3 무료다시보기 213회 2011-09-08
sbs_happytogether	jisiklog	POST	pyc3bmj-_rcxy		2011-09-08	해피투게더개스트 해피투게더
sbs_happytogether	jisiklog	POST	pyc3fdt-_rcxy		2011-09-08	오늘해피투게더에서누구나와 해피투게더
sbs_happytogether	jisiklog	POST	pyc3fqv-_rcxy		2011-09-08	오늘해피투게더출연자 해피투게더
sbs_happytogether	hymom79	POST	pyc3kg3-xn2p		2011-09-08	해피투게더 최고 개그맨 1차 결정전 박성호 김대희 김준호 박성광 이승윤 송준근
sbs_happytogether	jisiklog	POST	pyc3k_o-_rcxy		2011-09-08	오늘해피투게더게스트알려주세 tagexclamation 해피투게더
sbs_happytogether	tiger225	POST	pyc3mrw-99u3		2011-09-09	해피투게더 아이유 얘기 taglove 상상 taglove 헤헷 tagsmile taglove
sbs_happytogether	dlftksghtn	POST	pyc3n7m-5bo89		2011-09-09	양귀비수술 지스팟 g spot 양귀비수술비용 양귀비수술가격 후기 여성전문병원 부작용
sbs_happytogether	k89love	POST	pyc3o_1-_9eaw		2011-09-08	오늘 해피투게더 해피투게더가 생각 재미 없다 많다 게스트 게스트가 출연해서인지 출연해서 산만산 산만산만 집중 안되다 tagsmile
sbs_happytogether	jisiklog	POST	pyc3rzu-_rcxy		2011-09-08	해피투게더출연자 해피투게더
sbs_happytogether	dlftksghtn	POST	pyc3uj2-5bo89		2011-09-09	소음순수술비용 소음순수술잘하는곳 늘어진소음순 소음순성형수술부작용
sbs_happytogether	dlftksghtn	POST	pyc3vtc-5bo89		2011-09-09	추석 볼만한영화 콜롬비아 콜롬비아나
sbs_happytogether	dlftksghtn	POST	pyc3vuj-5bo89		2011-09-09	일산 호수공원 일산호수공원
sbs_happytogether	zzuni23	POST	pyc3wxx-_hlr3		2011-09-08	해피투게더 보기 보다 tagexclamation
sbs_happytogether	insos02	POST	pyc3zhc-_8lnw		2011-09-09	해피투게더3 무료다시보기 213회 2011-09-08 해피투게더3 무료다시보기 213회 2011-09-08
sbs_happytogether	iyousens	POST	pyc59kh-yq85k		2011-09-09	해피투게더3 다시보기 9얼8 일 방송분 다시보기
sbs_happytogether	ezcoco88	POST	pyc5dvr-_2bed		2011-09-08	이젠 해피투게더 해피투게더에 집중할시 빠 빠여
sbs_happytogether	kmediabox	POST	pyc5e8t-_1l70		2011-09-08	토도우 해피투게더 시즌3 213회 9월8 일 다시보기
sbs_happytogether	frompic	POST	pyc5mqv-_d1bz		2011-09-09	매주 목욜 목욜이 밤 해피투게더 해피투게더를 보다 핑크뭉치님 자기야 자기야를 시청 뭉치빠빠님이늘 리모컨 리모컨을 가지다 가지 살짝 살짝 실갱이 실갱이를 하곤하는데요이번 주 목요일 자기야 자기야를 보다 보기 양
sbs_happytogether	dksgudwn1	POST	pyc5nbz-o8wn		2011-09-09	주말저녁 11시때 해피투게더 대신 엄마 나는가수다 보다 인순이 인순이의 아버지 가 가다 나오다 나다 나 아버지 아직 돌아가시다 않다 정말 슬프다 옆 엄마 돌아가시다 나 외할아버지 생각 눈물 흘리다 공감 같다 순간 아버지 그립다
sbs_happytogether	sujin2225	POST	pyc5qbv-ysdo6		2011-09-06	tagsmile 자료좀 뽑다 를 키다 기승사 윤호 준수 창민편 하다 하 아주 예전 내 중학교때 하다 약 4-5년전 해피투게더 프렌즈 믹키유천편 동영 동영상이 있다 tagsmile 오예 득템 바 n드라이브행 tagsmile
sbs_happytogether	bestmurder	POST	pyc5rc7-_cima		2011-09-09	해피투게더 s3.e213.박성호 김대희 김준호 박성광 이승윤 송준근 .1 10908.hdtv.x264.720p hanrel
sbs_happytogether	soir_mirine	POST	pyc5xuj-5fbvz		2011-09-09	해피투게더3 정태호 5년 사귀다 여친 여친과 내년 봄 보다 결혼계획
sbs_happytogether	ezcoco88	POST	pyc5y99-_2bed		2011-09-08	난 나다 날다 해피투게더 해피투게더를 보다 빠여빠여빠여빠 빠여빠여빠여빠여
sbs_happytogether	junes26	POST	pyc60zy-yxvov		2011-09-10	해피투게더 시즌3 213회 김대희 김준호 이승윤 박성호 송준근 박성광 9월8 일 방송 보기 보다
sbs_happytogether	insos02	POST	pyc61a4-_8lnw		2011-09-07	해피투게더3 무료다시보기 212회 가문의수난팀 신현준 탁재훈 현영 해피투게더3 무료다시보기 212회 가문의수난팀 신현준 탁재훈 현영
sbs_happytogether	insos02	POST	pyc698h-_8lnw		2011-09-07	해피투게더3 무료다시보기 212회 가문의수난팀 신현준 탁재훈 현영 해피투게더3 무료다시보기 212회 가문의수난팀 신현준 탁재훈 현영
