program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_starking	tbn2813	POST	pyc083e-5m8i5		2011-09-09	tagsmile 강호동 은퇴 1박2 일과 일 스타킹 어떻다 되다 tagquestion 1박2 일 새롭다 멤버 올라올것 올라올것인가 tagquestion 1박2 일 그렇다 치다 치 스타킹 tagquestion
sbs_starking	sms061160	POST	pyc0m90-y0jp6		2011-09-09	강호동 은퇴 tagcry 망 tagcry 그럼 엠시게 엠시게는 엠씨유꺼네 tagquestion tagcry 1박2 일 tagcry 스타킹 tagcry
sbs_starking	bntnews	POST	pyc12ap-5rtw7		2011-09-10	bnt 뉴스 강호동 은퇴선언 강심장 무릎팍도사 스타킹 1박2 일 날벼락 연예 어제 기자회견 한 하다 강호동 잠정은퇴 하다 하 하루 지나다 네티즌 사이 계속 다양 반응 보 보이 있다 당분 예능 그르다 볼 보다 없다 아쉽다 하다 tagcry
sbs_starking	bondbee97	POST	pyc1ymo-yt2tr		2011-09-09	안되다 강호동아저씨 한번 생각 tagcry tagcry 1박2 일 황금어장 강심장 스타킹 무슨 재미 보냐구 보냐구요 tagcry ㅅ tagcry 한번 제 제대 시간 걸리다 다시한번 생각 해보다 tagcry
sbs_starking	fksgmlrksght	POST	pyc5lm5-eo_8		2011-09-09	강호동은퇴하면스타킹이랑1 박2 일은어쩜 tagquestion 헐
sbs_starking	skm0764	POST	pyc6r0q-l6wz		2011-09-10	누나 tagexclamation 오늘추석특집스타킹에오빠들나오는거알죠 tagquestion 그런데강호동님때문에좀걱정 tagcry 본방사수 tagexclamation 기대 taglove 그리고13 일아육대와천무단 tagexclamation 본방사수 taglove
sbs_starking	dltnals_3360	POST	pyc9s05-8_df		2011-09-10	지금 강호동은퇴 tagcry 스타킹은하궁 tagsmile ㄷ 은퇴강호동
sbs_starking	cho208610	POST	pycbu8h-_gdhg		2011-09-09	ㅁㅊ 뭐 tagquestion 강호동 은퇴 어쩌겠다능 tagquestion 휴 그럼 우리 이제 1박2 일 스타킹 무릎팍도사 강심장 어트케 봄 보다 tagquestion 돌아온 돌아온나 tagexclamation 아니 아 세금 안넷으면 내면 내다 되다 강호동씨 빨랑 돌아오세욤 tagexclamation 강호동 tagexclamation 강호동 tagexclamation 1인자 tagexclamation 강라 강라인 tagexclamation
sbs_starking	wnsdlf13	POST	pycd1q4-yai0w		2011-09-09	아 어렵다 결정 내려버리신 강호동씨 1박2 일 어떻다 되다 무릎팍 도사 아마 스페셜 스페셜로 나가다 것 스타킹 누군가 대체 mc mc를 할 하다 것 강호동씨 보다 보 한 하다 죄 지은 지다 사람 버젓 버젓이 tv 나오다 하다 하 마당 에휴
sbs_starking	inha510	POST	pycdaax-5dl6v		2011-09-09	강호동 은퇴 tagquestion 헉 스타킹 게속하나 게속하나여 tagquestion
sbs_starking	jungsumi01	POST	pycdijj-lz57		2011-09-09	헐강호동연예계은퇴라니말이되는소립니까 이번에잘못한건잘못한거지만그리고이일로인해서사람들이좋지않은마음을가지게된것도사실 이번에은퇴하게되면간호동을사랑해주던많은팬들은어떻게할려구 이번에은퇴하게되면간호동을사랑해주던많은팬들은어떻게할려구요 그리고프로그램하건도그래 사실상강호동이없는스타킹 무릎팍도사 강심장 일박이일은하차
