"","tf"
"강호동",56
"은퇴",28
"이승기",21
"강심장",9
"딸바보",8
"강호동씨",7
"강호동이",7
"스타킹",7
"예능",7
"kbs",6
"국민",6
"사랑",6
"잠정",6
"mc",5
"싶다",5
"어떻다",5
"여행",5
"2일은",4
"그럼",4
"많다",4
"멤버",4
"무릎팍",4
"무한도전",4
"사람",4
"세금",4
"세대",4
"아니다",4
"연예계",4
"예능인",4
"재미",4
"탈세",4
"강심장은",3
"계속",3
"그리다",3
"넘나들다",3
"무슨",3
"사진",3
"승기군",3
"실시",3
"ㅇㅇ",3
"아쉽다",3
"완전",3
"운동",3
"유재석",3
"퇴출",3
"하차설",3
"한번",3
"joy",2
"결국",2
"결혼",2
"국내여행",2
"궁금",2
"그니깐",2
"기자회견",2
"나영석pd",2
"네이버",2
"네티즌",2
"녹화",2
"눈물",2
"뉴스",2
"다음주",2
"도착후",2
"돼지국밥",2
"돼지국밥집",2
"들리다",2
"등등",2
"따다",2
"따르다",2
"떠나다",2
"마음",2
"만드네",2
"만드네요",2
"먹는",2
"모르다",2
"무릎팍도사",2
"무섭다",2
"뭔가",2
"반응",2
"방영",2
"부산",2
"불쌍",2
"빠지다",2
"사윗감",2
"시청자투어",2
"실망",2
"싱숭생숭",2
"안되다",2
"어쩌구",2
"얼마",2
"연예",2
"예정",2
"우리",2
"원문",2
"은퇴선언",2
"이데일리",2
"이수근",2
"이승기도",2
"이유",2
"일도",2
"일박이",2
"일박이일",2
"자꾸",2
"잠정은퇴",2
"장면",2
"저의",2
"정말",2
"조금",2
"좋다",2
"좋아하다",2
"지난주",2
"진짜",2
"집근처",2
"집다",2
"차다",2
"촬영",2
"충격",2
"충원",2
"취소",2
"티비",2
"티빙",2
"프로그램",2
"힘들다",2
