"","tf"
"사랑",78
"그대",27
"사람",18
"언제",15
"널다",12
"언제나",12
"고맙다",11
"떠나다",10
"행복",10
"거짓말",8
"love",7
"남자",7
"소중",7
"주다",7
"가지다",6
"너르다",6
"노래",6
"생각",6
"세상",6
"시간",6
"싶다",6
"좋아하다",6
"우리",5
"기쁘다",4
"당신",4
"떠나가다",4
"마음",4
"많다",4
"아름답다",4
"아프다",4
"웃다",4
"정말",4
"좋다",4
"거다",3
"그댈",3
"나르다",3
"노랗다",3
"눈물",3
"늘다",3
"때문",3
"때문에",3
"모르다",3
"바라보다",3
"보여줄수",3
"생일",3
"슬프다",3
"아니다",3
"여기",3
"영원",3
"예전",3
"오직",3
"웃음",3
"위하다",3
"의형제",3
"이렇게",3
"지키다",3
"차다",3
"하나",3
"하늘",3
"하모니",3
"한마디",3
"forever",2
"jyj",2
"sbs",2
"가슴",2
"걸다",2
"곁에",2
"그대곁",2
"그대곁에",2
"그때",2
"그러니까",2
"그렇다",2
"그리다",2
"그사람",2
"기다리다",2
"기쁨",2
"김현식",2
"나이",2
"내곁을",2
"눈감다",2
"다거짓말",2
"들리",2
"들리다",2
"따뜻",2
"또다시",2
"만나다",2
"만남",2
"만드",2
"만드는",2
"만족",2
"모든것",2
"못하다",2
"무엇",2
"바보",2
"방가방가",2
"별빛",2
"별빛보",2
"부르다",2
"부족",2
"사진",2
"살다",2
"살아가다",2
"상처",2
"슬퍼",2
"쓰러지다",2
"아픔",2
"알수",2
"약속",2
"어디",2
"얼마",2
"엄마",2
"여인의향기",2
"열다",2
"우리곁",2
"우리곁에",2
"울컥",2
"위해",2
"이끼",2
"자꾸",2
"전혀",2
"지나다",2
"지치다",2
"찾다",2
"추억",2
"출생의비밀",2
"특선영화",2
"평생",2
"하루",2
"혼자",2
