program_id,start_date,end_date,nation,duration_type,watch_rate,rank,register_date,update_date,category,channel,air_cycle
cbs_60mins,20110905,20110911,US,weekly,0.081,4,,,,CBS,SUN
cbs_60mins,20110912,20110918,US,weekly,0.125,3,,,,CBS,SUN
cbs_60mins,20110919,20110925,US,weekly,0,99,,,,CBS,SUN
cbs_bigbang,20110905,20110911,US,weekly,0.064,5,,,,CBS,THU
cbs_bigbang,20110912,20110918,US,weekly,0.17,2,,,,CBS,THU
cbs_bigbang,20110919,20110925,US,weekly,0.292,1,,,,CBS,THU
cbs_bigbrother,20110905,20110911,US,weekly,0.144,2,,,,CBS,"WED,THU"
cbs_bigbrother,20110912,20110918,US,weekly,0.078,5,,,,CBS,"WED,THU"
cbs_bigbrother,20110919,20110925,US,weekly,0,99,,,,CBS,"WED,THU"
cbs_criminalminds,20110905,20110911,US,weekly,0.063,6,,,,CBS,WED
cbs_criminalminds,20110912,20110918,US,weekly,0,6,,,,CBS,WED
cbs_criminalminds,20110919,20110925,US,weekly,0.141,3,,,,CBS,WED
cbs_ncis,20110905,20110911,US,weekly,0.095,3,,,,CBS,TUE
cbs_ncis,20110912,20110918,US,weekly,0.103,4,,,,CBS,TUE
cbs_ncis,20110919,20110925,US,weekly,0.2,2,,,,CBS,TUE
kbs1_greatking,20110815,20110821,KO,weekly,0.171,6,,,drama,KBS1,"SAT,SUN"
kbs1_greatking,20110822,20110828,KO,weekly,0.161,9,,,drama,KBS1,"SAT,SUN"
kbs1_greatking,20110905,20110911,KO,weekly,0.164,6,,,drama,KBS1,"SAT,SUN"
kbs1_greatking,20110912,20110918,KO,weekly,0.179,6,,,drama,KBS1,"SAT,SUN"
kbs1_greatking,20110919,20110925,KO,weekly,0.175,5,,,drama,KBS1,"SAT,SUN"
kbs2_gagcon,20110815,20110821,KO,weekly,0.156,8,,,entertain,KBS2,SUN
kbs2_gagcon,20110822,20110828,KO,weekly,0.167,7,,,entertain,KBS2,SUN
kbs2_gagcon,20110905,20110911,KO,weekly,0.134,14,,,entertain,KBS2,SUN
kbs2_gagcon,20110912,20110918,KO,weekly,0.171,7,,,entertain,KBS2,SUN
kbs2_gagcon,20110919,20110925,KO,weekly,0.168,6,,,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110815,20110821,KO,weekly,0.147,10,,,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110822,20110828,KO,weekly,0.175,4,,,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110905,20110911,KO,weekly,0.16,7,,,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110912,20110918,KO,weekly,0.193,4,,,entertain,KBS2,SUN
kbs2_happysunday_1bak2il,20110919,20110925,KO,weekly,0.167,7,,,entertain,KBS2,SUN
kbs2_happysunday_men,20110815,20110821,KO,weekly,0.147,11,,,entertain,KBS2,SUN
kbs2_happysunday_men,20110822,20110828,KO,weekly,0.175,5,,,entertain,KBS2,SUN
kbs2_happysunday_men,20110905,20110911,KO,weekly,0.16,8,,,entertain,KBS2,SUN
kbs2_happysunday_men,20110912,20110918,KO,weekly,0.193,5,,,entertain,KBS2,SUN
kbs2_happysunday_men,20110919,20110925,KO,weekly,0.167,8,,,entertain,KBS2,SUN
kbs2_ojakkyo,20110815,20110821,KO,weekly,0.227,1,,,drama,KBS2,"SAT,SUN"
kbs2_ojakkyo,20110822,20110828,KO,weekly,0.21,2,,,drama,KBS2,"SAT,SUN"
kbs2_ojakkyo,20110905,20110911,KO,weekly,0.199,2,,,drama,KBS2,"SAT,SUN"
kbs2_ojakkyo,20110912,20110918,KO,weekly,0.265,1,,,drama,KBS2,"SAT,SUN"
kbs2_ojakkyo,20110919,20110925,KO,weekly,0.254,2,,,drama,KBS2,"SAT,SUN"
kbs2_poseidon,20110919,20110925,KO,weekly,0.066,23,,,drama,KBS2,"MON,TUE"
kbs2_princess,20110815,20110821,KO,weekly,0.172,5,,,drama,KBS2,"WED,THU"
kbs2_princess,20110822,20110828,KO,weekly,0.169,6,,,drama,KBS2,"WED,THU"
