target_user,tweet_type,create_date,total_tweet_count,total_user_count,positive_tweet_count,positive_user_count,negative_tweet_count,negative_user_count
aplusk,MENTION,2011-05-13,6725,6023,1958,1877,775,740
aplusk,MENTION,2011-05-14,10456,9357,4354,4112,1046,987
aplusk,MENTION,2011-05-15,3080,2751,1450,1360,0,0
aplusk,MENTION,2011-05-16,1466,1284,615,577,136,128
aplusk,MENTION,2011-05-17,2380,2070,587,537,552,470
aplusk,MENTION,2011-05-18,1223,977,381,345,0,0
aplusk,MENTION,2011-05-19,1405,1209,359,341,284,273
aplusk,MENTION,2011-05-20,1068,934,278,254,0,0
aplusk,MENTION,2011-05-21,1038,919,237,218,0,0
aplusk,MENTION,2011-05-22,618,551,147,141,69,64
aplusk,MENTION,2011-05-23,945,702,325,178,0,0
aplusk,MENTION,2011-05-24,2829,2147,836,609,290,272
aplusk,MENTION,2011-05-25,1350,1093,327,279,161,147
aplusk,MENTION,2011-05-26,2059,1865,437,406,255,210
aplusk,MENTION,2011-05-27,2808,2588,627,595,0,0
aplusk,MENTION,2011-05-28,1119,969,272,249,308,296
aplusk,MENTION,2011-05-29,707,586,182,144,139,136
aplusk,MENTION,2011-05-30,519,449,118,111,0,0
aplusk,MENTION,2011-05-31,730,619,209,200,104,93
aplusk,MENTION,2011-06-01,1147,998,167,156,198,185
aplusk,MENTION,2011-06-02,750,609,222,192,0,0
aplusk,MENTION,2011-06-03,748,573,165,154,79,69
aplusk,MENTION,2011-06-04,875,646,195,182,229,213
aplusk,MENTION,2011-06-05,797,611,246,224,0,0
aplusk,MENTION,2011-06-06,1699,1385,535,477,0,0
aplusk,MENTION,2011-06-07,950,805,265,247,196,186
aplusk,MENTION,2011-06-08,896,713,267,214,164,153
aplusk,MENTION,2011-06-09,721,606,173,164,159,150
aplusk,MENTION,2011-06-10,1179,1017,275,264,284,273
aplusk,MENTION,2011-06-11,806,729,181,173,106,95
aplusk,MENTION,2011-06-12,891,763,332,311,0,0
aplusk,MENTION,2011-06-13,2203,1840,236,204,164,150
aplusk,MENTION,2011-06-14,1789,1403,288,253,151,112
aplusk,MENTION,2011-06-15,1162,909,278,239,113,104
aplusk,MENTION,2011-06-16,1224,940,145,133,87,81
aplusk,MENTION,2011-06-17,1127,13,168,153,131,124
aplusk,MENTION,2011-06-18,1030,887,191,172,175,166
aplusk,MENTION,2011-06-19,774,644,209,191,0,0
aplusk,MENTION,2011-06-20,1513,1230,261,248,236,229
aplusk,MENTION,2011-06-21,861,683,237,204,0,0
aplusk,MENTION,2011-06-22,824,564,277,155,124,111
aplusk,MENTION,2011-06-23,844,612,320,199,122,120
aplusk,MENTION,2011-06-24,872,736,220,170,121,115
aplusk,MENTION,2011-06-25,758,658,171,156,0,0
aplusk,MENTION,2011-06-26,1660,1447,624,571,483,462
aplusk,MENTION,2011-06-27,1307,1155,361,345,263,247
aplusk,MENTION,2011-06-28,1419,1208,782,706,174,168
aplusk,MENTION,2011-06-29,854,710,355,329,94,87
aplusk,MENTION,2011-06-30,1710,1401,522,442,654,611
aplusk,MENTION,2011-07-01,2115,1629,528,456,919,796
aplusk,MENTION,2011-07-02,2016,1519,532,457,590,514
aplusk,MENTION,2011-07-03,5217,4096,722,626,914,716
aplusk,MENTION,2011-07-04,2805,2306,387,330,0,0
aplusk,MENTION,2011-07-05,2044,1720,302,281,148,137
aplusk,MENTION,2011-07-06,2031,1754,477,432,0,0
aplusk,MENTION,2011-07-07,1261,913,306,237,192,148
aplusk,MENTION,2011-07-08,1024,817,291,256,195,119
aplusk,REPLY,2011-05-13,4558,4139,1371,1285,0,0
aplusk,REPLY,2011-05-14,4063,3744,1650,1570,0,0
aplusk,REPLY,2011-05-15,2161,1864,899,809,364,355
aplusk,REPLY,2011-05-16,491,430,210,189,0,0
aplusk,REPLY,2011-05-17,1878,1521,651,573,0,0
aplusk,REPLY,2011-05-18,540,465,204,182,153,138
aplusk,REPLY,2011-05-19,701,629,330,285,0,0
aplusk,REPLY,2011-05-20,502,448,203,181,0,0
aplusk,REPLY,2011-05-21,287,263,111,101,104,98
aplusk,REPLY,2011-05-22,245,212,93,84,0,0
aplusk,REPLY,2011-05-23,379,321,131,121,86,79
aplusk,REPLY,2011-05-24,1667,1249,731,556,0,0
aplusk,REPLY,2011-05-25,600,534,219,197,0,0
aplusk,REPLY,2011-05-26,1178,1045,398,376,0,0
aplusk,REPLY,2011-05-27,1151,967,509,427,1088,1065
aplusk,REPLY,2011-05-28,615,440,210,180,0,0
aplusk,REPLY,2011-05-29,434,394,164,159,0,0
aplusk,REPLY,2011-05-30,194,171,68,62,74,72
aplusk,REPLY,2011-05-31,524,417,221,177,0,0
aplusk,REPLY,2011-06-01,390,349,120,115,0,0
aplusk,REPLY,2011-06-02,259,199,131,97,95,89
aplusk,REPLY,2011-06-03,252,226,96,86,0,0
aplusk,REPLY,2011-06-04,677,559,269,207,0,0
aplusk,REPLY,2011-06-05,596,439,279,178,0,0
aplusk,REPLY,2011-06-06,1598,1440,592,536,231,220
aplusk,REPLY,2011-06-07,1266,1146,463,420,0,0
aplusk,REPLY,2011-06-08,603,504,216,189,0,0
aplusk,REPLY,2011-06-09,498,459,167,156,0,0
aplusk,REPLY,2011-06-10,701,589,258,203,0,0
aplusk,REPLY,2011-06-11,837,793,174,166,0,0
aplusk,REPLY,2011-06-12,585,531,264,240,167,159
aplusk,REPLY,2011-06-13,1100,947,353,307,0,0
aplusk,REPLY,2011-06-14,674,553,204,188,0,0
aplusk,REPLY,2011-06-15,724,569,350,255,0,0
aplusk,REPLY,2011-06-16,213,196,50,45,0,0
aplusk,REPLY,2011-06-17,153,144,38,38,72,70
aplusk,REPLY,2011-06-18,419,357,168,135,0,0
aplusk,REPLY,2011-06-19,572,511,200,183,155,150
aplusk,REPLY,2011-06-20,597,533,195,182,0,0
aplusk,REPLY,2011-06-21,625,508,205,181,205,186
aplusk,REPLY,2011-06-22,396,351,140,125,0,0
aplusk,REPLY,2011-06-23,404,372,150,137,0,0
aplusk,REPLY,2011-06-24,644,547,234,190,0,0
aplusk,REPLY,2011-06-25,202,173,77,57,197,189
aplusk,REPLY,2011-06-26,1911,1657,687,626,0,0
aplusk,REPLY,2011-06-27,880,710,340,266,0,0
aplusk,REPLY,2011-06-28,652,555,339,301,0,0
aplusk,REPLY,2011-06-29,435,388,192,168,0,0
aplusk,REPLY,2011-06-30,1465,1252,465,427,0,0
aplusk,REPLY,2011-07-01,998,792,322,263,0,0
aplusk,REPLY,2011-07-02,741,635,260,242,0,0
aplusk,REPLY,2011-07-03,1738,1307,569,464,0,0
aplusk,REPLY,2011-07-04,1658,1210,467,375,449,376
aplusk,REPLY,2011-07-05,839,742,237,209,0,0
aplusk,REPLY,2011-07-06,1289,1088,357,320,0,0
aplusk,REPLY,2011-07-07,831,555,294,194,0,0
aplusk,REPLY,2011-07-08,618,441,177,156,0,0
aplusk,RETWEET,2011-05-13,122,118,34,34,0,0
aplusk,RETWEET,2011-05-14,133,127,77,76,0,0
aplusk,RETWEET,2011-05-15,141,131,43,41,0,0
aplusk,RETWEET,2011-05-16,20,17,10,8,0,0
aplusk,RETWEET,2011-05-17,108,101,50,49,0,0
aplusk,RETWEET,2011-05-18,17,17,11,11,0,0
aplusk,RETWEET,2011-05-19,24,24,3,3,0,0
aplusk,RETWEET,2011-05-20,18,16,8,7,160,154
aplusk,RETWEET,2011-05-21,3,3,2,2,0,0
aplusk,RETWEET,2011-05-23,31,31,30,30,0,0
aplusk,RETWEET,2011-05-24,86,84,68,68,0,0
aplusk,RETWEET,2011-05-25,25,23,22,21,0,0
aplusk,RETWEET,2011-05-26,233,226,36,36,0,0
aplusk,RETWEET,2011-05-27,184,176,81,78,0,0
aplusk,RETWEET,2011-05-28,36,36,20,20,0,0
aplusk,RETWEET,2011-05-29,35,35,6,6,0,0
aplusk,RETWEET,2011-05-30,3,3,0,0,0,0
aplusk,RETWEET,2011-05-31,23,23,20,20,0,0
aplusk,RETWEET,2011-06-01,51,50,0,0,0,0
aplusk,RETWEET,2011-06-02,4,4,0,0,0,0
aplusk,RETWEET,2011-06-03,14,13,0,0,0,0
aplusk,RETWEET,2011-06-04,37,31,1,1,0,0
aplusk,RETWEET,2011-06-05,32,28,20,19,114,106
aplusk,RETWEET,2011-06-06,148,145,79,77,0,0
aplusk,RETWEET,2011-06-07,93,90,18,18,0,0
aplusk,RETWEET,2011-06-08,25,19,14,11,0,0
aplusk,RETWEET,2011-06-09,18,17,1,1,0,0
aplusk,RETWEET,2011-06-10,40,37,0,0,0,0
aplusk,RETWEET,2011-06-11,73,73,5,5,0,0
aplusk,RETWEET,2011-06-12,58,58,5,5,0,0
aplusk,RETWEET,2011-06-13,68,66,3,3,0,0
aplusk,RETWEET,2011-06-14,23,23,1,1,0,0
aplusk,RETWEET,2011-06-15,33,31,14,14,0,0
aplusk,RETWEET,2011-06-16,7,7,0,0,0,0
aplusk,RETWEET,2011-06-17,2,2,1,1,0,0
aplusk,RETWEET,2011-06-18,20,20,8,8,0,0
aplusk,RETWEET,2011-06-19,19,16,3,3,0,0
aplusk,RETWEET,2011-06-20,21,21,0,0,0,0
