user,audience_count,replied_tweet_count,retweeted_tweet_count,mentioned_tweet_count,liwc_positive,liwc_negative,replied_user_count,retweeted_user_count,mentioned_user_count,positive_user_count,negative_user_count,total_tweet_count,positive_tweet_count,negative_tweet_count
aplusk,98882,51336,4041,96534,107842,31180,36525,3275,66550,34523,11657,149851,46065,15553
BarackObama,167460,72701,5945,236165,233854,111362,41755,5180,132116,64312,25957,317068,101360,50816
BBCBreaking,11816,3628,3074,11558,7757,7196,2715,2320,7237,2917,2907,16615,3455,3532
BillGates,15224,6532,580,13780,14105,3389,5044,530,10163,5553,1365,20165,6564,1662
britneyspears,135234,105531,5888,392816,400931,108473,42291,2867,110166,57412,16967,497720,168273,47008
cnnbrk,50435,9464,17842,62894,32245,47070,6808,10088,36360,9743,17071,90232,14329,23668
DalaiLama,35457,8106,12531,31760,64096,26609,5688,7579,23779,18468,5748,51641,25262,7791
kingsthings,3898,2759,195,2531,4002,1191,2073,181,1792,1703,499,5084,2001,611
ladygaga,381863,385425,18676,1039118,1416690,321132,128076,8664,305641,180666,42782,1434605,561487,142078
mashable,148868,13780,48960,347430,214314,49520,8069,21864,130633,61627,14631,412141,125411,29130
Oprah,87779,34769,843,108629,141020,41735,25258,700,67778,39380,13928,140844,57761,21315
realDonaldTrump,10723,5750,213,10119,11993,5911,4060,189,7155,3974,2080,15525,5134,2757
TechCrunch,79706,5569,14459,148887,83991,20021,2796,7322,73173,29422,6994,169896,48018,11676
