program_id	author_id	type	post_id	comment_id	publish_date	feature	count	word
kbs2_happysunday_1bak2il	greenp72	POST	pym00hb-_wulw		2011-08-20	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	greenp72	POST	pym00hb-_wulw		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	2000dmswl	POST	pym0539-_q8bc		2011-08-20	PRESENT	1.0	이제
kbs2_happysunday_1bak2il	2000dmswl	POST	pym0539-_q8bc		2011-08-20	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	2000dmswl	POST	pym0539-_q8bc		2011-08-20	CRYMARK	2.0	흑 tagcry
kbs2_happysunday_1bak2il	nanhang81	POST	pym053_-5mjyz		2011-08-20	SMILEMARK	1.0	tagsmile
kbs2_happysunday_1bak2il	nanhang81	POST	pym053_-5mjyz		2011-08-20	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	nanhang81	POST	pym053_-5mjyz		2011-08-20	POSITIVE	2.0	웃다 웃음
kbs2_happysunday_1bak2il	nanhang81	POST	pym053_-5mjyz		2011-08-20	SEE	1.0	보다
kbs2_happysunday_1bak2il	junsu08	POST	pym079u-u_u6		2011-08-19	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	nsy520	POST	pym07t8-yrce5		2011-08-19	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	larcobaleno	POST	pym0dsm-5gks9		2011-08-20	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	qhalsz123	POST	pym0gxs-1dv0		2011-08-19	PRESENT	1.0	요즘
kbs2_happysunday_1bak2il	qhalsz123	POST	pym0gxs-1dv0		2011-08-19	QUANTIFIER	1.0	아주
kbs2_happysunday_1bak2il	qhalsz123	POST	pym0gxs-1dv0		2011-08-19	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	qhalsz123	POST	pym0gxs-1dv0		2011-08-19	POSITIVE	1.0	좋다
kbs2_happysunday_1bak2il	the100yesi	POST	pym0ifw-yvat1		2011-08-19	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	kongsuni3451	POST	pym0jce-_9t_s		2011-08-20	SEE	1.0	보다
kbs2_happysunday_1bak2il	suna7403-big	POST	pym0jme-56h8x		2011-08-20	PRESENT	1.0	오늘
kbs2_happysunday_1bak2il	suna7403-big	POST	pym0jme-56h8x		2011-08-20	FUTURE	1.0	내일
kbs2_happysunday_1bak2il	suna7403-big	POST	pym0jme-56h8x		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	suna7403-big	POST	pym0jme-56h8x		2011-08-20	SMILEMARK	1.0	tagsmile
kbs2_happysunday_1bak2il	suna7403-big	POST	pym0jme-56h8x		2011-08-20	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	inrain84	POST	pym0k1s-yt8dk		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	crevs	POST	pym0onc-5os2b		2011-08-19	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	crevs	POST	pym0onc-5os2b		2011-08-19	SMILEMARK	1.0	tagsmile
kbs2_happysunday_1bak2il	picachoo11	POST	pym0ptz-5oqnl		2011-08-20	POSITIVE	1.0	재미있
kbs2_happysunday_1bak2il	nabislife	POST	pym0r95-ldkz		2011-08-18	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	sanghi09	POST	pym0tmt-5eli4		2011-08-20	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	caboom911	POST	pym0wnm-5xcck		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	waber	POST	pym0ykc-u832		2011-08-20	PRESENT	1.0	지금
kbs2_happysunday_1bak2il	waber	POST	pym0ykc-u832		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	waber	POST	pym0ykc-u832		2011-08-20	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	dldlswjd2	POST	pym0yq7-y0m45		2011-08-20	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	dldlswjd2	POST	pym0yq7-y0m45		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	tkdcjf7777	POST	pym10ci-szte		2011-08-20	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	tldms52	POST	pym10ls-ybra6		2011-08-19	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	llovoall	POST	pym11u3-_5spb		2011-08-20	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	wngp_2000	POST	pym11_6-_rul_		2011-08-19	SMILEMARK	1.0	크
kbs2_happysunday_1bak2il	lorly1108	POST	pym124s-5g3eb		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	lorly1108	POST	pym124s-5g3eb		2011-08-20	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	lorly1108	POST	pym124s-5g3eb		2011-08-20	POSITIVE	1.0	좋다
kbs2_happysunday_1bak2il	sooryun2202	POST	pym12dy-celq		2011-08-20	CRYMARK	1.0	tagcry
kbs2_happysunday_1bak2il	sooryun2202	POST	pym12dy-celq		2011-08-20	POSITIVE	1.0	좋아하다
kbs2_happysunday_1bak2il	potential16	POST	pym12gd-yjrhj		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	gmlwjd7107	POST	pym12t_-uere		2011-08-20	PRESENT	1.0	지금
kbs2_happysunday_1bak2il	gmlwjd7107	POST	pym12t_-uere		2011-08-20	QUESTIONMARK	1.0	tagquestion
kbs2_happysunday_1bak2il	gmlwjd7107	POST	pym12t_-uere		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_happysunday_1bak2il	gmlwjd7107	POST	pym12t_-uere		2011-08-20	SMILEMARK	1.0	tagsmile
