program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_gagcon	thepleroma	POST	pym02lx-59bua		2011-08-20	가이드2 이상순 2 대표적 트릭스터 의 캐릭터이죠 사회 규범 자유로우면서 역 사회 가장 잘 자다 적응 존재 한마디 처세술 의 달인
kbs2_gagcon	joanna220	POST	pym02wk-_y2de		2011-08-20	마음 아프다 슬프다 드라마 별 좋아하다 않다 죽다 죽음 흘러가는듯 해 하다 별 맘 들다 않다 tagcry 극 익숙하다 하다 난 나다 날다 왜 외다 이렇게 비극 싫다 tagcry
kbs2_gagcon	singergoni	POST	pym05q6-y5v32		2011-08-18	오늘저녁9 시 아프리카방송 노래하는eiki 본방사수 tagexclamation 부탁 오늘 관우형님 넘나드 넘나드는 팔세토 팔세토의 달인 보실 있다 tagsmile
kbs2_gagcon	jounj12345	POST	pym088s-ygy8l		2011-08-18	나 나다 혼자놀기달인되는듯 tagsmile
kbs2_gagcon	jangyoonju	POST	pym093x-_tbs5		2011-08-18	개콘
kbs2_gagcon	daita	POST	pym0a68-r738		2011-08-19	쌔거 tagexclamation 2030 hideki 무상교환 달인 불러주세 불러주세요
kbs2_gagcon	maclaude	POST	pym0arl-56_		2011-08-19	불편 진실 다음 질문 보고 보다 보 가장 올바르다 대답 쓰다 10점 1 오빠 tagexclamation 나 나다 이럴러 이럴러고 만나다 tagquestion 여자 도대체 왜 외다 남자 만나다 것 tagquestion
kbs2_gagcon	all_my_bb	POST	pym0bc6-5c012		2011-08-19	앜 tagsmile 불편한진실
kbs2_gagcon	forjin3	POST	pym0c2p-s9i9		2011-08-19	토돌이님 토돌이님이 신한카드 app 다운로드 이벤트 추천 달인 도전 신한카드
kbs2_gagcon	flyingneko	POST	pym0c3o-a4u		2011-08-19	재미 아주 없다 그렇다 아주 재미 않다 서부 sf극 서부 첩보 활동 펼치다 오다 제임스 본드 금 대신 아들 찾다 가다 금 찾다 되다 되 인디아 인디아나 존스 존스의 만남 만나다 조금 엉뚱 가다 하다 납득할 납득할만한 수준 품위 지키다 블로그 감상문 tagexclamation 카우보이 에이리언 영화 근엄한표정의다니엘크레이그와해리슨포드를보며킥킥 nekoblog 블로그
