program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_happysunday_1bak2il	greenp72	POST	pym00hb-_wulw		2011-08-20	뉴스 악 안되다 tagexclamation 박 일 종영이라고라고라tagquestion tagexclamation 아으 승기오빠 가는거야tagquestion
kbs2_happysunday_1bak2il	alex2847	POST	pym00jl-15yu		2011-08-20	박 일 종영 뭐
kbs2_happysunday_1bak2il	korean2070	POST	pym035a-5hmwi		2011-08-20	박 일 결국 종영 나pd 시즌 가능성 열려 열려있다
kbs2_happysunday_1bak2il	2000dmswl	POST	pym0539-_q8bc		2011-08-20	에흑 박 일 종영이닷 tagcry ㅅ tagcry 올것 올것이 오다 이제 뭘 봐야하지tagquestion
kbs2_happysunday_1bak2il	nanhang81	POST	pym053_-5mjyz		2011-08-20	박 일 개월뒤 종영이네 우째 이런일 tagcry tagcry 간판 예능 좀 조다 많다 아쉽네 아쉽네여 년간 우리 웃다 웃음 주고갑자기 떠나다 것 미다 알려주는게좋은거 같다 tagcry tagcry 보다 맘 아려오겠네 아려오겠네여 tagcry tagcry 모두 유종 미 보여주세요tagsmile 박 멤버 언제 언제나 응원 사랑합니다tagsmile
kbs2_happysunday_1bak2il	junsu08	POST	pym079u-u_u6		2011-08-19	덕산스파캐슬 덕산스파캐슬로 박 일여행 숲속의정원펜션 함께해 함께해요 tagexclamation
kbs2_happysunday_1bak2il	nsy520	POST	pym07t8-yrce5		2011-08-19	주왕산 주왕산에 박 일 이수근갔지롱 하하하하하ㅏ핳 주왕산 꾀다 괜찬 괜찬은 듯 하하하핳 한번가보셔 괜찬을것 같아용 tagexclamation
kbs2_happysunday_1bak2il	reality0407	POST	pym0c9t-ybsfg		2011-08-19	부산 여행 태종대 박 일 이승기 이대호 자갈마당 조개구 조개구이 홍홍
kbs2_happysunday_1bak2il	larcobaleno	POST	pym0dsm-5gks9		2011-08-20	나영석pd 박 일 시즌 가능성 언급 멤버 그대로tagquestion 화제
kbs2_happysunday_1bak2il	qhalsz123	POST	pym0gxs-1dv0		2011-08-19	엄마 요즘 핸드폰를 주제 이야기 많다 하신다 바꿔줄것도 아니다 tagexclamation 년 후 아주 좋다 스마트폰 스마트폰을 사다 사고 말다 박 일로 일 놀러가다 같다 간 가다 갈다 사람 있다 같다 간 가다 갈다 사람 자식 다 스마트폰 스마트폰인데 울 울다 가족 아빠 뺴 뺴고 스마트폰 스마트폰이 아니다 아니 완전 좌절했츰 tagexclamation
kbs2_happysunday_1bak2il	the100yesi	POST	pym0ifw-yvat1		2011-08-19	박 일 강호동 하차 이수근 인자 노리다tagquestion 헐리웃 패션 종결자 백여시
kbs2_happysunday_1bak2il	commiwon	POST	pym0il8-8tj2		2011-08-20	강호동 이승기 박 일 개월 시한부 잔류
kbs2_happysunday_1bak2il	naver_news	POST	pym0iwf-bj_k		2011-08-19	연예 박 일 과 고다 달다 다르다 강호동 무릎팍도사 남다 네이버 뉴스 news 한국일보 강호동 무릎팍 잔류
kbs2_happysunday_1bak2il	kongsuni3451	POST	pym0jce-_9t_s		2011-08-20	박 일 종영 박 일결국 일결국은 엔딩 속사정 들어보다
kbs2_happysunday_1bak2il	suna7403-big	POST	pym0jme-56h8x		2011-08-20	박 일 폐지라 폐지라니 tagcry 일요일 일요 예능 누 누가 책임지냔말 tagexclamation 시즌 때 오늘내일어떤가욬 tagsmile
kbs2_happysunday_1bak2il	inrain84	POST	pym0k1s-yt8dk		2011-08-20	박 일 tagexclamation 여기다 여기 조개캐기 쏠쏠 장봉 장봉도
