program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_ojakkyo	rornwoddl238	POST	pym08x0-y6snu		2011-08-18	오작교 형제 4회 자은 자은을 받다 복자
kbs2_ojakkyo	ch2280	POST	pym0cf_-5tlmw		2011-08-20	아이패드로입력하구있어요격배해주세요오늘오작교형제들잘보셨죠 tagquestion 사랑 tagsmile 시청해주세욯 tagsmile
kbs2_ojakkyo	ellakim0829	POST	pym0fk6-_8_tv		2011-08-20	오작교 형제 보고 보다 보 있다 중 오작교 형제
kbs2_ojakkyo	shy010109	POST	pym0glq-_o_j1		2011-08-20	오작교 형제 재미 tagsmile 유 언니 연기 잘 자다 하셔 하셔요 tagsmile 오작교 형제 추천함당 tagexclamation
kbs2_ojakkyo	fic123	POST	pym0iw8-i_63		2011-08-20	110820 토렌트다운 오작교 형제 5회
kbs2_ojakkyo	ma2646	POST	pym0mtt-rwog		2011-08-20	오작교형제 다 내사랑내곁 보고있지로옹
kbs2_ojakkyo	fic123	POST	pym0wcu-i_63		2011-08-20	110820 토렌트다운 오작교 형제
kbs2_ojakkyo	haein214	POST	pym0wuc-ycep		2011-08-20	오작교형제들재밋네 tagsmile 감동적이댜
kbs2_ojakkyo	lovelycong00	POST	pym13hu-5uo57		2011-08-19	유 원피스 오작교형제들3 회 유 백자은 옷 패션스타일 패션스타 파란색 롱원피스 의상정보
kbs2_ojakkyo	lovelycong00	POST	pym1b1c-5uo57		2011-08-19	최정윤 블라우스 오작교형제들4 회 최정윤 차수영 옷 패션스타일 패션스타 민소매 큐빅 블라우스 의상정보
kbs2_ojakkyo	sge098	POST	pym1g1m-5a31v		2011-08-20	천번의입맞춤얼마안남았네 tagsmile 오작교형제 재밌는데 지현우 심형탁 윤두준vs 류수영 주원 연우진 도무지 선택할수 없다 tagexclamation tagexclamation
kbs2_ojakkyo	dyfflwnr	POST	pym1hfl-5_o9f		2011-08-20	오작교형제 보다 유 애 앗다 살인충동유발연기 잘 미치다 티비 부수고 부수 싶어 싶다
kbs2_ojakkyo	nadiag26	POST	pym1hu6-_icu7		2011-08-20	유 오작교 형제 동거 허락 대신 등록금 용돈 생활비 달다 다르다 조건 조다 제안
kbs2_ojakkyo	j-castle	POST	pym1qcl-y97xs		2011-08-20	오크같은것 남자 다리 흘깃하는건 변태라 변태라하 tv 상의탈의 상의탈의하 갑바 빨래판 한번 보여주다 빨래 하고싶다느 하고싶다느니 난리면서 변태 기준이뭔데 tagquestion 서로다른 본능 어쩔수없는것 아니다 매너 지킴되는거지 아닌척 숨다 숨기다 숨기 내숭 쩌는애 쩌는애들이 구리더 구리더라 오작교형제 요즘 여자 성적 표현 솔직 남자가 남자가하면 신고 여자가 여자가하면 인정 ㅡ ㅡ 위선자 모든여자 지칭하는건 아님다 일부 무개념 tagsmile 그나저 그나저나 유 하악 이쁘다 연기 의외 잘
kbs2_ojakkyo	sge098	POST	pym1qlb-5a31v		2011-08-20	천번의입맞춤 오작교형제들마져볼껄 아이 아 안타깝다 안타까워
kbs2_ojakkyo	nadiag26	POST	pym1q_3-_icu7		2011-08-20	오작교 형제 류수영 최정윤 달콤 첫 키스신
kbs2_ojakkyo	kyy06030	POST	pym1ta0-rwi1		2011-08-20	오작교형제 욕 넘 많다 tagcry 경고받는거아님 tagquestion
kbs2_ojakkyo	faketoy	POST	pym1za0-5jp56		2011-08-20	오작교 형제 110820 토렌트
kbs2_ojakkyo	mople	POST	pym3mwu-ybyr8		2011-08-20	오작교 형제 5회 e05닥본사  닥  치다 치  본  방  사  닥치고본방사수 닥본사 별점 오늘 오작교 형제 5회 e05
kbs2_ojakkyo	3210dptmej	POST	pym58ne-yepym		2011-08-18	여인 향기 보스 지키다 스파이 명월 계백 무사 백동수 공주 남자 남다 넌 널다 내다 반 오작교형제 천 번 입맞추다 내 내다 사랑 사 내 내다 곁 광개토태왕 애정만만세 두근두근 달콤 내사 당신 참 차다 예쁘다 미쓰 아줌마 우리집 여자 불굴 며느리 당신 당신이 잠들다 사이 사다 사
kbs2_ojakkyo	wnwls648	POST	pym5e5q-yj2vj		2011-08-16	아잉 주원내스따일 주원내스따일이 taglove 사랑하는거알쥐 tagquestion 히히히힣 오작교형제들잘보고 tagexclamation tagsmile
kbs2_ojakkyo	chszoo	POST	pym5izz-ny2m		2011-08-16	동일하이빌뉴시티 개념경찰 주원 카리스마다 폭발 오작교형제 시청률 승승장구
kbs2_ojakkyo	insos02	POST	pym5j3p-_8lnw		2011-08-16	오작교형제 4회 무료다시보기 오작교형제 4회 무료다시보기
kbs2_ojakkyo	charlie_hl	POST	pym5nn_-5l33s		2011-08-18	홍대미용실 긴머리웨이브 오작교형제 유이머리 유이머리스타 찰리스헤어
kbs2_ojakkyo	rhr0504	POST	pym62y4-5j96n		2011-08-20	붑굽곰 그것 오작교형제 하다 tagexclamation
kbs2_ojakkyo	s1031j	POST	pym697m-m3sj		2011-08-17	stv오작교 형제 성깔 얼짱 유 홍보모델 되다 tagexclamation
kbs2_ojakkyo	stylisthanul	POST	pym6e6k-_w5s7		2011-08-17	오작교 형제 유 가다 가늘다 가 데 데마 북새통 폭풍인기 실감
