program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_spy	tjsals526	POST	pym07yx-_dhgs		2011-08-18	스파이명월 좀잇음 끝남tagquestion
kbs2_spy	zkvmelffj	POST	pym0cqx-_sf2i		2011-08-18	스파이명월 한예슬 사건 전모
kbs2_spy	coupe3111	POST	pym0d4q-_3c1c		2011-08-18	한예슬 에릭 말없다 대본 어색 촬영 재개
kbs2_spy	wjdgus3529	POST	pym0gnd-iq5a		2011-08-18	그럼스파이명월어떻게되는거임한예슬이계속하는거임tagquestion아님다른사람이하는거임이거당체모르겟엄
kbs2_spy	jtkimm	POST	pym0gu0-zlm		2011-08-19	세상 읽다 우리 이 괜찮다 김여진한예슬 관하다 가장 개념찬 글 다르다 거 거다 떠나다 가끔씩 준비 안되다 드라마 결방 결방되 결방되고 안되나tagquestion 논란 여지 있다 특 스파이명월 한 하다 번 안 알다 보다 나다 나 관심 없다 여배우 한예슬 조금 좋아지다 한겨레 뉴스스크랩
kbs2_spy	nadiag26	POST	pym0h5d-_icu7		2011-08-19	한예슬 파문 서 서다 빛나다 빛 남자 남다 에릭 에릭 에릭은 기회주의자
kbs2_spy	dong	POST	pym0hh5-x_p		2011-08-18	스파이명월 한예슬사태 후 촬영재개 눈물
kbs2_spy	han02jjang	POST	pym0img-mzmq		2011-08-18	에릭 한예슬 사과속 스파이 회식 만원 한턱 소녀k 스타뉴스
kbs2_spy	kyoungt70	POST	pym0iyw-bxvq		2011-08-19	원문 한예슬 파문 서 서다 빛나다 빛 남자 남다 에릭 따뜻 가슴 냉철 머리 웹
kbs2_spy	dbsthdbs98	POST	pym0jhm-chfd		2011-08-18	스파이명월 정상화 되다 tagexclamation 아 다행 tagexclamation tagcry 아 근데 회 빨다 보고싶다 tagexclamation tagsmile 스파이명월 정상화 되서 다행
kbs2_spy	kyoungt70	POST	pym0kfr-bxvq		2011-08-19	원문 에릭 한예슬 응원해달라 회식 하다 말다 말 하다 예전 받다 웹
kbs2_spy	kyoungt70	POST	pym0krq-bxvq		2011-08-19	원문 스파이명월 한예슬 촬영 복귀 후 공식사과 장면포착 웹
kbs2_spy	guswlsmmm1	POST	pym0mzc-5op__		2011-08-18	버블 tagexclamation 스파이명월 응원글이벤트 tagexclamation 아 참 차다 말도안나오는상황 믿다 씨온녀 도 당황할듯 잘풀리길 기대 이미 악화 seeon kr
kbs2_spy	chlk1220	POST	pym0nn7-50mw8		2011-08-19	넌내반 스파이 명월 꼴찌 드라마 엇갈리다 행보
kbs2_spy	dream3322	POST	pym0n__-yv7bm		2011-08-19	배우 한예슬 스파이명월 제작진 점심식사 사진노출
kbs2_spy	dks072	POST	pym0of5-ye272		2011-08-19	한예슬 회식 스파이 명월 한예슬 눈물회식 제작진 용서 구하다
kbs2_spy	dltjdwns93	POST	pym0oi8-xkxv		2011-08-18	에릭 한예슬 사과속 스파이 회식 만원 한턱 얼굴 잘생기다 성격도좋 돈도많 돈도많아 뭐냐tagquestion 스타뉴스
kbs2_spy	milledental	POST	pym0oli-5otk4		2011-08-19	한예슬회식사진한예슬 회식자리 제작진 앞 공개사과 극적 화해라고tagquestion에릭발언 눈길
kbs2_spy	kyoungt70	POST	pym0qo1-bxvq		2011-08-19	원문 에릭 한예슬 오빠 따끔 할 하다 말다 말 하다 하 받다 생각 웹
