program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs_homewomen	siji5000	POST	pym021k-xdmp		2011-08-18	우리집여자 점점 막장 되고 되고있어 tagexclamation 드라마 매니아 저녁드라마 뭐 다 이렇지
kbs_homewomen	keh9967	POST	pym04vl-yzkwk		2011-08-18	각자 카메라 갖다 울 울다 집 카메라 배터리 다운 미안 시쯤 tagquestion 분수대 만날려구 근데 눈치없는김할머니는 아마 못올것 못올것같네 할머니 수학간다 뭐 어쩐대나tagquestion바쁜 여자x 바쁘다 할머니ㅇ tagsmile 어쨌든 뭐 우리끼리 할수 있다 알았지tagquestion오뎅이랑 김밥tagquestion 미투열분오해하지말아 tagsmile 할머니 할머니가아니랍니 tagquestion tagsmile 저를버릇없게보지말아주세욧
kbs_homewomen	wise9140	POST	pym0a0_-5922z		2011-08-19	우리집 발도장 tagexclamation 나란여자 다이어트한대놓구배고파서 고기먹는 뇨자 tagsmile via 아임in
kbs_homewomen	wise9140	POST	pym0ab_-5922z		2011-08-19	우리집 발도장 tagexclamation 나란여자 다이어트한대놓구배고파서 고기먹는 뇨자 tagsmile via 아임in
kbs_homewomen	insos02	POST	pym0ipw-_8lnw		2011-08-19	우리집여자 무료 다시보기 회 우리집여자 무료 다시보기 회
kbs_homewomen	jiruhecom	POST	pym1c_t-_50e_		2011-08-20	우리집여자 회 월 일 토도우
kbs_homewomen	lovelycong00	POST	pym1gu6-5uo57		2011-08-20	윤아정 블라우스 팬츠 우리집여자 회 윤아정 홍주미 옷 패션스타일 패션스타 스트라이프 블라우스 핑크색 팬츠 의상정보
kbs_homewomen	rhxoxod	POST	pym1h_i-5_cqk		2011-08-20	우리집여자들인가tagquestion 그거 진짜 캐릭터 성격 개 개다 복고더 복고더만 악역 무조건 악역 선역 선역은 뭐 다 잘 자다 되다 되 김탁구 김탁구는 원래 컨셉 복고 나오다 구마준 보다 표면적 악역 매력 개성 있다 않다 근데 그건 현대배경 캐릭터 캐릭터는 김탁구 김탁구보 복고 하여간대충만드는드라마가보 그리고노래에서도ppl하지마 허니컴은전투기에쓰이는벌집구조다오죽하면오프닝까지ppl질 허니컴은전투기에쓰이는벌집구조다오죽하면오프닝까지ppl질이냐 농담
kbs_homewomen	samask	POST	pym1m7x-_h7lg		2011-08-20	나 나다 샤워 완전 무섭다 우리집 화장실 구조 세면대 거울 앞 앉다 씻게 씻게되는데 거울 뭐 지나가다 거 거다 같은거 같은거야 문득 이상 뭐지 하다 하 계속 쳐다보다 있다 어떤 여자 엄청나다 엄청 속도 기어나오다 날 나다 벽 밀치다 근데 벽 머리 부딛히 부딛히는 순 간 가다 갈다 정신 불 켜지다 팟 하다 내 욕실 바닥 두 다리 모으다 고개 숙이다 앉아있는거야 왜 외다 왕따자세 있잖 있잖아 샤워기 물 맞다 그러고 무섭다 엄마한테 화장실 앞 있어달 있어달라 사정사정 씻다 나오다 요새 왜 외다 계속 이러는걸까 m
kbs_homewomen	lovelycong00	POST	pym1prq-5uo57		2011-08-20	윤아정 가디건 원피스 우리집여자 회 회 회 윤아정 홍주미 옷 패션스타일 패션스타 주황색 가디건 주름 원피스 의상정보
kbs_homewomen	junes26	POST	pym3hew-yxvov		2011-08-20	우리집 여자 회 월 일 방송 보기 보다
kbs_homewomen	larcobaleno	POST	pym3udl-5gks9		2011-08-20	우리집 여자 세인 세 은님 변 없다 마음 보
kbs_homewomen	larcobaleno	POST	pym3z7_-5gks9		2011-08-20	우리집 여자 주미 화연 은님 은님이 누다 줄 주다 알아tagquestion
kbs_homewomen	dam0830	POST	pym51je-5zq5h		2011-08-16	나오늘 분의기 받나보당 어떤 아저씨 지나가다 우리술값 계산하겠노라 굳다 우리 테이블 앉다 실랑이 하다 하 가다 헠 또다른 아저씨 오시더 오시더니 합석하잖다 막걸리집 여자둘 여자둘이 오다 위험한곳인가 tagquestion
kbs_homewomen	126445	POST	pym51vd-5b7y9		2011-08-16	눈치 없다 여자 생각 좋다 난 나다 날다 편하다 그대 한잔 싶다 뿐 괜찮다 나오다 우리 사랑 뜨겁다 우리 사랑 키우다 집 먼저 한잔 하다
kbs_homewomen	3210dptmej	POST	pym58ne-yepym		2011-08-18	여인 향기 보스 지키다 스파이 명월 계백 무사 백동수 공주 남자 남다 넌 널다 내다 반 오작교형제 천 번 입맞추다 내 내다 사랑 사 내 내다 곁 광개토태왕 애정만만세 두근두근 달콤 내사 당신 참 차다 예쁘다 미쓰 아줌마 우리집 여자 불굴 며느리 당신 당신이 잠들다 사이 사다 사
kbs_homewomen	tbayst	POST	pym5qyc-_ipzs		2011-08-16	우리집 여자 강소라 강소라가 입다 입 상큼 발랄 티셔츠는tagquestion
kbs_homewomen	jh43564a	POST	pym5tfq-5npk7		2011-08-16	우리집여자 오늘 우리집여자 하기전에 세대통신 g 스마트폰
kbs_homewomen	kmediabox	POST	pym5_86-_1l70		2011-08-17	토도우 우리집 여자 회 월 일 다시보기
kbs_homewomen	junes26	POST	pym611l-yxvov		2011-08-19	우리집 여자 회 월 일 방송 보기 보다
kbs_homewomen	4wdkorando	POST	pym67uw-5io5z		2011-08-17	나 이미지 단적 보여주다 우리집 일상 대화 울 울다 신랑왈 희서 희서야 엄마말 안들으면 어케 돼tagquestion 딸램왈 사망 tagexclamation tagsmile 두번째 일화 여보 청소좀 청소좀해 tagexclamation 딸램왈 아빠 빨다 안하다 디지게 맞다 빨리 빨리해 tagexclamation tagsmile 난 나다 날다 여자 것 난 나다 날다 엄마 tagsmile
kbs_homewomen	lovely2401	POST	pym6swe-yb6vj		2011-08-19	우리집 여자 나오다 홍주미 진짜 싸가지 없다 정말 나대다
kbs_homewomen	iyousens	POST	pym6tgt-yq85k		2011-08-19	다시보기 우리집여자 우리집여자 회 다시보기 월 일 방송분 다시보기
kbs_homewomen	fiveminutes	POST	pym6_hh-5naau		2011-08-20	양천구 제일 제 맛있다 멸치국수집 이거 먹고 경섭오빠 영화 촬영장 오다 오늘 밤 우리 맡다 배역 만화방 남자 남다 만화방 여자 수영장 가다 격투기장 가다 다크서클 눈 누다 밑 내려오다 오빠 꼬다 엑스트라 하다 옴 오다
kbs_homewomen	insos02	POST	pymb_n2-_8lnw		2011-08-19	우리집여자 무료 다시보기 회 우리집여자 무료 다시보기 회
kbs_homewomen	iyousens	POST	pymd050-yq85k		2011-08-17	다시보기 우리집여자 우리집여자 회 다시보기 월 일 방송분 다시보기
kbs_homewomen	iyousens	POST	pymd06f-yq85k		2011-08-17	다시보기 우리집여자 우리집여자 회 다시보기 월 일 방송분 다시보기
kbs_homewomen	reasonable	POST	pymd3g2-o7h		2011-08-17	보다 보 어떤 친구 전 절다 여자친구 결연 난 나다 날다 자이 자이에 살다 싶어 싶다 하다 하 말 하다 그뿐 그뿐이 아니다 아니 난 나다 날다 우리 결혼 오빠 최소 한 하다 달 세후 세전 아니다 아니 tagexclamation 은 벌다 좋다 그리다 신혼집 반포대교 잠실대교 중간쯤 중간쯤에 있다 좋다 하다 하 지정 하다 오늘자 경향신문 오피니언  김현진 씨 쓰다
kbs_homewomen	mople	POST	pymdeqt-ybyr8		2011-08-17	우리집여자 회 e 닥본사 닥 치다 치 본 보다 방 사 사다 닥치고본방사수 닥본사 별점 오늘 우리집여자 회 e
kbs_homewomen	elwlakdltm01	POST	pymdh2h-yi4ey		2011-08-18	yeunm yeunm 님 트윗 트윗을 공유 vinvinkuru needle needle이 장 장남 알어tagquestion rt c yu mi 레알 아들 이렇습니 이렇습니다 이래서 여자 아들 되 rt vinvinkuru vampsholic 우리집 벌레 처치 tagcry
kbs_homewomen	chunjjang74	POST	pymdjjd-5jege		2011-08-18	휴가 다녀온후 우리집앵무새 도리 드뎌 여자친구 만들다 주다 둘 둘이 둘이는 그렇다 그런사이 그런사 tagsmile 부끄 taglove taglove
kbs_homewomen	insos02	POST	pymdl7_-_8lnw		2011-08-16	우리집여자 무료 다시보기 회 우리집여자 무료 다시보기 회
kbs_homewomen	ester3807	POST	pymdtpm-_qq9i		2011-08-16	내 내다 생머리 생머리를 엄마 뭔데 자르다 말다 난리 우리집 여자 모두 어깨 이상 길다 본적 본적이 없다 선머슴 스톼 일 추구 하셔서 좋으시겠쑤
kbs_homewomen	choo2am	POST	pymdyit-_ygry		2011-08-15	애드 애드라 불굴의며느리vs우리집여자 투표 제발 투표 부탁해tagsmile
kbs_homewomen	choo2am	POST	pymdyr3-_ygry		2011-08-15	불굴의며느리vs우리집여자 투표해줘tagsmile 투표 부탁해tagsmile
kbs_homewomen	kmediabox	POST	pyme6uu-_1l70		2011-08-20	토도우 우리집 여자 회 월 일 다시보기
kbs_homewomen	lovelycong00	POST	pymee5_-5uo57		2011-08-18	유소영 원피스 우리집여자 회 회 유소영 이세 옷 패션스타일 패션스타 리본타이장식 원피스 의상정보
kbs_homewomen	jiruhecom	POST	pymeez9-_50e_		2011-08-18	우리집여자 회 월 일 토도우
kbs_homewomen	sch8736	POST	pymey65-5hl69		2011-08-18	우리집여자 다시보기우리집 여자 회 다시보기 토렌트 내용보기
kbs_homewomen	gegegeg12	POST	pymezqy-ay8e		2011-08-19	우리집 화장실문 안잠겨 tagcry 친구 놀러올때 볼일 볼 보고 보다 보 있다 tagcry 더구 더구나 여자였는디 tagcry
kbs_homewomen	wn5721	POST	pymj1ou-_6854		2011-08-20	지금우리집앞에일하는여자만자는곳에이상한남자가들어왓어 경찰부르고장난아니에
kbs_homewomen	mople	POST	pymk1j5-ybyr8		2011-08-19	우리집여자 회 e 닥본사 닥 치다 치 본 보다 방 사 사다 닥치고본방사수 닥본사 별점 오늘 우리집여자 회 e
kbs_homewomen	wnstlr65	POST	pymk9_j-ybgsq		2011-08-17	걸스데 걸스데이 honey honey 우리집 여자 ost part 자동재생 듣기 듣다 가사 가다
kbs_homewomen	heartbeatzz	POST	pymkk08-5_cbw		2011-08-19	우리집 tagsmile 발도장 tagexclamation 도벽새끼 언제 사라지농 내눈앞 tagexclamation 니 도벽새끼인건 알고잇니tagquestion주변사람들이숨겨준 알고잇니tagquestion주변사람들이숨겨준께 다들통난거닌모르것재 tagsmile 좀죽어 좀죽어라 죽다 니 tagexclamation 여자만밝히기 지주제 ㅉㅉ via 아임in
kbs_homewomen	junes26	POST	pymkm1k-yxvov		2011-08-19	우리집 여자 회 월 일 방송 보기 보다
kbs_homewomen	fic123	POST	pymkuge-i_63		2011-08-19	토렌트다운 우리집 여자 회
kbs_homewomen	sch8736	POST	pymkz9z-5hl69		2011-08-17	우리집여자 다시보기우리집 여자 회 다시보기 토렌트 내용보기
