program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_urpretty	insos02	POST	pym0i8w-_8lnw		2011-08-19	당신참예쁘 당신참예쁘다 무료 다시보기 회 당신참예쁘 당신참예쁘다 무료 다시보기 회
mbc_urpretty	jiruhecom	POST	pym0xyw-_50e_		2011-08-18	당신참예쁘 당신참예쁘다 회 월 일 토도우
mbc_urpretty	ij1313	POST	pym11ot-ym_n0		2011-08-20	당참예 유랑이 유랑이가 슈가크래프트 슈가크래프트를 하다 하 곳은tagquestion tagexclamation 드라마당신참예쁘다 유랑 일하는곳
mbc_urpretty	junes26	POST	pym3tvp-yxvov		2011-08-20	당신 참 차다 예쁘다 회 월 일 방송 보기 보다
mbc_urpretty	3210dptmej	POST	pym58ne-yepym		2011-08-18	여인 향기 보스 지키다 스파이 명월 계백 무사 백동수 공주 남자 남다 넌 널다 내다 반 오작교형제 천 번 입맞추다 내 내다 사랑 사 내 내다 곁 광개토태왕 애정만만세 두근두근 달콤 내사 당신 참 차다 예쁘다 미쓰 아줌마 우리집 여자 불굴 며느리 당신 당신이 잠들다 사이 사다 사
mbc_urpretty	msr0423	POST	pym5stv-5gb3b		2011-08-19	당신 참 차다 예쁘다 예쁘다의 인기소품
mbc_urpretty	kmediabox	POST	pym5_0u-_1l70		2011-08-17	토도우 당신 참 차다 예쁘다 회 월 일 다시보기
mbc_urpretty	kmediabox	POST	pym6005-_1l70		2011-08-18	토도우 당신 참 차다 예쁘다 회 월 일 다시보기
mbc_urpretty	junes26	POST	pym6115-yxvov		2011-08-19	당신 참 차다 예쁘다 회 월 일 방송 보기 보다
mbc_urpretty	ccya	POST	pym6o5u-hmgu		2011-08-19	당신 참 차다 예쁘다 회 월 일 다시보기
mbc_urpretty	ccya	POST	pym6o98-hmgu		2011-08-19	당신 참 차다 예쁘다 회 월 일 다시보기
mbc_urpretty	iyousens	POST	pym6t_p-yq85k		2011-08-19	다시보기 당신참예쁘 당신참예쁘다 당신참예쁘 당신참예쁘다 회 다시보기 월 일 방송분 다시보기
mbc_urpretty	insos02	POST	pymb6yt-_8lnw		2011-08-19	당신참예쁘 당신참예쁘다 무료 다시보기 회 당신참예쁘 당신참예쁘다 무료 다시보기 회
mbc_urpretty	jiruhecom	POST	pymbzee-_50e_		2011-08-19	당신참예쁘 당신참예쁘다 회 월 일 토도우
mbc_urpretty	iyousens	POST	pymdk2i-yq85k		2011-08-17	다시보기 당신참예쁘 당신참예쁘다 당신참예쁘 당신참예쁘다 회 다시보기 월 일 방송분 다시보기
mbc_urpretty	iyousens	POST	pymdklo-yq85k		2011-08-17	다시보기 당신참예쁘 당신참예쁘다 당신참예쁘 당신참예쁘다 회 다시보기 월 일 방송분 다시보기
mbc_urpretty	jiruhecom	POST	pymdtns-_50e_		2011-08-15	당신참예쁘 당신참예쁘다 회 월 일 토도우
mbc_urpretty	insos02	POST	pymdx5t-_8lnw		2011-08-16	당신참예쁘 당신참예쁘다 무료 다시보기 회 당신참예쁘 당신참예쁘다 무료 다시보기 회
mbc_urpretty	junes26	POST	pymkm_k-yxvov		2011-08-19	당신 참 차다 예쁘다 회 월 일 방송 보기 보다
mbc_urpretty	insos02	POST	pymkptw-_8lnw		2011-08-18	당신참예쁘 당신참예쁘다 무료 다시보기 회 당신참예쁘 당신참예쁘다 무료 다시보기 회
mbc_urpretty	jiruhecom	POST	pymksqq-_50e_		2011-08-17	당신참예쁘 당신참예쁘다 회 월 일 토도우
mbc_urpretty	kmediabox	POST	pymk_44-_1l70		2011-08-19	토도우 당신 참 차다 예쁘다 회 월 일 다시보기
mbc_urpretty	iyousens	POST	pymy70l-yq85k		2011-08-18	다시보기 당신참예쁘 당신참예쁘다 당신참예쁘 당신참예쁘다 회 다시보기 월 일 방송분 다시보기
mbc_urpretty	fic123	POST	pymy8cv-i_63		2011-08-17	토렌트다운 당신 참 차다 예쁘다 회
mbc_urpretty	jiruhecom	POST	pym_8y9-_50e_		2011-08-16	당신참예쁘 당신참예쁘다 회 월 일 토도우
mbc_urpretty	fic123	POST	pym_ogy-i_63		2011-08-18	토렌트다운 당신 참 차다 예쁘다 회
mbc_urpretty	fic123	POST	pyo4sn5-i_63		2011-08-15	토렌트다운 당신 참 차다 예쁘다 회
mbc_urpretty	kmediabox	POST	pyo7vg3-_1l70		2011-08-16	토도우 당신 참 차다 예쁘다 회 월 일 다시보기
mbc_urpretty	fiftymd	POST	pyoxkcd-5r755		2011-08-17	아오리 아오리랑 엠본부 아침드라마 당신참예쁘 당신참예쁘다 로 시작 아침 밤새다 비계속 쏟아지다 두어번 자다깼더니 졸리다 ㅅ 당신참예쁘 당신참예쁘다 남자주인공이름 변강수 tagsmile 그냥우낌 tagsmile
