program_id	author_id	type	post_id	comment_id	publish_date	terms
mbc_wedding	love05741	POST	pym000g-r6lr		2011-08-20	기사 기다 우결 권리세 데이비드오 데이비드오에 2pm 택연 택연이 좋다 고백
mbc_wedding	wlsgk2413	POST	pym008r-_igc6		2011-08-20	우결 무리수 하나 tagsmile 재봉 정장만들어달래 tagsmile
mbc_wedding	wjddk1020	POST	pym00gn-5i05g		2011-08-20	우결 tagexclamation 지연나왔대
mbc_wedding	thddnrud99	POST	pym00jm-y3jd9		2011-08-20	진짜 tagcry 박소현 taglove 김원준 결혼 좋다 사귀다 결혼 tagsmile 꺄아 taglove
mbc_wedding	xbbirex	POST	pym00th-_si8x		2011-08-20	닉쿤 빅토리아 몰디브 여행
mbc_wedding	ghfkddl1105	POST	pym012_-_rs5z		2011-08-19	그러고보 더이상의미가없어진 우리 마마와파파 결혼기념일도ee2
mbc_wedding	msa5397	POST	pym0342-yekq_		2011-08-20	ㅃ 2 지요 지요니 갈꼬 갈꼬야 흥 tagexclamation ㅃ 2 우결 보세욧 tagsmile 나 나다 기매희 닮다 꼴이당 tagsmile ㅃ
mbc_wedding	ksx987	POST	pym06f7-y03nk		2011-08-20	우리결혼 장우 은정 지연 큐리 소연
mbc_wedding	tjsal3566	POST	pym06go-kh3m		2011-08-20	드디어 노페광고 티비 티비에 출현하셨으뮤 tagcry 아이구이쁘 taglove 컴터 컴터에서 본게 티비 티비에 나오다닝 tagcry 다섯명 다섯명이어 완벽 어쨋든 기분은좋다아 tagsmile 이쁘게나와서 tagsmile 노스페이스 광고떴음 금방 우결 우결에 지드래곤 탑 머리 대하다 논의를 데이비드오 그머리 해보다 tagsmile
mbc_wedding	dovmfwlel7	POST	pym06uk-yabih		2011-08-20	난 나다 날다 운빨 운빨이 더럽다 없나벼 왜 외다 미치다 다 보다 나 못볼까 노페 노페도 그렇다 우결 우결도 그렇다 tagcry
mbc_wedding	fic123	POST	pym0br2-i_63		2011-08-20	110820 토렌트다운 우리결혼 97회
mbc_wedding	gowls791004	POST	pym0eyg-_akvt		2011-08-20	지금 우결본데 커플 오글오글다 손발 오글거려 tagsmile 커플 진심 진짜결혼 좋다 우리결혼
mbc_wedding	hatbit29	POST	pym0eyj-e9b_		2011-08-18	민효린 박재범 민효린 우결
mbc_wedding	ilovelatale	POST	pym0ksf-ezqr		2011-08-18	은제 tagexclamation 우리 담주 일요일 서 부모님 뵈다 가자 가다 taglove 얼른 결혼 내 내다 맘 편하다 같다 tagcry
mbc_wedding	pz-_q	POST	pym0kx0-_srtv		2011-08-20	우결보고오꺼얌 tagsmile 호잇 tagexclamation
mbc_wedding	rafadf	POST	pym0l3f-_r1_9		2011-08-19	해피 번째 결혼 기념일 기념 빅뱅 o 최고 kpop 그룹 o 우리 vip o 빅뱅 내 내다 인생 나의 나의이 o
mbc_wedding	903hhs	POST	pym0mtj-r3q8		2011-08-20	우결 소원커플 연속방송 하다 tagsmile
mbc_wedding	iyousens	POST	pym0nc4-yq85k		2011-08-20	다시보기 우결 우리결혼했어요3 97회 다시보기 8월20 일 방송분 다시보기
mbc_wedding	singer_pjy	POST	pym0sqi-_hdm9		2011-08-19	은정언니 내일 내 우결 녹화 하다 기대 있다
mbc_wedding	dmstj6882	POST	pym0tb7-njae		2011-08-20	9월 9월에 결혼 우리 삼촌 tagexclamation
mbc_wedding	smk8512	POST	pym0uef-561af		2011-08-20	우결보고올꺼 우결보고올꺼야 빅토리아 taglove 빠 빠이
