program_id	author_id	type	post_id	comment_id	publish_date	terms
sbs_starking	soyeung2003	POST	pym01c_-5bnau		2011-08-20	지금sbs 에서 야구하는건 나뿐 나뿐임 tagquestion tagcry 아오 스타킹 샤 샤이 나온다길래 기대 뭐 tagcry sbs스타킹샤이니특집
sbs_starking	qmffhsek	POST	pym029v-yq_w6		2011-08-19	아싸이제자유 그보다스타킹 다나갔네 ㄱㅡ
sbs_starking	wlsgk2413	POST	pym0eqn-_igc6		2011-08-20	스타킹한다
sbs_starking	fic123	POST	pym0jr4-i_63		2011-08-20	110820 토렌트다운 스타킹
sbs_starking	fic123	POST	pym0rsg-i_63		2011-08-20	110820 토렌트다운 스타킹
sbs_starking	iyousens	POST	pym0v_j-yq85k		2011-08-20	다시보기 스타킹 놀라운대회 스타킹 8월20 일자 방송분 다시보기
sbs_starking	alswjd92sm	POST	pym10l7-182c		2011-08-20	오늘 스타킹 샤이니안나 샤이니안나와 보다 tagsmile 예고편 예고편에 나오다 모르다 tagsmile taglove
sbs_starking	wjsekqls9	POST	pym1c9h-rmut		2011-08-20	스타킹본사람 ㅡ 주니오빠 매운자장면괜찮았어요 tagquestion tagcry
sbs_starking	alswjd92sm	POST	pym1dsk-182c		2011-08-20	결국학교 못갔고 샤 샤이 스타킹 언제나오지 tagquestion 샤기지가 샤기지가도 스케줄 엄서 오늘하려 tagquestion
sbs_starking	rndfld	POST	pym1fof-_dq8z		2011-08-20	아 시 ㅅㅂ 스타킹 수지 랑 절했어 ㅅㅂ 결혼이라기도할려나짱 ㅅㅂ
sbs_starking	wiseguessman	POST	pym1fqy-_o1qk		2011-08-20	스타킹 저분 원맨쇼 신선한충격 tagsmile
sbs_starking	mi782536	POST	pym1mtn-_s7k0		2011-08-20	스타킹 taglove 보고왔어
sbs_starking	rlatnfus1234	POST	pym1ohq-ykn0b		2011-08-20	샤 샤이 스타킹 방송날짜 언제 언제임 tagquestion
sbs_starking	01083772049	POST	pym1oqo-_812k		2011-08-20	스타킹 동호오빠 나오다 tagexclamation taglove
sbs_starking	tokyoharoo	POST	pym1puh-ylxps		2011-08-20	제2 의 심장 종아리 근육강화 압박스타킹 좋다 이유
sbs_starking	vny2005	POST	pym1way-ye_vq		2011-08-20	방금 스타킹 이준 복근깠어 tagsmile 완전 조다 tagsmile
sbs_starking	faketoy	POST	pym1zjo-5jp56		2011-08-20	스타킹 110820 토렌트
sbs_starking	janghe0531	POST	pym3a6_-y0vys		2011-08-18	우왕 다음주 월요일 비원에이포 진영 사다 살다 바 스타킹 녹화 tagexclamation 근데 왜 외다 신우 공찬 오빠님 왜 외다
sbs_starking	ju7u7	POST	pym3fp5-yze3h		2011-08-18	팬티 스타킹 팬티팬티스타킹 오 tagexclamation 텔미베베 텔미베 ㅔ 미올라아아아 ㅏ 아아잇 팬티 스타킹
sbs_starking	vanessa0415	POST	pym3i08-m901		2011-08-18	무한도전vs 스타킹
sbs_starking	mople	POST	pym3mg6-ybyr8		2011-08-20	스타킹 229회 e229닥본사  닥  치다 치  본  방  사  닥치고본방사수 닥본사 별점 오늘 스타킹 229회 e229
sbs_starking	papaho0	POST	pym3yco-5zl2x		2011-08-18	온라인게임전략적 정복형 mmorpg 워렌전기 레볼루션 테스트 리뷰 후기 온라인게임 온라인게 추천
