"","tf"
"달인",218
"달이다",130
"헬스걸",106
"불편",80
"진실",78
"공개",58
"변화",54
"불편한진실",39
"다시보기",34
"김병",30
"김병만",30
"아니다",29
"감사",23
"다이어트",23
"생각",23
"개그맨",22
"만나다",22
"놀랍다",21
"좋다",20
"정말",18
"이벤트",17
"사진",15
"웃기다",15
"싶다",14
"웃다",14
"극과극",13
"업소용중고주방전문",13
"이렇게",13
"최고가매입",13
"그랬지",12
"느끼다",12
"원문",12
"그땐",11
"기다",11
"6주",10
"대박",10
"소개",10
"쓰다",10
"재미",10
"주다",10
"허미영",10
"당신",9
"가장",8
"감수성",8
"개그우먼",8
"남자",8
"노가리",8
"받다",8
"에어컨",8
"위하다",8
"조금",8
"친구",8
"빠지다",7
"안하다",7
"업소냉장고",7
"주식",7
"6주차",6
"그렇다",6
"영화",6
"예전",6
"이르다",6
"6주만",5
"기자",5
"눈물",5
"다들",5
"달다",5
"살다",5
"아주",5
"여기",5
"이건",5
"이름",5
"익숙하다",5
"인터뷰",5
"좋아하다",5
"지치다",5
"허미영씨",5
"노랗다",4
"노래",4
"다음",4
"마음",4
"분노",4
"야구",4
"그때",3
"부탁",3
"수고",3
"싸인",3
"오케이",3
"죽다",3
"키스앤크라",3
