"","tf"
"우리결혼",32
"사랑",26
"김원준",19
"좋다",19
"다시보기",18
"빅토리아",17
"박소현",16
"많다",14
"여자",14
"진짜",14
"싶다",13
"커플",13
"언니",12
"은정",12
"친구",11
"닉쿤",10
"무료",10
"사람",10
"아니다",10
"오빠",10
"쿤토리아",10
"그리다",8
"데이비드오",8
"부인",8
"아직",8
"안되다",8
"엄마",8
"우결에",8
"우린",8
"티아",8
"티아라",8
"박소현과",7
"생각",7
"축하",7
"그렇다",6
"기다리다",6
"나도",6
"남자",6
"낳다",6
"살다",6
"스캔들",6
"시즌",6
"이장우",6
"정말",6
"행복",6
"거다",5
"권리세",5
"그럼",5
"기대",5
"남편",5
"마음",5
"만나다",5
"몰디브",5
"무한도전",5
"미투",5
"시간",5
"싶어",5
"우리나라",5
"재미",5
"재촉때문",5
"주위",5
"지연",5
"하지",5
"환희",5
"힘들다",5
"거의",4
"때문",4
"무도",4
"방금",4
"방학숙제",4
"생일",4
"솔직",4
"쓰다",4
"안하다",4
"여행",4
"완전",4
"용서커플",4
"위하다",4
"잃다",4
"장우",4
"재방",4
"주다",4
"토렌트",4
"하나",4
