"","tf"
"버킷리스트",92
"이동욱",64
"ost",51
"사랑",43
"김선아",39
"좋다",33
"김선",32
"싶다",25
"완전",22
"본방사수",18
"사람",18
"강지욱",16
"만나다",16
"생각",16
"진짜",16
"sbs",15
"멋지다",15
"9회",14
"많다",13
"연재",13
"자전거",12
"좋아하다",11
"그리다",10
"기다리다",10
"사진",10
"죽기전",10
"채은석",10
"친구",10
"정말",9
"해보다",9
"데이트",8
"언니",8
"지욱",8
"가족",7
"마음",7
"슬프다",7
"언제",7
"화이팅",7
"나두",6
"나르다",6
"늘다",6
"받다",6
"배우다",6
"시간",6
"시작",6
"엄마",6
"이동욱이",6
"죽다",6
"촬영",6
"타다",6
"하지",6
"모두",5
"역시",5
"저렇다",5
"하는",5
"하는날",5
"그럼",4
"듣다",4
"만들다",4
"안되다",4
"이동욱님",4
"조금",4
"김선아씨",3
"네이버카페",3
"리스트",3
"바라다",3
"버킷",3
"부럽다",3
"슬퍼",3
"이동욱씨",3
"이젠",3
"입니",3
"입니다",3
"지욱의",3
"한번",3
"한시",3
"효도",3
