program_id	author_id	type	post_id	comment_id	publish_date	feature	count	word
mbc_three	idew94	POST	pym8cq9-_fn6n		2011-08-27	SMILEMARK	1.0	tagsmile
mbc_three	qtd5525	POST	pym8crz-5ot0o		2011-08-27	EXCLAMMARK	1.0	tagexclamation
mbc_three	o-oghf	POST	pym8ezo-5d127		2011-08-26	CONJUNCTION	1.0	그리고
mbc_three	o-oghf	POST	pym8ezo-5d127		2011-08-26	SMILEMARK	1.0	tagsmile
mbc_three	o-oghf	POST	pym8ezo-5d127		2011-08-26	CRYMARK	1.0	tagcry
mbc_three	o-oghf	POST	pym8ezo-5d127		2011-08-26	POSITIVE	1.0	좋아
mbc_three	preso	POST	pym8gam-yhfwj		2011-08-27	EXCLAMMARK	1.0	tagexclamation
mbc_three	preso	POST	pym8gam-yhfwj		2011-08-27	SMILEMARK	1.0	tagsmile
mbc_three	preso	POST	pym8gam-yhfwj		2011-08-27	CRYMARK	1.0	tagcry
mbc_three	preso	POST	pym8gam-yhfwj		2011-08-27	SEE	1.0	보다
mbc_three	kjh981108	POST	pym8g_r-nf8q		2011-08-27	PRESENT	1.0	오늘
mbc_three	jos0726	POST	pym8i6_-y0hj7		2011-08-27	SMILEMARK	1.0	tagsmile
mbc_three	rabbitnms	POST	pym8mrz-j438		2011-08-27	QUESTIONMARK	1.0	tagquestion
mbc_three	rabbitnms	POST	pym8mrz-j438		2011-08-27	SMILEMARK	1.0	tagsmile
mbc_three	tetris_han	POST	pymer5f-yw3t5		2011-08-22	PRESENT	1.0	이제
mbc_three	tetris_han	POST	pymer5f-yw3t5		2011-08-22	CONJUNCTION	1.0	그런데
mbc_three	tetris_han	POST	pymer5f-yw3t5		2011-08-22	EXCLAMMARK	1.0	tagexclamation
mbc_three	tetris_han	POST	pymer5f-yw3t5		2011-08-22	SMILEMARK	1.0	tagsmile
mbc_three	tetris_han	POST	pymer5f-yw3t5		2011-08-22	CRYMARK	1.0	tagcry
mbc_three	tetris_han	POST	pymer5f-yw3t5		2011-08-22	POSITIVE	2.0	좋아하다 즐겁다
mbc_three	jasminkid11	POST	pymf7h8-ydb5u		2011-08-23	SMILEMARK	1.0	tagsmile
mbc_three	jasminkid11	POST	pymf7h8-ydb5u		2011-08-23	SEE	1.0	보다
mbc_three	mople	POST	pymm5z9-ybyr8		2011-08-27	PRESENT	1.0	오늘
mbc_three	mople	POST	pymm5z9-ybyr8		2011-08-27	SEE	1.0	보다
mbc_three	aaaaa585815	POST	pymm7he-_hgjp		2011-08-27	EXCLAMMARK	1.0	tagexclamation
mbc_three	aaaaa585815	POST	pymm7he-_hgjp		2011-08-27	SMILEMARK	1.0	tagsmile
mbc_three	sandy404315	POST	pymm7u8-pp6h		2011-08-27	SMILEMARK	1.0	tagsmile
mbc_three	himang326	POST	pymmdmy-_a084		2011-08-24	LOVEMARK	1.0	taglove
mbc_three	esac17	POST	pymmhzu-_zfoo		2011-08-27	CRYMARK	1.0	tagcry
mbc_three	jamiee7	POST	pymml3w-yp1d2		2011-08-27	EXCLAMMARK	1.0	tagexclamation
mbc_three	yunwoo1129	POST	pymmmce-yhy7		2011-08-27	PRESENT	1.0	오늘
mbc_three	yunwoo1129	POST	pymmmce-yhy7		2011-08-27	CONJUNCTION	1.0	그리고
