program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_princess	buks2	POST	pym0u4k-_3cex		2011-08-22	공주의남자 공주의남자
kbs2_princess	leekichen	POST	pym101w-5htnj		2011-08-23	공주의남자 새롭다 이야기 시작 다시일어서 승유
kbs2_princess	verniigh	POST	pym10j8-_caj3		2011-08-23	공주의남자 11회 예고 예 공 새롭다 인물 등장
kbs2_princess	haqqy_boy	POST	pym13bc-_w5gf		2011-08-22	경혜공주 유령커플 수양대군 김승유 세령 공주 남자 남다 9회 다시보기
kbs2_princess	mushroom	POST	pym15pa-ezky		2011-08-22	원문 버섯공주남자 칭찬 무조건 손사래 치다 치 당신 이제 고맙다 tagexclamation 를 외치다 때 우리 버섯 마음씨 참 차다 곱다 맞다 난 나다 날다 참 차다 착하다 예쁘다 한데 하다 성격 웹
kbs2_princess	psm3125	POST	pym17fo-yg4o3		2011-08-23	공주굴비 발도장 tagexclamation 아르바이트 하실 분 tagexclamation 8월 29일 9월 9일 저희 가게 일하실분 모집 하다 남녀 각 1명씩 tagsmile 남자 남다 굴비택배포장 여자 택배서류 보다 보 일 등 사무 반경 20km 안 사시 분 모집중 댓글 주다 via 아임in
kbs2_princess	rlacnstlr071	POST	pym18in-5kacj		2011-08-22	흐엉 tagcry 얼마전 넌내게반헀어 끝나다 tagcry tagsmile 난 나다 날다 해피앤딩 해피앤딩이 좋다 tagsmile 이제 본격적 공주의남자 시청 tagexclamation
kbs2_princess	jundool3535	POST	pym1b1j-yww19		2011-08-22	공주의남자10 회중 이성 끈 놓고싶 놓고싶은 승유 승유의 애닳 애닳은 심정 마지막얘기 daum블로그
kbs2_princess	with_sulli	POST	pym1dm_-1pzx		2011-08-22	사랑 언니 taglove 바쁘다 와중 공주의남자 만 본방 챙기다 잇다 걱정마셔 tagexclamation 앗참 활 잘보았습니다 카리스마다 짱 tagsmile 영원 대한민국 빛 배우 되주셔 되주셔요 tagexclamation 점차 나아지다 연기력 보다 보 뿌듯해 뿌듯해하 한어린팬 한어린팬입니 한어린팬입니다 tagexclamation
kbs2_princess	cnsekf	POST	pym1f73-55r32		2011-08-22	kbs 공주 남자 남다 화기애애 촬영 현장 공개 tagexclamation
